UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,FEATHER,1.8,2.8,858516,1085260,1225929,6392687,1.19,1.0,55.60000000000001,1.26
1638903006,FEATHER,1.8,2.8,858609,1085194,1225929,6392753,1.19,1.0,55.60000000000001,1.26
1638903006,FEATHER,1.8,2.8,858609,1085194,1225929,6392753,1.19,1.0,55.60000000000001,1.26
1638903057,FEATHER,1.8,2.8,858609,1085093,1225929,6392854,1.19,1.0,55.60000000000001,1.26
1638903086,FEATHER,1.8,2.8,858609,1084511,1225929,6393436,1.19,1.0,55.60000000000001,1.26
1638903086,FEATHER,1.8,2.8,858609,1084511,1225929,6393436,1.19,1.0,55.60000000000001,1.26
1638903086,FEATHER,1.8,2.8,858609,1084511,1225929,6393436,1.19,1.0,55.60000000000001,1.26
1638903086,FEATHER,1.8,2.8,858609,1084511,1225929,6393436,1.19,1.0,55.60000000000001,1.26
1638903226,FEATHER,1.8,2.9,858289,1083002,1226249,6394945,1.19,1.1,61.1,1.26
1638903233,FEATHER,1.8,2.9,858289,1083002,1226249,6394945,1.19,1.1,61.1,1.26
1638903240,FEATHER,1.8,2.9,858289,1081776,1226249,6396171,1.18,1.1,61.1,1.26
1638903248,FEATHER,1.8,2.9,858289,1081776,1226249,6396171,1.18,1.1,61.1,1.26
1638903855,FEATHER,1.8,2.8,907148,1078591,1227433,6399356,1.18,1.0,55.60000000000001,1.19
1638904100,FEATHER,1.8,2.8,907148,1078267,1227433,6399680,1.18,1.0,55.60000000000001,1.19
1638904100,FEATHER,1.8,2.8,907148,1078267,1227433,6399680,1.18,1.0,55.60000000000001,1.19
1638904100,FEATHER,1.8,2.8,907148,1078267,1227433,6399680,1.18,1.0,55.60000000000001,1.19
1638904189,FEATHER,1.8,2.8,907148,1076830,1227433,6401117,1.18,1.0,55.60000000000001,1.19
1638904196,FEATHER,1.8,2.8,907148,1076830,1227433,6401117,1.18,1.0,55.60000000000001,1.19
1638905497,FEATHER,1.8,2.8,906380,1071036,1228201,6406911,1.17,1.0,55.60000000000001,1.18
1638905504,FEATHER,1.8,2.8,906380,1071036,1228201,6406911,1.17,1.0,55.60000000000001,1.18
1638906506,FEATHER,1.8,2.8,905184,1065451,1229397,6412496,1.16,1.0,55.60000000000001,1.18
1638906538,FEATHER,1.8,2.8,905184,1065451,1229397,6412496,1.16,1.0,55.60000000000001,1.18
1638906598,FEATHER,1.8,2.8,905184,1065262,1229397,6412685,1.16,1.0,55.60000000000001,1.18
1638906612,FEATHER,1.8,2.8,905056,1065238,1229525,6412709,1.16,1.0,55.60000000000001,1.18
1638906620,FEATHER,1.8,2.8,905056,1065238,1229525,6412709,1.16,1.0,55.60000000000001,1.18
1638906646,FEATHER,1.8,2.8,905056,1064569,1229525,6413378,1.16,1.0,55.60000000000001,1.18
1638906653,FEATHER,1.8,2.8,905056,1064569,1229525,6413378,1.16,1.0,55.60000000000001,1.18
1638906660,FEATHER,1.8,2.8,905056,1064569,1229525,6413378,1.16,1.0,55.60000000000001,1.18
1638906889,FEATHER,1.8,2.8,904927,1061767,1229654,6416180,1.16,1.0,55.60000000000001,1.17
1638906898,FEATHER,1.8,2.8,904927,1061741,1229654,6416206,1.16,1.0,55.60000000000001,1.17
1638906939,FEATHER,1.8,2.8,904735,1061295,1229846,6416652,1.16,1.0,55.60000000000001,1.17
1638906980,FEATHER,1.8,2.8,904735,1061038,1229846,6416909,1.16,1.0,55.60000000000001,1.17
1638907080,FEATHER,1.8,2.8,904735,1060600,1229846,6417347,1.16,1.0,55.60000000000001,1.17
1638907129,FEATHER,1.8,2.8,904094,1060599,1230487,6417348,1.16,1.0,55.60000000000001,1.17
1638907209,FEATHER,1.8,2.8,903133,1059805,1231448,6418142,1.16,1.0,55.60000000000001,1.17
1638907229,FEATHER,1.8,2.8,903133,1059644,1231448,6418303,1.16,1.0,55.60000000000001,1.17
1638907265,FEATHER,1.8,2.8,902749,1059630,1231832,6418317,1.16,1.0,55.60000000000001,1.17
1638907280,FEATHER,1.8,2.8,902749,1059630,1231832,6418317,1.16,1.0,55.60000000000001,1.17
1638907311,FEATHER,1.8,2.8,902557,1059012,1232024,6418935,1.15,1.0,55.60000000000001,1.17
1638907322,FEATHER,1.8,2.8,902557,1058775,1232024,6419172,1.15,1.0,55.60000000000001,1.17
1638907346,FEATHER,1.8,2.8,901917,1058702,1232664,6419245,1.15,1.0,55.60000000000001,1.17
1638907359,FEATHER,1.8,2.8,901917,1058702,1232664,6419245,1.15,1.0,55.60000000000001,1.17
1638907396,FEATHER,1.8,2.8,901914,1058702,1232667,6419245,1.15,1.0,55.60000000000001,1.17
1638907404,FEATHER,1.8,2.8,901914,1058702,1232667,6419245,1.15,1.0,55.60000000000001,1.17
1638907415,FEATHER,1.8,2.8,901914,1058699,1232667,6419248,1.15,1.0,55.60000000000001,1.17
1638907521,FEATHER,1.8,2.8,901914,1058378,1232667,6419569,1.15,1.0,55.60000000000001,1.17
1638907532,FEATHER,1.8,2.8,901914,1058378,1232667,6419569,1.15,1.0,55.60000000000001,1.17
1638907545,FEATHER,1.8,2.8,901914,1058340,1232667,6419607,1.15,1.0,55.60000000000001,1.17
1638907557,FEATHER,1.8,2.8,901914,1058340,1232667,6419607,1.15,1.0,55.60000000000001,1.17
1638907570,FEATHER,1.8,2.8,901914,1058288,1232667,6419659,1.15,1.0,55.60000000000001,1.17
1638907607,FEATHER,1.8,2.8,901914,1058288,1232667,6419659,1.15,1.0,55.60000000000001,1.17
1638907625,FEATHER,1.8,2.8,901914,1058288,1232667,6419659,1.15,1.0,55.60000000000001,1.17
1638907672,FEATHER,1.8,2.8,901914,1057395,1232667,6420552,1.15,1.0,55.60000000000001,1.17
