UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,FINE_AMBER_GEM,25116.6,26212.6,27183,95789,138908,109995,6.1,1096.0,4.4,3.52
1638903006,FINE_AMBER_GEM,25116.6,26212.5,27184,95787,138908,109997,6.1,1095.9,4.4,3.52
1638903006,FINE_AMBER_GEM,25116.6,26212.5,27184,95787,138908,109997,6.1,1095.9,4.4,3.52
1638903057,FINE_AMBER_GEM,25116.7,26212.5,27184,95806,138908,109998,6.1,1095.8,4.4,3.52
1638903086,FINE_AMBER_GEM,25116.7,26212.6,27182,95805,138909,109999,6.1,1095.9,4.4,3.52
1638903086,FINE_AMBER_GEM,25116.7,26212.6,27182,95805,138909,109999,6.1,1095.9,4.4,3.52
1638903086,FINE_AMBER_GEM,25116.7,26212.6,27182,95805,138909,109999,6.1,1095.9,4.4,3.52
1638903086,FINE_AMBER_GEM,25116.7,26212.6,27182,95805,138909,109999,6.1,1095.9,4.4,3.52
1638903226,FINE_AMBER_GEM,25116.9,26212.7,27157,95821,138934,110003,6.1,1095.8,4.4,3.53
1638903233,FINE_AMBER_GEM,25116.9,26212.7,27157,95821,138934,110003,6.1,1095.8,4.4,3.53
1638903240,FINE_AMBER_GEM,25116.9,26212.7,27153,95840,138938,110004,6.1,1095.8,4.4,3.53
1638903248,FINE_AMBER_GEM,25116.9,26212.7,27153,95840,138938,110004,6.1,1095.8,4.4,3.53
1638903855,FINE_AMBER_GEM,25117.3,26212.5,28559,96829,139103,110046,6.16,1095.2,4.4,3.39
1638904100,FINE_AMBER_GEM,25117.5,26212.3,28558,96830,139145,110049,6.16,1094.8,4.4,3.39
1638904100,FINE_AMBER_GEM,25117.5,26212.3,28558,96830,139145,110049,6.16,1094.8,4.4,3.39
1638904100,FINE_AMBER_GEM,25117.5,26212.3,28558,96830,139145,110049,6.16,1094.8,4.4,3.39
1638904189,FINE_AMBER_GEM,25117.6,26212.4,28534,96862,139168,110053,6.16,1094.8,4.4,3.39
1638904196,FINE_AMBER_GEM,25117.6,26212.4,28534,96862,139168,110053,6.16,1094.8,4.4,3.39
1638905497,FINE_AMBER_GEM,25173.1,26211.8,29503,97124,139303,110180,6.17,1038.7,4.1000000000000005,3.29
1638905504,FINE_AMBER_GEM,25173.1,26211.8,29503,97124,139303,110180,6.17,1038.7,4.1000000000000005,3.29
