UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,FINE_AMETHYST_GEM,26963.6,28505.1,78272,74521,124323,99878,5.22,1541.5,5.7,-1.05
1638903006,FINE_AMETHYST_GEM,26963.5,28504.9,78274,74520,124323,99880,5.22,1541.4,5.7,-1.05
1638903006,FINE_AMETHYST_GEM,26963.5,28504.9,78274,74520,124323,99880,5.22,1541.4,5.7,-1.05
1638903057,FINE_AMETHYST_GEM,26963.6,28505.0,78274,74538,124323,99882,5.22,1541.4,5.7,-1.05
1638903086,FINE_AMETHYST_GEM,26963.6,28505.0,78245,74538,124324,99882,5.22,1541.4,5.7,-1.05
1638903086,FINE_AMETHYST_GEM,26963.6,28505.0,78245,74538,124324,99882,5.22,1541.4,5.7,-1.05
1638903086,FINE_AMETHYST_GEM,26963.6,28505.0,78245,74538,124324,99882,5.22,1541.4,5.7,-1.05
1638903086,FINE_AMETHYST_GEM,26963.6,28505.0,78245,74538,124324,99882,5.22,1541.4,5.7,-1.05
1638903226,FINE_AMETHYST_GEM,26963.5,28505.1,78244,74491,124325,99929,5.22,1541.6,5.7,-1.05
1638903233,FINE_AMETHYST_GEM,26963.5,28505.1,78244,74491,124325,99929,5.22,1541.6,5.7,-1.05
1638903240,FINE_AMETHYST_GEM,26963.6,28505.1,78224,74509,124345,99931,5.22,1541.5,5.7,-1.05
1638903248,FINE_AMETHYST_GEM,26963.6,28505.1,78224,74509,124345,99931,5.22,1541.5,5.7,-1.05
1638903855,FINE_AMETHYST_GEM,26963.5,28504.4,78344,74251,124477,100217,5.19,1540.9,5.7,-1.06
1638904100,FINE_AMETHYST_GEM,26963.6,28504.3,78136,74081,124539,100403,5.16,1540.7,5.7,-1.05
1638904100,FINE_AMETHYST_GEM,26963.6,28504.3,78136,74081,124539,100403,5.16,1540.7,5.7,-1.05
1638904100,FINE_AMETHYST_GEM,26963.6,28504.3,78136,74081,124539,100403,5.16,1540.7,5.7,-1.05
1638904189,FINE_AMETHYST_GEM,26963.5,28504.1,78245,74008,124559,100476,5.16,1540.6,5.7,-1.06
1638904196,FINE_AMETHYST_GEM,26963.5,28504.1,78245,74008,124559,100476,5.16,1540.6,5.7,-1.06
1638905497,FINE_AMETHYST_GEM,27040.8,28502.8,79774,73623,124673,101233,5.09,1462.0,5.4,-1.08
1638905504,FINE_AMETHYST_GEM,27040.8,28502.8,79774,73623,124673,101233,5.09,1462.0,5.4,-1.08
1638906506,FINE_AMETHYST_GEM,27114.0,28363.2,82018,73813,124942,101431,5.09,1249.2,4.6,-1.11
1638906538,FINE_AMETHYST_GEM,27114.0,28363.2,82317,73810,124942,101434,5.09,1249.2,4.6,-1.12
1638906598,FINE_AMETHYST_GEM,27114.0,28238.2,82913,73778,124954,101466,5.09,1124.2,4.1000000000000005,-1.12
1638906612,FINE_AMETHYST_GEM,27114.0,28363.1,82913,73778,124954,101466,5.09,1249.1,4.6,-1.12
1638906620,FINE_AMETHYST_GEM,27114.0,28363.1,82913,73778,124954,101466,5.09,1249.1,4.6,-1.12
1638906646,FINE_AMETHYST_GEM,27114.0,28363.1,82897,73774,124970,101470,5.09,1249.1,4.6,-1.12
1638906653,FINE_AMETHYST_GEM,27114.0,28363.1,82897,73774,124970,101470,5.09,1249.1,4.6,-1.12
1638906660,FINE_AMETHYST_GEM,27114.1,28363.1,82877,73773,124990,101471,5.09,1249.0,4.6,-1.12
1638906889,FINE_AMETHYST_GEM,27114.0,28363.0,83374,73752,125032,101500,5.09,1249.0,4.6,-1.13
1638906898,FINE_AMETHYST_GEM,27114.0,28362.9,83374,73752,125032,101500,5.09,1248.9,4.6,-1.13
1638906939,FINE_AMETHYST_GEM,27176.4,28362.9,83392,73809,125033,101523,5.09,1186.5,4.4,-1.13
1638906980,FINE_AMETHYST_GEM,27176.4,28362.7,83412,73810,125053,101532,5.09,1186.3,4.4,-1.13
1638907080,FINE_AMETHYST_GEM,27176.5,28362.9,83394,73778,125057,101554,5.09,1186.4,4.4,-1.13
1638907129,FINE_AMETHYST_GEM,27176.5,28362.8,83750,73788,125057,101556,5.09,1186.3,4.4,-1.14
1638907209,FINE_AMETHYST_GEM,27114.1,28362.7,83739,73769,125068,101639,5.08,1248.6,4.6,-1.14
1638907229,FINE_AMETHYST_GEM,27114.1,28362.7,83739,73765,125068,101643,5.08,1248.6,4.6,-1.14
1638907265,FINE_AMETHYST_GEM,27114.1,28362.6,83739,73764,125068,101644,5.08,1248.5,4.6,-1.14
1638907280,FINE_AMETHYST_GEM,27114.1,28362.5,84544,73764,125068,101644,5.08,1248.4,4.6,-1.15
1638907311,FINE_AMETHYST_GEM,27114.1,28362.5,84549,73761,125072,101647,5.08,1248.4,4.6,-1.15
1638907322,FINE_AMETHYST_GEM,27114.1,28362.5,84549,73760,125072,101648,5.08,1248.4,4.6,-1.15
1638907346,FINE_AMETHYST_GEM,27114.1,28362.5,84549,73741,125072,101675,5.08,1248.4,4.6,-1.15
1638907359,FINE_AMETHYST_GEM,27114.1,28362.5,84549,73741,125072,101675,5.08,1248.4,4.6,-1.15
1638907396,FINE_AMETHYST_GEM,27114.2,28362.3,84562,73739,125072,101677,5.08,1248.1,4.6,-1.15
1638907404,FINE_AMETHYST_GEM,27114.2,28362.3,84562,73739,125072,101677,5.08,1248.1,4.6,-1.15
1638907415,FINE_AMETHYST_GEM,27114.2,28362.3,84655,73741,125072,101679,5.08,1248.1,4.6,-1.15
1638907521,FINE_AMETHYST_GEM,27114.1,28362.1,85702,73695,125112,101729,5.07,1248.0,4.6,-1.16
1638907532,FINE_AMETHYST_GEM,27114.1,28362.1,85702,73695,125112,101729,5.07,1248.0,4.6,-1.16
1638907545,FINE_AMETHYST_GEM,27114.1,28362.1,85702,73694,125112,101730,5.07,1248.0,4.6,-1.16
1638907557,FINE_AMETHYST_GEM,27114.1,28362.1,85690,73693,125124,101731,5.07,1248.0,4.6,-1.16
1638907570,FINE_AMETHYST_GEM,27114.1,28362.1,85690,73693,125124,101731,5.07,1248.0,4.6,-1.16
1638907607,FINE_AMETHYST_GEM,27114.1,28362.0,85681,73692,125133,101732,5.07,1247.9,4.6,-1.16
1638907625,FINE_AMETHYST_GEM,27114.0,28362.0,85681,73691,125133,101732,5.07,1248.0,4.6,-1.16
1638907672,FINE_AMETHYST_GEM,27114.2,28362.1,85653,73691,125161,101753,5.07,1247.9,4.6,-1.16
