UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,FINE_RUBY_GEM,25065.8,25882.3,16714,248347,158386,164963,10.54,816.5,3.3000000000000003,14.86
1638903006,FINE_RUBY_GEM,25065.8,25882.4,16583,248332,158387,164978,10.54,816.6,3.3000000000000003,14.98
1638903006,FINE_RUBY_GEM,25065.8,25882.4,16583,248332,158387,164978,10.54,816.6,3.3000000000000003,14.98
1638903057,FINE_RUBY_GEM,25065.8,25882.4,16583,248331,158387,164979,10.54,816.6,3.3000000000000003,14.98
1638903086,FINE_RUBY_GEM,25065.8,25882.4,16583,248331,158387,164979,10.54,816.6,3.3000000000000003,14.98
1638903086,FINE_RUBY_GEM,25065.8,25882.4,16583,248331,158387,164979,10.54,816.6,3.3000000000000003,14.98
1638903086,FINE_RUBY_GEM,25065.8,25882.4,16583,248331,158387,164979,10.54,816.6,3.3000000000000003,14.98
1638903086,FINE_RUBY_GEM,25065.8,25882.4,16583,248331,158387,164979,10.54,816.6,3.3000000000000003,14.98
1638903226,FINE_RUBY_GEM,25065.8,25882.4,16566,248329,158404,164982,10.54,816.6,3.3000000000000003,14.99
1638903233,FINE_RUBY_GEM,25065.8,25882.4,16566,248329,158404,164982,10.54,816.6,3.3000000000000003,14.99
1638903240,FINE_RUBY_GEM,25065.8,25882.4,16502,248328,158468,164983,10.54,816.6,3.3000000000000003,15.05
1638903248,FINE_RUBY_GEM,25065.8,25882.4,16502,248328,158468,164983,10.54,816.6,3.3000000000000003,15.05
1638903855,FINE_RUBY_GEM,25065.9,25881.8,16985,249119,158484,165378,10.54,815.9,3.3000000000000003,14.67
1638904100,FINE_RUBY_GEM,25066.5,25881.5,17288,253589,158504,165414,10.73,815.0,3.3000000000000003,14.67
1638904100,FINE_RUBY_GEM,25066.5,25881.5,17288,253589,158504,165414,10.73,815.0,3.3000000000000003,14.67
1638904100,FINE_RUBY_GEM,25066.5,25881.5,17288,253589,158504,165414,10.73,815.0,3.3000000000000003,14.67
1638904189,FINE_RUBY_GEM,25066.5,25881.7,17088,253280,158539,165416,10.72,815.2,3.3000000000000003,14.82
1638904196,FINE_RUBY_GEM,25066.5,25881.7,17088,253280,158539,165416,10.72,815.2,3.3000000000000003,14.82
1638905497,FINE_RUBY_GEM,25066.9,25881.3,18517,257022,158789,165894,10.85,814.4,3.2,13.88
1638905504,FINE_RUBY_GEM,25066.9,25881.3,18517,257022,158789,165894,10.85,814.4,3.2,13.88
