UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,FINE_SAPPHIRE_GEM,25536.3,26091.5,25696,116365,173077,129335,6.3,555.2,2.2,4.53
1638903006,FINE_SAPPHIRE_GEM,25536.3,26091.5,25691,116364,173083,129336,6.3,555.2,2.2,4.53
1638903006,FINE_SAPPHIRE_GEM,25536.3,26091.5,25691,116364,173083,129336,6.3,555.2,2.2,4.53
1638903057,FINE_SAPPHIRE_GEM,25536.4,26091.5,25690,116383,173084,129337,6.3,555.1,2.2,4.53
1638903086,FINE_SAPPHIRE_GEM,25536.4,26091.5,25690,116383,173084,129337,6.3,555.1,2.2,4.53
1638903086,FINE_SAPPHIRE_GEM,25536.4,26091.5,25690,116383,173084,129337,6.3,555.1,2.2,4.53
1638903086,FINE_SAPPHIRE_GEM,25536.4,26091.5,25690,116383,173084,129337,6.3,555.1,2.2,4.53
1638903086,FINE_SAPPHIRE_GEM,25536.4,26091.5,25690,116383,173084,129337,6.3,555.1,2.2,4.53
1638903226,FINE_SAPPHIRE_GEM,25536.4,26091.4,25773,116379,173098,129341,6.3,555.0,2.2,4.52
1638903233,FINE_SAPPHIRE_GEM,25536.4,26091.4,25773,116379,173098,129341,6.3,555.0,2.2,4.52
1638903240,FINE_SAPPHIRE_GEM,25536.5,26091.4,25697,116398,173174,129342,6.3,554.9,2.2,4.53
1638903248,FINE_SAPPHIRE_GEM,25536.5,26091.4,25697,116398,173174,129342,6.3,554.9,2.2,4.53
1638903855,FINE_SAPPHIRE_GEM,25536.4,26091.5,25563,116375,173325,129393,6.3,555.1,2.2,4.55
1638904100,FINE_SAPPHIRE_GEM,25536.4,26091.2,26404,116349,173407,129435,6.29,554.8,2.2,4.41
1638904100,FINE_SAPPHIRE_GEM,25536.4,26091.2,26404,116349,173407,129435,6.29,554.8,2.2,4.41
1638904100,FINE_SAPPHIRE_GEM,25536.4,26091.2,26404,116349,173407,129435,6.29,554.8,2.2,4.41
1638904189,FINE_SAPPHIRE_GEM,25536.3,26090.8,26628,116328,173427,129456,6.29,554.5,2.2,4.37
1638904196,FINE_SAPPHIRE_GEM,25536.3,26090.8,26628,116328,173427,129456,6.29,554.5,2.2,4.37
1638905497,FINE_SAPPHIRE_GEM,25564.8,26091.1,26329,116579,173554,129717,6.29,526.3,2.1,4.43
1638905504,FINE_SAPPHIRE_GEM,25564.8,26091.1,26329,116579,173554,129717,6.29,526.3,2.1,4.43
1638906506,FINE_SAPPHIRE_GEM,25777.1,26091.5,25969,116649,173822,129804,6.29,314.4,1.2,4.49
1638906538,FINE_SAPPHIRE_GEM,25777.3,26091.5,25969,116646,173822,129807,6.29,314.2,1.2,4.49
1638906598,FINE_SAPPHIRE_GEM,25777.2,26091.5,25948,116586,173843,129839,6.29,314.3,1.2,4.49
1638906612,FINE_SAPPHIRE_GEM,25705.1,26091.5,25932,116586,173859,129839,6.29,386.4,1.5,4.5
1638906620,FINE_SAPPHIRE_GEM,25705.1,26091.5,25932,116586,173859,129839,6.29,386.4,1.5,4.5
1638906646,FINE_SAPPHIRE_GEM,25705.2,26091.5,25928,116586,173863,129839,6.29,386.3,1.5,4.5
1638906653,FINE_SAPPHIRE_GEM,25705.2,26091.5,25925,116586,173866,129839,6.29,386.3,1.5,4.5
1638906660,FINE_SAPPHIRE_GEM,25705.3,26091.5,25908,116585,173883,129840,6.29,386.2,1.5,4.5
1638906889,FINE_SAPPHIRE_GEM,25591.4,26091.5,25749,116534,174023,129901,6.28,500.1,2.0,4.53
1638906898,FINE_SAPPHIRE_GEM,25591.4,26091.4,25749,116534,174023,129901,6.28,500.0,2.0,4.53
1638906939,FINE_SAPPHIRE_GEM,25591.4,26091.5,25719,116534,174061,129901,6.28,500.1,2.0,4.53
1638906980,FINE_SAPPHIRE_GEM,25616.4,26091.5,25700,116611,174080,129904,6.28,475.1,1.9,4.54
1638907080,FINE_SAPPHIRE_GEM,25616.4,26091.5,25678,116600,174102,129915,6.28,475.1,1.9,4.54
1638907129,FINE_SAPPHIRE_GEM,25616.5,26091.5,25674,116610,174106,129917,6.28,475.0,1.9,4.54
1638907209,FINE_SAPPHIRE_GEM,25616.7,26091.5,25655,116691,174125,129920,6.29,474.8,1.9,4.55
1638907229,FINE_SAPPHIRE_GEM,25616.8,26091.5,25654,116668,174126,129923,6.29,474.7,1.9,4.55
1638907265,FINE_SAPPHIRE_GEM,25616.8,26091.5,25653,116665,174127,129923,6.29,474.7,1.9,4.55
1638907280,FINE_SAPPHIRE_GEM,25616.8,26091.5,25653,116665,174127,129923,6.29,474.7,1.9,4.55
1638907311,FINE_SAPPHIRE_GEM,25616.8,26091.5,25633,116664,174151,129924,6.29,474.7,1.9,4.55
1638907322,FINE_SAPPHIRE_GEM,25616.8,26091.5,25633,116664,174151,129924,6.29,474.7,1.9,4.55
1638907346,FINE_SAPPHIRE_GEM,25616.9,26091.5,25633,116670,174151,129926,6.29,474.6,1.9,4.55
1638907359,FINE_SAPPHIRE_GEM,25616.9,26091.5,25633,116670,174151,129926,6.29,474.6,1.9,4.55
1638907396,FINE_SAPPHIRE_GEM,25617.0,26091.5,25632,116672,174152,129928,6.29,474.5,1.9,4.55
1638907404,FINE_SAPPHIRE_GEM,25617.0,26091.5,25632,116672,174152,129928,6.29,474.5,1.9,4.55
1638907415,FINE_SAPPHIRE_GEM,25617.0,26091.5,25632,116671,174152,129929,6.29,474.5,1.9,4.55
1638907521,FINE_SAPPHIRE_GEM,25617.1,26091.5,25612,116673,174172,129931,6.29,474.4,1.9,4.56
