UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,FISH_BAIT,100.6,143.9,252152,1703708,5662953,4910531,2.43,43.3,43.0,6.76
1638903006,FISH_BAIT,100.6,143.9,251152,1702548,5663953,4910595,2.43,43.3,43.0,6.78
1638903006,FISH_BAIT,100.6,143.9,251152,1702548,5663953,4910595,2.43,43.3,43.0,6.78
1638903057,FISH_BAIT,100.6,143.9,251152,1702963,5663953,4910595,2.43,43.3,43.0,6.78
1638903086,FISH_BAIT,100.7,144.0,251152,1703163,5663953,4910595,2.43,43.3,43.0,6.78
1638903086,FISH_BAIT,100.7,144.0,251152,1703163,5663953,4910595,2.43,43.3,43.0,6.78
1638903086,FISH_BAIT,100.7,144.0,251152,1703163,5663953,4910595,2.43,43.3,43.0,6.78
1638903086,FISH_BAIT,100.7,144.0,251152,1703163,5663953,4910595,2.43,43.3,43.0,6.78
1638903226,FISH_BAIT,100.8,144.0,248400,1717081,5666705,4911827,2.45,43.2,42.9,6.91
1638903233,FISH_BAIT,100.8,144.0,248400,1717081,5666705,4911827,2.45,43.2,42.9,6.91
1638903240,FISH_BAIT,100.8,144.0,248400,1716441,5666705,4912467,2.45,43.2,42.9,6.91
1638903248,FISH_BAIT,100.8,144.0,248400,1716441,5666705,4912467,2.45,43.2,42.9,6.91
1638903855,FISH_BAIT,101.1,143.5,291266,1808863,5671824,4931645,2.57,42.4,41.9,6.21
1638904100,FISH_BAIT,105.1,143.0,296850,1791878,5676240,4949014,2.53,37.9,36.1,6.04
1638904100,FISH_BAIT,105.1,143.0,296850,1791878,5676240,4949014,2.53,37.9,36.1,6.04
1638904100,FISH_BAIT,105.1,143.0,296850,1791878,5676240,4949014,2.53,37.9,36.1,6.04
1638904189,FISH_BAIT,101.0,138.8,297970,1786402,5676240,4954810,2.52,37.8,37.4,6.0
1638904196,FISH_BAIT,101.0,138.8,297970,1786402,5676240,4954810,2.52,37.8,37.4,6.0
1638905497,FISH_BAIT,99.8,138.5,295056,1679414,5690207,5029441,2.34,38.7,38.8,5.69
1638905504,FISH_BAIT,99.8,138.5,295056,1679414,5690207,5029441,2.34,38.7,38.800000000000004,5.69
