UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,FLAWED_AMBER_GEM,306.2,357.2,51798,1777206,56412,8225201,1.51,51.0,16.7,34.31
1638903006,FLAWED_AMBER_GEM,306.2,357.2,51798,1774565,56412,8227842,1.51,51.0,16.7,34.26
1638903006,FLAWED_AMBER_GEM,306.2,357.2,51798,1774565,56412,8227842,1.51,51.0,16.7,34.26
1638903057,FLAWED_AMBER_GEM,306.2,357.2,51798,1774505,56412,8227902,1.51,51.0,16.7,34.26
1638903086,FLAWED_AMBER_GEM,306.2,357.2,51798,1774493,56412,8227914,1.51,51.0,16.7,34.26
1638903086,FLAWED_AMBER_GEM,306.2,357.2,51798,1774493,56412,8227914,1.51,51.0,16.7,34.26
1638903086,FLAWED_AMBER_GEM,306.2,357.2,51798,1774493,56412,8227914,1.51,51.0,16.7,34.26
1638903086,FLAWED_AMBER_GEM,306.2,357.2,51798,1774493,56412,8227914,1.51,51.0,16.7,34.26
1638903226,FLAWED_AMBER_GEM,306.2,357.2,51794,1773691,56416,8228716,1.51,51.0,16.7,34.25
1638903233,FLAWED_AMBER_GEM,306.2,357.2,51794,1773691,56416,8228716,1.51,51.0,16.7,34.25
1638903240,FLAWED_AMBER_GEM,306.2,357.2,51794,1773401,56416,8229006,1.51,51.0,16.7,34.24
1638903248,FLAWED_AMBER_GEM,306.2,357.2,51794,1773401,56416,8229006,1.51,51.0,16.7,34.24
1638903855,FLAWED_AMBER_GEM,306.3,357.1,51839,1840143,56418,8233944,1.56,50.8,16.6,35.5
1638904100,FLAWED_AMBER_GEM,306.3,357.0,51882,1839504,56418,8234583,1.56,50.7,16.6,35.46
1638904100,FLAWED_AMBER_GEM,306.3,357.0,51882,1839504,56418,8234583,1.56,50.7,16.6,35.46
1638904100,FLAWED_AMBER_GEM,306.3,357.0,51882,1839504,56418,8234583,1.56,50.7,16.6,35.46
1638904189,FLAWED_AMBER_GEM,306.4,357.0,51881,1859198,56419,8234889,1.58,50.6,16.5,35.84
1638904196,FLAWED_AMBER_GEM,306.4,357.0,51881,1859198,56419,8234889,1.58,50.6,16.5,35.84
1638905497,FLAWED_AMBER_GEM,306.6,357.1,51723,1898989,56584,8248431,1.61,50.5,16.5,36.71
1638905504,FLAWED_AMBER_GEM,306.6,357.1,51723,1898989,56584,8248431,1.61,50.5,16.5,36.71
