UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,FLAWED_AMETHYST_GEM,314.9,569.8,178420,3204164,71341,9099142,2.46,254.9,80.9,17.96
1638903006,FLAWED_AMETHYST_GEM,314.8,569.8,178420,3202680,71341,9100626,2.46,255.0,81.0,17.95
1638903006,FLAWED_AMETHYST_GEM,314.8,569.8,178420,3202680,71341,9100626,2.46,255.0,81.0,17.95
1638903057,FLAWED_AMETHYST_GEM,314.8,569.8,178420,3202595,71341,9100711,2.46,255.0,81.0,17.95
1638903086,FLAWED_AMETHYST_GEM,314.8,569.8,178420,3202151,71341,9101155,2.46,255.0,81.0,17.95
1638903086,FLAWED_AMETHYST_GEM,314.8,569.8,178420,3202151,71341,9101155,2.46,255.0,81.0,17.95
1638903086,FLAWED_AMETHYST_GEM,314.8,569.8,178420,3202151,71341,9101155,2.46,255.0,81.0,17.95
1638903086,FLAWED_AMETHYST_GEM,314.8,569.8,178420,3202151,71341,9101155,2.46,255.0,81.0,17.95
1638903226,FLAWED_AMETHYST_GEM,314.8,569.6,179048,3200169,71341,9103237,2.46,254.8,80.9,17.87
1638903233,FLAWED_AMETHYST_GEM,314.8,569.6,179048,3200169,71341,9103237,2.46,254.8,80.9,17.87
1638903240,FLAWED_AMETHYST_GEM,314.8,569.6,179048,3200090,71341,9103316,2.46,254.8,80.9,17.87
1638903248,FLAWED_AMETHYST_GEM,314.8,569.6,179048,3200090,71341,9103316,2.46,254.8,80.9,17.87
1638903855,FLAWED_AMETHYST_GEM,314.8,542.8,193866,3187513,71341,9115893,2.45,228.0,72.39999999999999,16.44
1638904100,FLAWED_AMETHYST_GEM,314.8,542.6,194478,3184711,71341,9118695,2.44,227.8,72.39999999999999,16.38
1638904100,FLAWED_AMETHYST_GEM,314.8,542.6,194478,3184711,71341,9118695,2.44,227.8,72.39999999999999,16.38
1638904100,FLAWED_AMETHYST_GEM,314.8,542.6,194478,3184711,71341,9118695,2.44,227.8,72.39999999999999,16.38
1638904189,FLAWED_AMETHYST_GEM,314.8,542.6,194478,3184390,71341,9119016,2.44,227.8,72.39999999999999,16.37
1638904196,FLAWED_AMETHYST_GEM,314.8,542.6,194478,3184390,71341,9119016,2.44,227.8,72.39999999999999,16.37
1638905497,FLAWED_AMETHYST_GEM,314.8,542.0,200804,3157628,72110,9149977,2.42,227.2,72.2,15.72
1638905504,FLAWED_AMETHYST_GEM,314.8,542.0,200804,3157628,72110,9149977,2.42,227.2,72.2,15.72
1638906506,FLAWED_AMETHYST_GEM,314.7,542.1,197816,3144684,72126,9164921,2.4,227.4,72.3,15.9
1638906538,FLAWED_AMETHYST_GEM,314.7,542.1,197816,3144361,72126,9165244,2.4,227.4,72.3,15.9
1638906598,FLAWED_AMETHYST_GEM,314.7,542.1,197816,3143427,72126,9166178,2.4,227.4,72.3,15.89
1638906612,FLAWED_AMETHYST_GEM,314.7,542.1,197816,3143337,72126,9166268,2.4,227.4,72.3,15.89
1638906620,FLAWED_AMETHYST_GEM,314.7,542.1,197816,3143337,72126,9166268,2.4,227.4,72.3,15.89
1638906646,FLAWED_AMETHYST_GEM,314.7,542.1,197816,3143322,72126,9166283,2.4,227.4,72.3,15.89
1638906653,FLAWED_AMETHYST_GEM,314.7,542.1,197816,3143302,72126,9166303,2.4,227.4,72.3,15.89
1638906660,FLAWED_AMETHYST_GEM,314.7,542.1,197816,3143090,72126,9166515,2.4,227.4,72.3,15.89
1638906889,FLAWED_AMETHYST_GEM,314.7,542.0,198703,3212733,72126,9168552,2.45,227.3,72.2,16.17
1638906898,FLAWED_AMETHYST_GEM,314.7,542.0,198703,3212555,72126,9168730,2.45,227.3,72.2,16.17
1638906939,FLAWED_AMETHYST_GEM,314.8,542.0,199590,3232520,72126,9168765,2.47,227.2,72.2,16.2
1638906980,FLAWED_AMETHYST_GEM,314.8,542.0,199590,3230771,72126,9170514,2.47,227.2,72.2,16.19
1638907080,FLAWED_AMETHYST_GEM,314.8,542.0,199590,3229529,72126,9171756,2.46,227.2,72.2,16.18
1638907129,FLAWED_AMETHYST_GEM,314.8,542.0,199590,3229437,72126,9171848,2.46,227.2,72.2,16.18
1638907209,FLAWED_AMETHYST_GEM,314.8,542.0,199590,3228752,72126,9172533,2.46,227.2,72.2,16.18
1638907229,FLAWED_AMETHYST_GEM,314.8,541.9,199626,3226884,72126,9174401,2.46,227.1,72.1,16.16
1638907265,FLAWED_AMETHYST_GEM,314.8,541.9,199626,3226718,72126,9174567,2.46,227.1,72.1,16.16
1638907280,FLAWED_AMETHYST_GEM,314.8,541.8,199626,3226439,72126,9174846,2.46,227.0,72.1,16.16
1638907311,FLAWED_AMETHYST_GEM,314.8,541.8,199690,3225673,72126,9175612,2.46,227.0,72.1,16.15
1638907322,FLAWED_AMETHYST_GEM,314.8,541.8,199690,3225667,72126,9175618,2.46,227.0,72.1,16.15
1638907346,FLAWED_AMETHYST_GEM,314.8,541.8,199690,3225461,72126,9175824,2.46,227.0,72.1,16.15
1638907359,FLAWED_AMETHYST_GEM,314.8,541.8,199690,3225461,72126,9175824,2.46,227.0,72.1,16.15
1638907396,FLAWED_AMETHYST_GEM,314.8,541.8,199690,3225322,72126,9175963,2.46,227.0,72.1,16.15
1638907404,FLAWED_AMETHYST_GEM,314.8,541.8,199690,3225322,72126,9175963,2.46,227.0,72.1,16.15
1638907415,FLAWED_AMETHYST_GEM,314.8,541.8,199690,3224963,72126,9176322,2.46,227.0,72.1,16.15
1638907521,FLAWED_AMETHYST_GEM,314.8,541.8,199690,3224383,72126,9176902,2.46,227.0,72.1,16.15
1638907532,FLAWED_AMETHYST_GEM,314.8,541.8,199690,3224383,72126,9176902,2.46,227.0,72.1,16.15
1638907545,FLAWED_AMETHYST_GEM,314.8,541.8,199690,3224360,72126,9176925,2.46,227.0,72.1,16.15
1638907557,FLAWED_AMETHYST_GEM,314.8,541.8,199690,3224127,72126,9177158,2.46,227.0,72.1,16.15
1638907570,FLAWED_AMETHYST_GEM,314.8,541.8,199690,3224127,72126,9177158,2.46,227.0,72.1,16.15
1638907607,FLAWED_AMETHYST_GEM,314.8,541.8,199690,3223910,72126,9177375,2.46,227.0,72.1,16.14
