UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,FLAWED_JADE_GEM,309.2,324.2,187209,2628518,111061,14663511,1.25,15.0,4.9,14.04
1638903006,FLAWED_JADE_GEM,309.2,324.2,187209,2627031,111061,14664998,1.25,15.0,4.9,14.03
1638903006,FLAWED_JADE_GEM,309.2,324.2,187209,2627031,111061,14664998,1.25,15.0,4.9,14.03
1638903057,FLAWED_JADE_GEM,309.3,324.2,187209,2697375,111061,14666334,1.29,14.9,4.8,14.41
1638903086,FLAWED_JADE_GEM,309.3,324.2,187208,2697350,111062,14666359,1.29,14.9,4.8,14.41
1638903086,FLAWED_JADE_GEM,309.3,324.2,187208,2697350,111062,14666359,1.29,14.9,4.8,14.41
1638903086,FLAWED_JADE_GEM,309.3,324.2,187208,2697350,111062,14666359,1.29,14.9,4.8,14.41
1638903086,FLAWED_JADE_GEM,309.3,324.2,187208,2697350,111062,14666359,1.29,14.9,4.8,14.41
1638903226,FLAWED_JADE_GEM,309.3,324.2,187208,2696723,111062,14666986,1.29,14.9,4.8,14.4
1638903233,FLAWED_JADE_GEM,309.3,324.2,187208,2696723,111062,14666986,1.29,14.9,4.8,14.4
1638903240,FLAWED_JADE_GEM,309.3,324.2,187208,2696693,111062,14667016,1.29,14.9,4.8,14.4
1638903248,FLAWED_JADE_GEM,309.3,324.2,187208,2696693,111062,14667016,1.29,14.9,4.8,14.4
1638903855,FLAWED_JADE_GEM,309.3,324.3,187020,2683563,111467,14680594,1.28,15.0,4.8,14.35
1638904100,FLAWED_JADE_GEM,309.3,324.2,187061,2682037,111467,14682120,1.28,14.9,4.8,14.34
1638904100,FLAWED_JADE_GEM,309.3,324.2,187061,2682037,111467,14682120,1.28,14.9,4.8,14.34
1638904100,FLAWED_JADE_GEM,309.3,324.2,187061,2682037,111467,14682120,1.28,14.9,4.8,14.34
1638904189,FLAWED_JADE_GEM,309.3,324.2,186932,2681697,111468,14682460,1.28,14.9,4.8,14.35
1638904196,FLAWED_JADE_GEM,309.3,324.2,186932,2681697,111468,14682460,1.28,14.9,4.8,14.35
1638905497,FLAWED_JADE_GEM,309.8,324.4,186925,2827492,111797,14773672,1.34,14.6,4.7,15.13
1638905504,FLAWED_JADE_GEM,309.8,324.4,186925,2827492,111797,14773672,1.34,14.6,4.7,15.13
