UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,FLAWED_JASPER_GEM,793.0,899.6,31432,427233,112208,3041254,0.98,106.6,13.4,13.59
1638903006,FLAWED_JASPER_GEM,793.1,1050.0,17082,427337,120336,3041310,0.98,256.9,32.4,25.02
1638903006,FLAWED_JASPER_GEM,793.1,1050.0,17082,427337,120336,3041310,0.98,256.9,32.4,25.02
1638903057,FLAWED_JASPER_GEM,793.1,1050.0,17081,427325,120337,3041322,0.98,256.9,32.4,25.02
1638903086,FLAWED_JASPER_GEM,793.1,1050.0,17081,427325,120337,3041322,0.98,256.9,32.4,25.02
1638903086,FLAWED_JASPER_GEM,793.1,1050.0,17081,427325,120337,3041322,0.98,256.9,32.4,25.02
1638903086,FLAWED_JASPER_GEM,793.1,1050.0,17081,427325,120337,3041322,0.98,256.9,32.4,25.02
1638903086,FLAWED_JASPER_GEM,793.1,1050.0,17081,427325,120337,3041322,0.98,256.9,32.4,25.02
1638903226,FLAWED_JASPER_GEM,793.1,1049.9,17241,456735,120337,3041470,1.05,256.8,32.4,26.49
1638903233,FLAWED_JASPER_GEM,793.1,1049.9,17241,456735,120337,3041470,1.05,256.8,32.4,26.49
1638903240,FLAWED_JASPER_GEM,793.1,1049.9,17241,456717,120337,3041488,1.05,256.8,32.4,26.49
1638903248,FLAWED_JASPER_GEM,793.1,1049.9,17241,456717,120337,3041488,1.05,256.8,32.4,26.49
1638903855,FLAWED_JASPER_GEM,793.1,1049.8,17120,453161,120337,3045044,1.04,256.7,32.4,26.47
1638904100,FLAWED_JASPER_GEM,793.2,1049.7,17137,484971,120338,3045234,1.11,256.5,32.300000000000004,28.3
1638904100,FLAWED_JASPER_GEM,793.2,1049.7,17137,484971,120338,3045234,1.11,256.5,32.300000000000004,28.3
1638904100,FLAWED_JASPER_GEM,793.2,1049.7,17137,484971,120338,3045234,1.11,256.5,32.300000000000004,28.3
1638904189,FLAWED_JASPER_GEM,793.2,1049.7,17137,484907,120338,3045298,1.11,256.5,32.300000000000004,28.3
1638904196,FLAWED_JASPER_GEM,793.2,1049.7,17137,484907,120338,3045298,1.11,256.5,32.300000000000004,28.3
1638905497,FLAWED_JASPER_GEM,793.3,1049.5,17581,481944,120348,3049624,1.11,256.2,32.300000000000004,27.41
1638905504,FLAWED_JASPER_GEM,793.3,1049.5,17581,481944,120348,3049624,1.11,256.2,32.300000000000004,27.41
