UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,FLAWED_RUBY_GEM,308.6,352.7,214638,3729200,618050,22414683,1.16,44.1,14.3,17.37
1638903006,FLAWED_RUBY_GEM,308.6,352.7,214720,3726442,618050,22417441,1.16,44.1,14.3,17.35
1638903006,FLAWED_RUBY_GEM,308.6,352.7,214720,3726442,618050,22417441,1.16,44.1,14.3,17.35
1638903057,FLAWED_RUBY_GEM,308.6,352.8,214720,3726417,618050,22417546,1.16,44.2,14.3,17.35
1638903086,FLAWED_RUBY_GEM,308.6,352.8,214699,3725180,618071,22418783,1.16,44.2,14.3,17.35
1638903086,FLAWED_RUBY_GEM,308.6,352.8,214699,3725180,618071,22418783,1.16,44.2,14.3,17.35
1638903086,FLAWED_RUBY_GEM,308.6,352.8,214699,3725180,618071,22418783,1.16,44.2,14.3,17.35
1638903086,FLAWED_RUBY_GEM,308.6,352.8,214699,3725180,618071,22418783,1.16,44.2,14.3,17.35
1638903226,FLAWED_RUBY_GEM,308.7,352.9,214650,3722228,618120,22423783,1.16,44.2,14.3,17.34
1638903233,FLAWED_RUBY_GEM,308.7,352.9,214650,3722228,618120,22423783,1.16,44.2,14.3,17.34
1638903240,FLAWED_RUBY_GEM,308.6,352.9,213818,3722086,618952,22423925,1.16,44.3,14.4,17.41
1638903248,FLAWED_RUBY_GEM,308.6,352.9,213818,3722086,618952,22423925,1.16,44.3,14.4,17.41
1638903855,FLAWED_RUBY_GEM,308.6,348.3,214215,3703707,619081,22442349,1.16,39.7,12.9,17.29
1638904100,FLAWED_RUBY_GEM,308.0,348.3,214020,3690150,619392,22455906,1.15,40.3,13.1,17.24
1638904100,FLAWED_RUBY_GEM,308.0,348.3,214020,3690150,619392,22455906,1.15,40.3,13.1,17.24
1638904100,FLAWED_RUBY_GEM,308.0,348.3,214020,3690150,619392,22455906,1.15,40.3,13.1,17.24
1638904189,FLAWED_RUBY_GEM,308.0,348.3,214011,3664281,619401,22481775,1.14,40.3,13.1,17.12
1638904196,FLAWED_RUBY_GEM,308.0,348.3,214011,3664281,619401,22481775,1.14,40.3,13.1,17.12
1638905497,FLAWED_RUBY_GEM,308.2,340.7,286508,3848643,619951,22545255,1.19,32.5,10.5,13.43
1638905504,FLAWED_RUBY_GEM,308.2,340.7,286508,3848643,619951,22545255,1.19,32.5,10.5,13.43
