UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,FLAWED_TOPAZ_GEM,327.3,385.7,119651,97554,138781,14009139,0.05,58.4,17.8,-1.23
1638903006,FLAWED_TOPAZ_GEM,327.3,385.7,119651,96481,138781,14010212,0.05,58.4,17.8,-1.24
1638903006,FLAWED_TOPAZ_GEM,327.3,385.7,119651,96481,138781,14010212,0.05,58.4,17.8,-1.24
1638903057,FLAWED_TOPAZ_GEM,327.3,385.7,119651,95683,138781,14011010,0.05,58.4,17.8,-1.25
1638903086,FLAWED_TOPAZ_GEM,327.3,385.7,119651,95679,138781,14011014,0.05,58.4,17.8,-1.25
1638903086,FLAWED_TOPAZ_GEM,327.3,385.7,119651,95679,138781,14011014,0.05,58.4,17.8,-1.25
1638903086,FLAWED_TOPAZ_GEM,327.3,385.7,119651,95679,138781,14011014,0.05,58.4,17.8,-1.25
1638903086,FLAWED_TOPAZ_GEM,327.3,385.7,119651,95679,138781,14011014,0.05,58.4,17.8,-1.25
1638903226,FLAWED_TOPAZ_GEM,327.3,385.7,119651,90555,138781,14016138,0.05,58.4,17.8,-1.32
1638903233,FLAWED_TOPAZ_GEM,327.3,385.7,119651,90555,138781,14016138,0.05,58.4,17.8,-1.32
1638903240,FLAWED_TOPAZ_GEM,327.3,385.7,119651,90455,138781,14016238,0.05,58.4,17.8,-1.32
1638903248,FLAWED_TOPAZ_GEM,327.3,385.7,119651,90455,138781,14016238,0.05,58.4,17.8,-1.32
1638903855,FLAWED_TOPAZ_GEM,327.3,385.6,119720,82182,138782,14024511,0.04,58.3,17.8,-1.46
1638904100,FLAWED_TOPAZ_GEM,326.6,385.6,119720,77965,138782,14028728,0.04,59.0,18.1,-1.54
1638904100,FLAWED_TOPAZ_GEM,326.6,385.6,119720,77965,138782,14028728,0.04,59.0,18.1,-1.54
1638904100,FLAWED_TOPAZ_GEM,326.6,385.6,119720,77965,138782,14028728,0.04,59.0,18.1,-1.54
1638904189,FLAWED_TOPAZ_GEM,326.6,385.6,119719,72734,138783,14033959,0.04,59.0,18.1,-1.65
1638904196,FLAWED_TOPAZ_GEM,326.6,385.6,119719,72734,138783,14033959,0.04,59.0,18.1,-1.65
1638905497,FLAWED_TOPAZ_GEM,326.5,385.6,119709,43295,138794,14063399,0.02,59.1,18.1,-2.76
1638905504,FLAWED_TOPAZ_GEM,326.5,385.6,119709,43295,138794,14063399,0.02,59.1,18.1,-2.76
1638906506,FLAWED_TOPAZ_GEM,326.5,385.4,119960,4326,138795,14086530,0.0,58.9,18.0,-27.73
1638906538,FLAWED_TOPAZ_GEM,326.5,385.4,119960,4195,138795,14086661,0.0,58.9,18.0,-28.6
1638906598,FLAWED_TOPAZ_GEM,326.5,385.4,119960,3515,138795,14087341,0.0,58.9,18.0,-34.13
1638906612,FLAWED_TOPAZ_GEM,326.5,385.4,119960,3514,138795,14087342,0.0,58.9,18.0,-34.14
1638906620,FLAWED_TOPAZ_GEM,326.5,385.4,119960,3514,138795,14087342,0.0,58.9,18.0,-34.14
1638906646,FLAWED_TOPAZ_GEM,326.5,385.4,119960,3509,138795,14087347,0.0,58.9,18.0,-34.19
1638906653,FLAWED_TOPAZ_GEM,326.5,385.4,119960,3420,138795,14087436,0.0,58.9,18.0,-35.08
1638906660,FLAWED_TOPAZ_GEM,326.5,385.4,119960,3283,138795,14087573,0.0,58.9,18.0,-36.54
1638906889,FLAWED_TOPAZ_GEM,326.5,385.4,119960,72148,138795,14090388,0.04,58.9,18.0,-1.66
1638906898,FLAWED_TOPAZ_GEM,326.5,385.4,119960,72059,138795,14090477,0.04,58.9,18.0,-1.66
1638906939,FLAWED_TOPAZ_GEM,110.0,385.4,119960,70048,138795,14092488,0.03,275.4,250.4,-1.71
1638906980,FLAWED_TOPAZ_GEM,110.0,385.4,119959,69103,138796,14093433,0.03,275.4,250.4,-1.74
1638907080,FLAWED_TOPAZ_GEM,110.0,385.4,119959,67979,138796,14094557,0.03,275.4,250.4,-1.76
1638907129,FLAWED_TOPAZ_GEM,110.2,385.4,119959,68067,138796,14094629,0.03,275.2,249.7,-1.76
1638907209,FLAWED_TOPAZ_GEM,110.2,385.3,119976,68900,138796,14094796,0.03,275.1,249.6,-1.74
1638907229,FLAWED_TOPAZ_GEM,110.2,385.3,119975,68490,138797,14095063,0.03,275.1,249.6,-1.75
1638907265,FLAWED_TOPAZ_GEM,110.2,385.3,119974,68390,138798,14095163,0.03,275.1,249.6,-1.75
1638907280,FLAWED_TOPAZ_GEM,110.2,385.3,119974,68074,138798,14095479,0.03,275.1,249.6,-1.76
1638907311,FLAWED_TOPAZ_GEM,110.1,385.3,119974,69841,138798,14101676,0.03,275.2,250.0,-1.72
1638907322,FLAWED_TOPAZ_GEM,110.1,385.3,119974,69837,138798,14101680,0.03,275.2,250.0,-1.72
1638907346,FLAWED_TOPAZ_GEM,110.1,385.2,120063,68854,138799,14102663,0.03,275.1,249.9,-1.74
1638907359,FLAWED_TOPAZ_GEM,110.1,385.2,120063,68854,138799,14102663,0.03,275.1,249.9,-1.74
1638907396,FLAWED_TOPAZ_GEM,123.9,385.1,120141,69632,138799,14102909,0.03,261.2,210.8,-1.73
1638907404,FLAWED_TOPAZ_GEM,123.9,385.1,120141,69632,138799,14102909,0.03,261.2,210.8,-1.73
1638907415,FLAWED_TOPAZ_GEM,123.9,385.1,120141,69495,138799,14103046,0.03,261.2,210.8,-1.73
1638907521,FLAWED_TOPAZ_GEM,110.2,385.1,120141,75194,138799,14103949,0.04,274.9,249.5,-1.6
1638907532,FLAWED_TOPAZ_GEM,110.2,385.1,120141,75194,138799,14103949,0.04,274.9,249.5,-1.6
1638907545,FLAWED_TOPAZ_GEM,110.2,385.0,121437,75160,138799,14103983,0.04,274.8,249.40000000000003,-1.62
1638907557,FLAWED_TOPAZ_GEM,110.2,384.9,121437,75060,138799,14104083,0.04,274.7,249.3,-1.62
1638907570,FLAWED_TOPAZ_GEM,110.3,384.8,124110,145055,138799,14104088,0.07,274.5,248.9,1.17
1638907607,FLAWED_TOPAZ_GEM,149.5,384.7,124188,75166,138799,14104267,0.04,235.2,157.29999999999998,-1.65
1638907625,FLAWED_TOPAZ_GEM,183.0,384.7,124188,153891,138799,14104269,0.08,201.7,110.2,1.24
1638907672,FLAWED_TOPAZ_GEM,183.1,384.7,124188,158415,138799,14106793,0.08,201.6,110.1,1.28
