UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,FLINT,11.3,11.9,402607,2184215,2251820,9541893,1.6,0.6,5.3,5.43
1638903006,FLINT,11.3,11.6,405373,2182967,2251840,9543141,1.6,0.3,2.7,5.39
1638903006,FLINT,11.3,11.6,405373,2182967,2251840,9543141,1.6,0.3,2.7,5.39
1638903057,FLINT,11.3,11.6,405241,2182967,2251972,9543141,1.6,0.3,2.7,5.39
1638903086,FLINT,11.3,11.6,405211,2182852,2252002,9543256,1.6,0.3,2.7,5.39
1638903086,FLINT,11.3,11.6,405211,2182852,2252002,9543256,1.6,0.3,2.7,5.39
1638903086,FLINT,11.3,11.6,405211,2182852,2252002,9543256,1.6,0.3,2.7,5.39
1638903086,FLINT,11.3,11.6,405211,2182852,2252002,9543256,1.6,0.3,2.7,5.39
1638903226,FLINT,11.3,11.6,404955,2180156,2252258,9545952,1.6,0.3,2.7,5.38
1638903233,FLINT,11.3,11.6,404955,2180156,2252258,9545952,1.6,0.3,2.7,5.38
1638903240,FLINT,11.3,11.6,405595,2179864,2252258,9546244,1.6,0.3,2.7,5.37
1638903248,FLINT,11.3,11.6,405595,2179864,2252258,9546244,1.6,0.3,2.7,5.37
1638903855,FLINT,11.3,11.4,406162,2170699,2252960,9555409,1.59,0.1,0.8999999999999999,5.34
1638904100,FLINT,11.4,11.5,405029,2168520,2252961,9561428,1.59,0.1,0.8999999999999999,5.35
1638904100,FLINT,11.4,11.5,405029,2168520,2252961,9561428,1.59,0.1,0.8999999999999999,5.35
1638904100,FLINT,11.4,11.5,405029,2168520,2252961,9561428,1.59,0.1,0.8999999999999999,5.35
1638904189,FLINT,11.4,11.5,405029,2167390,2252961,9562558,1.59,0.1,0.8999999999999999,5.35
1638904196,FLINT,11.4,11.5,405029,2167390,2252961,9562558,1.59,0.1,0.8999999999999999,5.35
1638905497,FLINT,11.4,11.7,402075,2160012,2258952,9588647,1.58,0.3,2.6,5.37
1638905504,FLINT,11.4,11.7,402075,2160012,2258952,9588647,1.58,0.3,2.6,5.37
1638906506,FLINT,11.4,11.9,399222,2215622,2261166,9604717,1.61,0.5,4.4,5.55
1638906538,FLINT,11.4,11.9,399222,2213958,2261166,9606381,1.61,0.5,4.4,5.55
1638906598,FLINT,11.4,11.9,399222,2213958,2261166,9606381,1.61,0.5,4.4,5.55
1638906612,FLINT,11.4,11.9,399222,2213470,2261166,9606869,1.61,0.5,4.4,5.54
1638906620,FLINT,11.4,11.9,399222,2213470,2261166,9606869,1.61,0.5,4.4,5.54
1638906646,FLINT,11.4,11.9,399222,2213470,2261166,9606869,1.61,0.5,4.4,5.54
1638906653,FLINT,11.4,11.9,399222,2213470,2261166,9606869,1.61,0.5,4.4,5.54
1638906660,FLINT,11.4,11.9,399222,2213180,2261166,9607159,1.61,0.5,4.4,5.54
1638906889,FLINT,11.4,11.6,400338,2210953,2261679,9609386,1.61,0.2,1.7999999999999998,5.52
1638906898,FLINT,11.4,11.6,400274,2210953,2261743,9609386,1.61,0.2,1.7999999999999998,5.52
1638906939,FLINT,11.4,11.6,400274,2210313,2261743,9610026,1.61,0.2,1.7999999999999998,5.52
1638906980,FLINT,11.4,11.6,400274,2210313,2261743,9610026,1.61,0.2,1.7999999999999998,5.52
1638907080,FLINT,11.4,11.6,399953,2208607,2262064,9612756,1.61,0.2,1.7999999999999998,5.52
1638907129,FLINT,11.4,11.5,400977,2208602,2262064,9612761,1.61,0.1,0.8999999999999999,5.51
1638907209,FLINT,11.4,11.5,400976,2208297,2262065,9613066,1.61,0.1,0.8999999999999999,5.51
1638907229,FLINT,11.4,11.5,400592,2208019,2262449,9613344,1.61,0.1,0.8999999999999999,5.51
1638907265,FLINT,11.4,11.5,400592,2207809,2262449,9613554,1.61,0.1,0.8999999999999999,5.51
1638907280,FLINT,11.4,11.5,400592,2207800,2262449,9613563,1.61,0.1,0.8999999999999999,5.51
1638907311,FLINT,11.4,11.5,400590,2207763,2262451,9613600,1.61,0.1,0.8999999999999999,5.51
1638907322,FLINT,11.4,11.5,400590,2207763,2262451,9613600,1.61,0.1,0.8999999999999999,5.51
1638907346,FLINT,11.4,11.5,400589,2207699,2262452,9613664,1.61,0.1,0.8999999999999999,5.51
1638907359,FLINT,11.4,11.5,400589,2207699,2262452,9613664,1.61,0.1,0.8999999999999999,5.51
1638907396,FLINT,11.4,11.5,400589,2207699,2262452,9613664,1.61,0.1,0.8999999999999999,5.51
1638907404,FLINT,11.4,11.5,400589,2207699,2262452,9613664,1.61,0.1,0.8999999999999999,5.51
1638907415,FLINT,11.4,11.5,400589,2207054,2262452,9614309,1.61,0.1,0.8999999999999999,5.51
1638907521,FLINT,11.4,11.6,400589,2205860,2262452,9615503,1.61,0.2,1.7999999999999998,5.51
1638907532,FLINT,11.4,11.6,400589,2205860,2262452,9615503,1.61,0.2,1.7999999999999998,5.51
1638907545,FLINT,11.4,11.6,400589,2205860,2262452,9615503,1.61,0.2,1.7999999999999998,5.51
1638907557,FLINT,11.4,11.6,400589,2205860,2262452,9615503,1.61,0.2,1.7999999999999998,5.51
1638907570,FLINT,11.4,11.6,399953,2205860,2262452,9615503,1.61,0.2,1.7999999999999998,5.52
1638907607,FLINT,11.4,11.6,399943,2205859,2262462,9615504,1.61,0.2,1.7999999999999998,5.52
1638907625,FLINT,11.4,11.6,399943,2205859,2262462,9615504,1.61,0.2,1.7999999999999998,5.52
1638907672,FLINT,11.4,11.6,399933,2205667,2262472,9615696,1.61,0.2,1.7999999999999998,5.52
