UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,FUMING_POTATO_BOOK,1134111.5,1196504.7,1226,7230,23484,13738,3.68,62393.2,5.5,5.9
1638903006,FUMING_POTATO_BOOK,1134111.6,1196504.5,1228,7257,23484,13739,3.7,62392.9,5.5,5.91
1638903006,FUMING_POTATO_BOOK,1134111.6,1196504.5,1228,7257,23484,13739,3.7,62392.9,5.5,5.91
1638903057,FUMING_POTATO_BOOK,1134111.6,1196504.6,1229,7255,23484,13741,3.7,62393.0,5.5,5.9
1638903086,FUMING_POTATO_BOOK,1134111.6,1196504.5,1230,7253,23484,13743,3.69,62392.9,5.5,5.9
1638903086,FUMING_POTATO_BOOK,1134111.6,1196504.5,1230,7253,23484,13743,3.69,62392.9,5.5,5.9
1638903086,FUMING_POTATO_BOOK,1134111.6,1196504.5,1230,7253,23484,13743,3.69,62392.9,5.5,5.9
1638903086,FUMING_POTATO_BOOK,1134111.6,1196504.5,1230,7253,23484,13743,3.69,62392.9,5.5,5.9
1638903226,FUMING_POTATO_BOOK,1134111.6,1196504.2,1243,7252,23484,13744,3.69,62392.6,5.5,5.83
1638903233,FUMING_POTATO_BOOK,1134111.6,1196504.2,1243,7252,23484,13744,3.69,62392.6,5.5,5.83
1638903240,FUMING_POTATO_BOOK,1134111.6,1196504.3,1233,7230,23488,13744,3.68,62392.7,5.5,5.86
1638903248,FUMING_POTATO_BOOK,1134111.6,1196504.3,1233,7230,23488,13744,3.68,62392.7,5.5,5.86
1638903855,FUMING_POTATO_BOOK,1134111.9,1196503.5,1235,7253,23509,13766,3.69,62391.6,5.5,5.87
1638904100,FUMING_POTATO_BOOK,1134112.0,1156000.0,1238,7276,23511,13774,3.7,21888.0,1.9,5.88
1638904100,FUMING_POTATO_BOOK,1134112.0,1156000.0,1238,7276,23511,13774,3.7,21888.0,1.9,5.88
1638904100,FUMING_POTATO_BOOK,1134112.0,1156000.0,1238,7276,23511,13774,3.7,21888.0,1.9,5.88
1638904189,FUMING_POTATO_BOOK,1134112.0,1155999.9,1245,7269,23511,13782,3.69,21887.9,1.9,5.84
1638904196,FUMING_POTATO_BOOK,1134112.0,1155999.9,1245,7269,23511,13782,3.69,21887.9,1.9,5.84
1638905497,FUMING_POTATO_BOOK,1134112.4,1155999.3,1224,7284,23573,13801,3.69,21886.9,1.9,5.95
1638905504,FUMING_POTATO_BOOK,1134112.4,1155999.3,1224,7284,23573,13801,3.69,21886.9,1.9,5.95
1638906506,FUMING_POTATO_BOOK,1134112.6,1196503.8,1229,7318,23609,13831,3.7,62391.2,5.5,5.95
1638906538,FUMING_POTATO_BOOK,1134112.6,1196504.2,1226,7317,23609,13832,3.7,62391.6,5.5,5.97
1638906598,FUMING_POTATO_BOOK,1134112.6,1196504.1,1218,7324,23619,13832,3.71,62391.5,5.5,6.01
1638906612,FUMING_POTATO_BOOK,1134112.7,1196504.1,1215,7324,23619,13832,3.71,62391.4,5.5,6.03
1638906620,FUMING_POTATO_BOOK,1134112.7,1196504.1,1215,7324,23619,13832,3.71,62391.4,5.5,6.03
1638906646,FUMING_POTATO_BOOK,1134112.8,1196503.9,1217,7329,23619,13833,3.71,62391.1,5.5,6.02
1638906653,FUMING_POTATO_BOOK,1134112.9,1196503.9,1218,7356,23619,13834,3.72,62391.0,5.5,6.04
1638906660,FUMING_POTATO_BOOK,1134112.9,1196503.9,1218,7370,23619,13834,3.73,62391.0,5.5,6.05
1638906889,FUMING_POTATO_BOOK,1134113.2,1196505.8,1200,7411,23640,13848,3.75,62392.6,5.5,6.18
1638906898,FUMING_POTATO_BOOK,1134113.2,1196505.8,1200,7411,23640,13848,3.75,62392.6,5.5,6.18
1638906939,FUMING_POTATO_BOOK,1134113.2,1196505.7,1201,7410,23640,13849,3.75,62392.5,5.5,6.17
1638906980,FUMING_POTATO_BOOK,1134113.3,1196505.6,1205,7435,23640,13849,3.76,62392.3,5.5,6.17
1638907080,FUMING_POTATO_BOOK,1137233.0,1196505.5,1211,7478,23640,13852,3.78,59272.5,5.2,6.18
1638907129,FUMING_POTATO_BOOK,1137233.1,1196505.6,1206,7482,23641,13852,3.78,59272.5,5.2,6.2
1638907209,FUMING_POTATO_BOOK,1137233.2,1196505.4,1202,7506,23647,13856,3.79,59272.2,5.2,6.24
1638907229,FUMING_POTATO_BOOK,1137233.2,1196505.3,1204,7506,23647,13856,3.79,59272.1,5.2,6.23
1638907265,FUMING_POTATO_BOOK,1137233.2,1196505.7,1199,7503,23650,13859,3.79,59272.5,5.2,6.26
1638907280,FUMING_POTATO_BOOK,1137233.2,1196505.7,1199,7503,23650,13859,3.79,59272.5,5.2,6.26
1638907311,FUMING_POTATO_BOOK,1137233.0,1196505.6,1205,7479,23650,13859,3.78,59272.6,5.2,6.21
1638907322,FUMING_POTATO_BOOK,1137233.0,1196505.6,1205,7479,23650,13859,3.78,59272.6,5.2,6.21
1638907346,FUMING_POTATO_BOOK,1137233.0,1196505.6,1200,7479,23655,13859,3.78,59272.6,5.2,6.23
1638907359,FUMING_POTATO_BOOK,1137233.0,1196505.6,1200,7479,23655,13859,3.78,59272.6,5.2,6.23
1638907396,FUMING_POTATO_BOOK,1137233.1,1196505.4,1201,7481,23655,13860,3.78,59272.3,5.2,6.23
1638907404,FUMING_POTATO_BOOK,1137233.1,1196505.4,1201,7481,23655,13860,3.78,59272.3,5.2,6.23
1638907415,FUMING_POTATO_BOOK,1137233.1,1196505.8,1197,7481,23660,13860,3.78,59272.7,5.2,6.25
1638907521,FUMING_POTATO_BOOK,1137233.0,1196505.6,1203,7477,23661,13864,3.78,59272.6,5.2,6.22
1638907532,FUMING_POTATO_BOOK,1137233.0,1196505.6,1203,7477,23661,13864,3.78,59272.6,5.2,6.22
1638907545,FUMING_POTATO_BOOK,1137233.0,1196508.6,1203,7476,23661,13865,3.77,59275.6,5.2,6.21
1638907557,FUMING_POTATO_BOOK,1137233.0,1196508.5,1184,7475,23681,13866,3.77,59275.5,5.2,6.31
1638907570,FUMING_POTATO_BOOK,1137233.1,1196508.6,1185,7478,23681,13868,3.77,59275.5,5.2,6.31
1638907607,FUMING_POTATO_BOOK,1137233.1,1196508.4,1185,7477,23681,13869,3.77,59275.3,5.2,6.31
1638907625,FUMING_POTATO_BOOK,1137233.2,1196508.3,1191,7483,23681,13870,3.78,59275.1,5.2,6.28
1638907672,FUMING_POTATO_BOOK,1137233.2,1196508.1,1199,7458,23681,13871,3.76,59274.9,5.2,6.22
