UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,GLOWSTONE_DUST,12.0,17.0,1274192,1643597,20126954,24106758,0.48,5.0,41.7,1.29
1638903006,GLOWSTONE_DUST,12.0,17.0,1273233,1642991,20127913,24107245,0.48,5.0,41.7,1.29
1638903006,GLOWSTONE_DUST,12.0,17.0,1273233,1642991,20127913,24107245,0.48,5.0,41.7,1.29
1638903057,GLOWSTONE_DUST,12.0,17.0,1273193,1641729,20127953,24108507,0.48,5.0,41.7,1.29
1638903086,GLOWSTONE_DUST,12.0,17.0,1273121,1641592,20128025,24108644,0.48,5.0,41.7,1.29
1638903086,GLOWSTONE_DUST,12.0,17.0,1273121,1641592,20128025,24108644,0.48,5.0,41.7,1.29
1638903086,GLOWSTONE_DUST,12.0,17.0,1273121,1641592,20128025,24108644,0.48,5.0,41.7,1.29
1638903086,GLOWSTONE_DUST,12.0,17.0,1273121,1641592,20128025,24108644,0.48,5.0,41.7,1.29
1638903226,GLOWSTONE_DUST,12.0,17.0,1269857,1639496,20131481,24110740,0.48,5.0,41.7,1.29
1638903233,GLOWSTONE_DUST,12.0,17.0,1269857,1639496,20131481,24110740,0.48,5.0,41.7,1.29
1638903240,GLOWSTONE_DUST,12.0,17.0,1269857,1638276,20131481,24111960,0.48,5.0,41.7,1.29
1638903248,GLOWSTONE_DUST,12.0,17.0,1269857,1638276,20131481,24111960,0.48,5.0,41.7,1.29
1638903855,GLOWSTONE_DUST,11.1,16.2,1274017,1544051,20145758,24206193,0.45,5.1,45.9,1.21
1638904100,GLOWSTONE_DUST,11.2,16.0,1302814,1625867,20149674,24214377,0.47,4.8,42.9,1.25
1638904100,GLOWSTONE_DUST,11.2,16.0,1302814,1625867,20149674,24214377,0.47,4.8,42.9,1.25
1638904100,GLOWSTONE_DUST,11.2,16.0,1302814,1625867,20149674,24214377,0.47,4.8,42.9,1.25
1638904189,GLOWSTONE_DUST,11.2,15.9,1303522,1625660,20150250,24214584,0.47,4.7,42.0,1.25
1638904196,GLOWSTONE_DUST,11.2,15.9,1303522,1625660,20150250,24214584,0.47,4.7,42.0,1.25
1638905497,GLOWSTONE_DUST,11.1,15.7,1411651,1430026,20173548,24260238,0.41,4.6,41.4,1.01
1638905504,GLOWSTONE_DUST,11.1,15.7,1411651,1430026,20173548,24260238,0.41,4.6,41.4,1.01
1638906506,GLOWSTONE_DUST,11.8,15.6,1413523,1449498,20191053,24266695,0.42,3.8,32.2,1.03
1638906538,GLOWSTONE_DUST,11.8,15.6,1411987,1449274,20192589,24266919,0.42,3.8,32.2,1.03
1638906598,GLOWSTONE_DUST,11.8,15.6,1403603,1448249,20200973,24267944,0.42,3.8,32.2,1.03
1638906612,GLOWSTONE_DUST,11.8,15.6,1403603,1448249,20200973,24267944,0.42,3.8,32.2,1.03
