UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,GOLD_INGOT,6.2,8.7,1269360,2026597,18712214,68263060,0.21,2.5,40.3,1.6
1638903006,GOLD_INGOT,6.2,8.7,1267817,2021600,18713757,68270081,0.21,2.5,40.3,1.59
1638903006,GOLD_INGOT,6.2,8.7,1267817,2021600,18713757,68270081,0.21,2.5,40.3,1.59
1638903057,GOLD_INGOT,6.2,8.6,1268759,2021003,18714839,68271702,0.21,2.4,38.7,1.59
1638903086,GOLD_INGOT,6.2,8.6,1269693,2018826,18715313,68273879,0.21,2.4,38.7,1.59
1638903086,GOLD_INGOT,6.2,8.6,1269693,2018826,18715313,68273879,0.21,2.4,38.7,1.59
1638903086,GOLD_INGOT,6.2,8.6,1269693,2018826,18715313,68273879,0.21,2.4,38.7,1.59
1638903086,GOLD_INGOT,6.2,8.6,1269693,2018826,18715313,68273879,0.21,2.4,38.7,1.59
1638903226,GOLD_INGOT,6.3,8.7,1264025,2034661,18720981,68286116,0.21,2.4,38.1,1.61
1638903233,GOLD_INGOT,6.3,8.7,1264025,2034661,18720981,68286116,0.21,2.4,38.1,1.61
1638903240,GOLD_INGOT,6.3,8.7,1263897,2033170,18721109,68287607,0.21,2.4,38.1,1.61
1638903248,GOLD_INGOT,6.3,8.7,1263897,2033170,18721109,68287607,0.21,2.4,38.1,1.61
1638903855,GOLD_INGOT,6.7,8.7,1274042,2161522,18733829,68357809,0.22,2.0,29.9,1.7
1638904100,GOLD_INGOT,6.8,8.5,1268756,2166060,18740539,68375343,0.22,1.7,25.0,1.71
1638904100,GOLD_INGOT,6.8,8.5,1268756,2166060,18740539,68375343,0.22,1.7,25.0,1.71
1638904100,GOLD_INGOT,6.8,8.5,1268756,2166060,18740539,68375343,0.22,1.7,25.0,1.71
1638904189,GOLD_INGOT,6.5,8.6,1268115,2130234,18741180,68411169,0.22,2.1,32.300000000000004,1.68
1638904196,GOLD_INGOT,6.5,8.6,1268115,2130234,18741180,68411169,0.22,2.1,32.300000000000004,1.68
1638905497,GOLD_INGOT,6.4,8.4,1263768,1974901,18622400,67663481,0.2,2.0,31.2,1.56
1638905504,GOLD_INGOT,6.4,8.4,1263768,1974901,18622400,67663481,0.2,2.0,31.2,1.56
