UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,GRAND_EXP_BOTTLE,4403.2,4461.8,278944,101987,3511880,1252443,0.57,58.6,1.3,-2.74
1638903006,GRAND_EXP_BOTTLE,4403.4,4461.7,279817,102536,3512523,1252554,0.57,58.3,1.3,-2.73
1638903006,GRAND_EXP_BOTTLE,4403.4,4461.7,279817,102536,3512523,1252554,0.57,58.3,1.3,-2.73
1638903057,GRAND_EXP_BOTTLE,4403.4,4461.7,278035,102482,3513107,1252609,0.57,58.3,1.3,-2.71
1638903086,GRAND_EXP_BOTTLE,4403.4,4461.6,276556,102343,3513298,1252656,0.57,58.2,1.3,-2.7
1638903086,GRAND_EXP_BOTTLE,4403.4,4461.6,276556,102343,3513298,1252656,0.57,58.2,1.3,-2.7
1638903086,GRAND_EXP_BOTTLE,4403.4,4461.6,276556,102343,3513298,1252656,0.57,58.2,1.3,-2.7
1638903086,GRAND_EXP_BOTTLE,4403.4,4461.6,276556,102343,3513298,1252656,0.57,58.2,1.3,-2.7
1638903226,GRAND_EXP_BOTTLE,4403.2,4461.6,276684,101872,3514583,1253127,0.57,58.4,1.3,-2.72
1638903233,GRAND_EXP_BOTTLE,4403.2,4461.6,276684,101872,3514583,1253127,0.57,58.4,1.3,-2.72
1638903240,GRAND_EXP_BOTTLE,4403.2,4461.6,276616,101791,3514651,1253208,0.57,58.4,1.3,-2.72
1638903248,GRAND_EXP_BOTTLE,4403.2,4461.6,276616,101791,3514651,1253208,0.57,58.4,1.3,-2.72
1638903855,GRAND_EXP_BOTTLE,4400.2,4454.8,279238,101132,3504288,1248514,0.57,54.6,1.2,-2.76
1638904100,GRAND_EXP_BOTTLE,4400.6,4449.4,279536,105225,3505429,1248701,0.59,48.8,1.1,-2.66
1638904100,GRAND_EXP_BOTTLE,4400.6,4449.4,279536,105225,3505429,1248701,0.59,48.8,1.1,-2.66
1638904100,GRAND_EXP_BOTTLE,4400.6,4449.4,279536,105225,3505429,1248701,0.59,48.8,1.1,-2.66
1638904189,GRAND_EXP_BOTTLE,4401.0,4454.9,278884,106371,3506155,1248776,0.6,53.9,1.2,-2.62
1638904196,GRAND_EXP_BOTTLE,4401.0,4454.9,278884,106371,3506155,1248776,0.6,53.9,1.2,-2.62
1638905497,GRAND_EXP_BOTTLE,4400.4,4435.4,313316,103602,3512408,1251136,0.58,35.0,0.8,-3.02
1638905504,GRAND_EXP_BOTTLE,4400.4,4435.4,313316,103602,3512408,1251136,0.58,35.0,0.8,-3.02
1638906506,GRAND_EXP_BOTTLE,4400.4,4432.6,320960,103348,3505966,1248667,0.58,32.2,0.7000000000000001,-3.11
1638906538,GRAND_EXP_BOTTLE,4400.5,4432.7,320767,103287,3506287,1248763,0.58,32.2,0.7000000000000001,-3.11
1638906598,GRAND_EXP_BOTTLE,4402.1,4432.0,322563,103566,3506662,1248974,0.58,29.9,0.7000000000000001,-3.11
1638906612,GRAND_EXP_BOTTLE,4402.1,4432.0,324829,103576,3506667,1248974,0.58,29.9,0.7000000000000001,-3.14
1638906620,GRAND_EXP_BOTTLE,4402.1,4432.0,324829,103576,3506667,1248974,0.58,29.9,0.7000000000000001,-3.14
1638906646,GRAND_EXP_BOTTLE,4400.6,4431.8,324705,103566,3506811,1249034,0.58,31.2,0.7000000000000001,-3.14
1638906653,GRAND_EXP_BOTTLE,4400.6,4431.8,324845,103566,3506968,1249034,0.58,31.2,0.7000000000000001,-3.14
1638906660,GRAND_EXP_BOTTLE,4400.6,4432.0,324624,103566,3507189,1249034,0.58,31.4,0.7000000000000001,-3.13
1638906889,GRAND_EXP_BOTTLE,4400.7,4432.0,323761,103087,3508677,1249611,0.58,31.3,0.7000000000000001,-3.14
1638906898,GRAND_EXP_BOTTLE,4400.7,4432.0,323673,103087,3508765,1249611,0.58,31.3,0.7000000000000001,-3.14
1638906939,GRAND_EXP_BOTTLE,4400.4,4432.1,323333,103078,3509105,1249620,0.58,31.7,0.7000000000000001,-3.14
1638906980,GRAND_EXP_BOTTLE,4400.4,4432.0,321501,103432,3509384,1249672,0.58,31.6,0.7000000000000001,-3.11
1638907080,GRAND_EXP_BOTTLE,4400.4,4431.7,320957,103382,3510361,1249796,0.58,31.3,0.7000000000000001,-3.1
