UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,GRAVEL,3.7,4.8,1336567,1037178,5076336,10202270,0.71,1.1,29.7,-1.29
1638903006,GRAVEL,3.7,4.8,1336567,1033898,5076336,10205550,0.71,1.1,29.7,-1.29
1638903006,GRAVEL,3.7,4.8,1336567,1033898,5076336,10205550,0.71,1.1,29.7,-1.29
1638903057,GRAVEL,3.7,4.8,1335287,1033748,5077616,10205700,0.71,1.1,29.7,-1.29
1638903086,GRAVEL,3.8,4.8,1335287,1033748,5077616,10205700,0.71,1.0,26.3,-1.29
1638903086,GRAVEL,3.8,4.8,1335287,1033748,5077616,10205700,0.71,1.0,26.3,-1.29
1638903086,GRAVEL,3.8,4.8,1335287,1033748,5077616,10205700,0.71,1.0,26.3,-1.29
1638903086,GRAVEL,3.8,4.8,1335287,1033748,5077616,10205700,0.71,1.0,26.3,-1.29
1638903226,GRAVEL,3.9,4.8,1332535,1035627,5080368,10205869,0.71,0.9,23.1,-1.29
1638903233,GRAVEL,3.9,4.8,1332535,1035627,5080368,10205869,0.71,0.9,23.1,-1.29
1638903240,GRAVEL,3.9,4.8,1332535,1035627,5080368,10205869,0.71,0.9,23.1,-1.29
1638903248,GRAVEL,3.9,4.8,1332535,1035627,5080368,10205869,0.71,0.9,23.1,-1.29
1638903855,GRAVEL,3.6,4.8,1325263,999350,5088728,10243170,0.68,1.2,33.300000000000004,-1.33
1638904100,GRAVEL,3.6,4.8,1323891,996873,5090100,10245647,0.68,1.2,33.300000000000004,-1.33
1638904100,GRAVEL,3.6,4.8,1323891,996873,5090100,10245647,0.68,1.2,33.300000000000004,-1.33
1638904100,GRAVEL,3.6,4.8,1323891,996873,5090100,10245647,0.68,1.2,33.300000000000004,-1.33
1638904189,GRAVEL,3.6,4.8,1323019,995768,5090972,10246752,0.68,1.2,33.300000000000004,-1.33
1638904196,GRAVEL,3.6,4.8,1323019,995768,5090972,10246752,0.68,1.2,33.300000000000004,-1.33
1638905497,GRAVEL,3.6,4.7,1302651,964318,5111970,10278202,0.66,1.1,30.6,-1.35
1638905504,GRAVEL,3.6,4.7,1302651,964318,5111970,10278202,0.66,1.1,30.599999999999998,-1.35
