UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,GREEN_CANDY,675.7,699.2,309695,1957653,1746222,2550488,5.37,23.5,3.5000000000000004,6.32
1638903006,GREEN_CANDY,675.7,699.2,309695,1957653,1746222,2550488,5.37,23.5,3.5000000000000004,6.32
1638903006,GREEN_CANDY,675.7,699.2,309695,1957653,1746222,2550488,5.37,23.5,3.5000000000000004,6.32
1638903057,GREEN_CANDY,675.7,699.2,309695,1957653,1746222,2550488,5.37,23.5,3.5000000000000004,6.32
1638903086,GREEN_CANDY,675.7,699.2,309695,1957653,1746222,2550488,5.37,23.5,3.5000000000000004,6.32
1638903086,GREEN_CANDY,675.7,699.2,309695,1957653,1746222,2550488,5.37,23.5,3.5000000000000004,6.32
1638903086,GREEN_CANDY,675.7,699.2,309695,1957653,1746222,2550488,5.37,23.5,3.5000000000000004,6.32
1638903086,GREEN_CANDY,675.7,699.2,309695,1957653,1746222,2550488,5.37,23.5,3.5000000000000004,6.32
1638903226,GREEN_CANDY,675.7,699.2,309695,1957204,1746222,2550937,5.37,23.5,3.5000000000000004,6.32
1638903233,GREEN_CANDY,675.7,699.2,309695,1957204,1746222,2550937,5.37,23.5,3.5000000000000004,6.32
1638903240,GREEN_CANDY,675.7,699.2,309695,1957199,1746222,2550942,5.37,23.5,3.5000000000000004,6.32
1638903248,GREEN_CANDY,675.7,699.2,309695,1957199,1746222,2550942,5.37,23.5,3.5000000000000004,6.32
1638903855,GREEN_CANDY,675.7,699.2,309695,1958092,1746222,2551073,5.37,23.5,3.5000000000000004,6.32
1638904100,GREEN_CANDY,675.7,788.8,306654,1957964,1749808,2551201,5.37,113.1,16.7,6.38
1638904100,GREEN_CANDY,675.7,788.8,306654,1957964,1749808,2551201,5.37,113.1,16.7,6.38
1638904100,GREEN_CANDY,675.7,788.8,306654,1957964,1749808,2551201,5.37,113.1,16.7,6.38
1638904189,GREEN_CANDY,676.0,788.8,306654,1958407,1749808,2551238,5.37,112.8,16.7,6.39
1638904196,GREEN_CANDY,676.0,788.8,306654,1958407,1749808,2551238,5.37,112.8,16.7,6.39
1638905497,GREEN_CANDY,675.7,788.3,308665,1955139,1749808,2554666,5.36,112.6,16.7,6.33
1638905504,GREEN_CANDY,675.7,788.3,308665,1955139,1749808,2554666,5.36,112.6,16.7,6.33
1638906506,GREEN_CANDY,675.7,787.9,308948,1953789,1749808,2554832,5.35,112.2,16.6,6.32
1638906538,GREEN_CANDY,675.7,787.9,308948,1953789,1749808,2554832,5.35,112.2,16.6,6.32
1638906598,GREEN_CANDY,675.7,787.9,308948,1953638,1749808,2554983,5.35,112.2,16.6,6.32
1638906612,GREEN_CANDY,675.7,787.9,308948,1953638,1749808,2554983,5.35,112.2,16.6,6.32
1638906620,GREEN_CANDY,675.7,787.9,308948,1953638,1749808,2554983,5.35,112.2,16.6,6.32
1638906646,GREEN_CANDY,675.7,787.9,308948,1953636,1749808,2554985,5.35,112.2,16.6,6.32
1638906653,GREEN_CANDY,675.7,787.9,308948,1953636,1749808,2554985,5.35,112.2,16.6,6.32
1638906660,GREEN_CANDY,675.7,787.9,308948,1953636,1749808,2554985,5.35,112.2,16.6,6.32
1638906889,GREEN_CANDY,675.7,787.9,308948,1952889,1749808,2555732,5.35,112.2,16.6,6.32
1638906898,GREEN_CANDY,675.7,787.9,308948,1952889,1749808,2555732,5.35,112.2,16.6,6.32
1638906939,GREEN_CANDY,675.7,787.9,308948,1952083,1749808,2556538,5.34,112.2,16.6,6.32
1638906980,GREEN_CANDY,675.7,787.9,308948,1952083,1749808,2556538,5.34,112.2,16.6,6.32
1638907080,GREEN_CANDY,675.7,787.9,308948,1952006,1749808,2556615,5.34,112.2,16.6,6.32
1638907129,GREEN_CANDY,675.8,787.8,308956,2023117,1749808,2556615,5.54,112.0,16.6,6.55
1638907209,GREEN_CANDY,675.8,787.8,308956,2023095,1749808,2556637,5.54,112.0,16.6,6.55
1638907229,GREEN_CANDY,675.8,787.8,308956,2023095,1749808,2556637,5.54,112.0,16.6,6.55
1638907265,GREEN_CANDY,675.8,787.7,309077,2023095,1749808,2556637,5.54,111.9,16.6,6.55
1638907280,GREEN_CANDY,675.8,787.7,309077,2023095,1749808,2556637,5.54,111.9,16.6,6.55
