UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,GREEN_GIFT,10690.8,12542.2,151793,239739,238950,168717,9.95,1851.4,17.299999999999997,1.58
1638903006,GREEN_GIFT,10690.8,12542.2,151732,239737,239014,168719,9.95,1851.4,17.299999999999997,1.58
1638903006,GREEN_GIFT,10690.8,12542.2,151732,239737,239014,168719,9.95,1851.4,17.299999999999997,1.58
1638903057,GREEN_GIFT,10783.5,12542.2,151732,239995,239014,168721,9.96,1758.7,16.3,1.58
1638903086,GREEN_GIFT,10783.5,12542.1,151732,239995,239014,168721,9.96,1758.6,16.3,1.58
1638903086,GREEN_GIFT,10783.5,12542.1,151732,239995,239014,168721,9.96,1758.6,16.3,1.58
1638903086,GREEN_GIFT,10783.5,12542.1,151732,239995,239014,168721,9.96,1758.6,16.3,1.58
1638903086,GREEN_GIFT,10783.5,12542.1,151732,239995,239014,168721,9.96,1758.6,16.3,1.58
1638903226,GREEN_GIFT,10783.5,12542.2,151655,239992,239078,168724,9.96,1758.7,16.3,1.58
1638903233,GREEN_GIFT,10783.5,12542.2,151655,239992,239078,168724,9.96,1758.7,16.3,1.58
1638903240,GREEN_GIFT,10783.5,12542.2,151654,239992,239079,168724,9.96,1758.7,16.3,1.58
1638903248,GREEN_GIFT,10783.5,12542.2,151654,239992,239079,168724,9.96,1758.7,16.3,1.58
1638903855,GREEN_GIFT,10783.5,12542.3,151390,239870,239343,168753,9.95,1758.8,16.3,1.58
1638904100,GREEN_GIFT,10783.6,12542.3,151355,239951,239379,168754,9.95,1758.7,16.3,1.59
1638904100,GREEN_GIFT,10783.6,12542.3,151355,239951,239379,168754,9.95,1758.7,16.3,1.59
1638904100,GREEN_GIFT,10783.6,12542.3,151355,239951,239379,168754,9.95,1758.7,16.3,1.59
1638904189,GREEN_GIFT,10783.6,12542.3,151355,239950,239379,168755,9.95,1758.7,16.3,1.59
1638904196,GREEN_GIFT,10783.6,12542.3,151355,239950,239379,168755,9.95,1758.7,16.3,1.59
1638905497,GREEN_GIFT,10783.6,12542.1,151177,239971,239735,168828,9.95,1758.5,16.3,1.59
1638905504,GREEN_GIFT,10783.6,12542.1,151177,239971,239735,168828,9.95,1758.5,16.3,1.59
