UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,GRIFFIN_FEATHER,44004.3,48431.3,65747,121618,264870,357017,2.38,4427.0,10.1,1.85
1638903006,GRIFFIN_FEATHER,44004.3,48431.2,65790,121618,264870,357017,2.38,4426.9,10.1,1.85
1638903006,GRIFFIN_FEATHER,44004.3,48431.2,65790,121618,264870,357017,2.38,4426.9,10.1,1.85
1638903057,GRIFFIN_FEATHER,44004.3,48431.2,65790,121618,264870,357017,2.38,4426.9,10.1,1.85
1638903086,GRIFFIN_FEATHER,44004.3,48431.2,65790,121618,264870,357017,2.38,4426.9,10.1,1.85
1638903086,GRIFFIN_FEATHER,44004.3,48431.2,65790,121618,264870,357017,2.38,4426.9,10.1,1.85
1638903086,GRIFFIN_FEATHER,44004.3,48431.2,65790,121618,264870,357017,2.38,4426.9,10.1,1.85
1638903086,GRIFFIN_FEATHER,44004.3,48431.2,65790,121618,264870,357017,2.38,4426.9,10.1,1.85
1638903226,GRIFFIN_FEATHER,44004.3,48431.2,65790,121610,264870,357025,2.38,4426.9,10.1,1.85
1638903233,GRIFFIN_FEATHER,44004.3,48431.2,65790,121610,264870,357025,2.38,4426.9,10.1,1.85
1638903240,GRIFFIN_FEATHER,44004.4,48431.2,65790,121618,264870,357025,2.38,4426.8,10.1,1.85
1638903248,GRIFFIN_FEATHER,44004.4,48431.2,65790,121618,264870,357025,2.38,4426.8,10.1,1.85
1638903855,GRIFFIN_FEATHER,44004.3,48431.4,65470,121607,265190,357028,2.38,4427.1,10.1,1.86
1638904100,GRIFFIN_FEATHER,44004.3,48431.4,65470,121543,265190,357092,2.38,4427.1,10.1,1.86
1638904100,GRIFFIN_FEATHER,44004.3,48431.4,65470,121543,265190,357092,2.38,4427.1,10.1,1.86
1638904100,GRIFFIN_FEATHER,44004.3,48431.4,65470,121543,265190,357092,2.38,4427.1,10.1,1.86
1638904189,GRIFFIN_FEATHER,44004.3,48431.4,65470,121543,265190,357092,2.38,4427.1,10.1,1.86
1638904196,GRIFFIN_FEATHER,44004.3,48431.4,65470,121543,265190,357092,2.38,4427.1,10.1,1.86
1638905497,GRIFFIN_FEATHER,44004.4,48431.2,65587,121546,265267,357201,2.38,4426.8,10.1,1.85
1638905504,GRIFFIN_FEATHER,44004.4,48431.2,65587,121546,265267,357201,2.38,4426.8,10.1,1.85
1638906506,GRIFFIN_FEATHER,44004.3,48430.7,65715,121531,265356,357224,2.38,4426.4,10.1,1.85
1638906538,GRIFFIN_FEATHER,44004.2,48430.7,65715,121484,265356,357224,2.38,4426.5,10.1,1.85
1638906598,GRIFFIN_FEATHER,44004.3,48430.9,65659,121643,265412,357225,2.38,4426.6,10.1,1.85
1638906612,GRIFFIN_FEATHER,44004.3,48430.9,65659,121643,265412,357225,2.38,4426.6,10.1,1.85
1638906620,GRIFFIN_FEATHER,44004.3,48430.9,65659,121643,265412,357225,2.38,4426.6,10.1,1.85
1638906646,GRIFFIN_FEATHER,44004.3,48430.9,65659,121493,265412,357225,2.38,4426.6,10.1,1.85
1638906653,GRIFFIN_FEATHER,44004.3,48430.9,65659,121493,265412,357225,2.38,4426.6,10.1,1.85
1638906660,GRIFFIN_FEATHER,44004.3,48430.9,65659,121493,262943,351015,2.42,4426.6,10.1,1.85
1638906889,GRIFFIN_FEATHER,44004.3,48430.8,65857,121493,263087,351015,2.42,4426.5,10.1,1.84
1638906898,GRIFFIN_FEATHER,44004.3,48430.8,65857,121493,263087,351015,2.42,4426.5,10.1,1.84
1638906939,GRIFFIN_FEATHER,44004.4,48430.8,65849,121536,263095,351015,2.42,4426.4,10.1,1.85
1638906980,GRIFFIN_FEATHER,44004.4,48430.8,65829,121536,263115,351015,2.42,4426.4,10.1,1.85
1638907080,GRIFFIN_FEATHER,44004.5,48430.8,65821,121591,263123,351015,2.42,4426.3,10.1,1.85
1638907129,GRIFFIN_FEATHER,44004.5,48430.8,65821,121591,263123,351015,2.42,4426.3,10.1,1.85
1638907209,GRIFFIN_FEATHER,44004.5,48430.8,65778,121591,263166,351015,2.42,4426.3,10.1,1.85
