UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,HAMSTER_WHEEL,23269.1,24337.7,236568,195217,146848,135444,10.09,1068.6,4.6,-1.21
1638903006,HAMSTER_WHEEL,23152.9,24337.7,236571,195189,146848,135472,10.09,1184.8,5.1,-1.21
1638903006,HAMSTER_WHEEL,23152.9,24337.7,236571,195189,146848,135472,10.09,1184.8,5.1,-1.21
1638903057,HAMSTER_WHEEL,23152.9,24337.7,235414,195183,146873,135478,10.08,1184.8,5.1,-1.21
1638903086,HAMSTER_WHEEL,23152.9,24337.7,235414,195183,146873,135478,10.08,1184.8,5.1,-1.21
1638903086,HAMSTER_WHEEL,23152.9,24337.7,235414,195183,146873,135478,10.08,1184.8,5.1,-1.21
1638903086,HAMSTER_WHEEL,23152.9,24337.7,235414,195183,146873,135478,10.08,1184.8,5.1,-1.21
1638903086,HAMSTER_WHEEL,23152.9,24337.7,235414,195183,146873,135478,10.08,1184.8,5.1,-1.21
1638903226,HAMSTER_WHEEL,23152.9,24337.7,235203,195181,147084,135484,10.08,1184.8,5.1,-1.21
1638903233,HAMSTER_WHEEL,23152.9,24337.7,235203,195181,147084,135484,10.08,1184.8,5.1,-1.21
1638903240,HAMSTER_WHEEL,23152.9,24337.7,235188,195175,147099,135490,10.08,1184.8,5.1,-1.21
1638903248,HAMSTER_WHEEL,23152.9,24337.7,235188,195175,147099,135490,10.08,1184.8,5.1,-1.21
1638903855,HAMSTER_WHEEL,23151.4,24337.5,234647,194646,147131,136051,10.01,1186.1,5.1,-1.21
1638904100,HAMSTER_WHEEL,23151.5,24337.7,234472,194623,147306,136074,10.01,1186.2,5.1,-1.2
1638904100,HAMSTER_WHEEL,23151.5,24337.7,234472,194623,147306,136074,10.01,1186.2,5.1,-1.2
1638904100,HAMSTER_WHEEL,23151.5,24337.7,234472,194623,147306,136074,10.01,1186.2,5.1,-1.2
1638904189,HAMSTER_WHEEL,23151.8,24337.7,234471,195039,147307,136082,10.03,1185.9,5.1,-1.2
