UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,HARD_STONE,2.9,3.7,1551938,9360587,11076468,658403197,0.1,0.8,27.6,6.03
1638903006,HARD_STONE,2.9,3.6,1550459,9225175,11078004,658538609,0.1,0.7,24.1,5.95
1638903006,HARD_STONE,2.9,3.6,1550459,9225175,11078004,658538609,0.1,0.7,24.1,5.95
1638903057,HARD_STONE,2.9,3.6,1550459,9194289,11078004,658627095,0.1,0.7,24.1,5.93
1638903086,HARD_STONE,2.9,3.7,1550203,9139852,11078260,658681532,0.1,0.8,27.6,5.9
1638903086,HARD_STONE,2.9,3.7,1550203,9139852,11078260,658681532,0.1,0.8,27.6,5.9
1638903086,HARD_STONE,2.9,3.7,1550203,9139852,11078260,658681532,0.1,0.8,27.6,5.9
1638903086,HARD_STONE,2.9,3.7,1550203,9139852,11078260,658681532,0.1,0.8,27.6,5.9
1638903226,HARD_STONE,3.0,3.7,1549968,9230811,11078644,658805613,0.1,0.7,23.3,5.96
1638903233,HARD_STONE,3.0,3.7,1549968,9230811,11078644,658805613,0.1,0.7,23.3,5.96
1638903240,HARD_STONE,3.0,4.0,1546896,9183222,11081716,658853202,0.1,1.0,33.300000000000004,5.94
1638903248,HARD_STONE,3.0,4.0,1546896,9183222,11081716,658853202,0.1,1.0,33.300000000000004,5.94
1638903855,HARD_STONE,2.4,4.0,1546216,8698950,11083061,659660914,0.09,1.6,66.7,5.63
1638904100,HARD_STONE,2.4,3.9,1546792,8523235,11084085,659895253,0.09,1.5,62.5,5.51
1638904100,HARD_STONE,2.4,3.9,1546792,8523235,11084085,659895253,0.09,1.5,62.5,5.51
1638904100,HARD_STONE,2.4,3.9,1546792,8523235,11084085,659895253,0.09,1.5,62.5,5.51
1638904189,HARD_STONE,2.5,3.9,1546728,8446739,11084149,660029349,0.09,1.4,56.00000000000001,5.46
1638904196,HARD_STONE,2.5,3.9,1546728,8446739,11084149,660029349,0.09,1.4,56.00000000000001,5.46
1638905497,HARD_STONE,2.5,4.0,1543613,10115210,11092794,661584801,0.11,1.5,60.0,6.55
1638905504,HARD_STONE,2.5,4.0,1543613,10115210,11092794,661584801,0.11,1.5,60.0,6.55
