UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,HAY_BLOCK,29.0,40.0,208324,3343673,2588748,3690276,6.34,11.0,37.9,16.05
1638903006,HAY_BLOCK,29.0,39.9,208836,3343594,2588748,3690355,6.34,10.9,37.6,16.01
1638903006,HAY_BLOCK,29.0,39.9,208836,3343594,2588748,3690355,6.34,10.9,37.6,16.01
1638903057,HAY_BLOCK,29.0,39.8,209156,3343594,2588812,3690355,6.34,10.8,37.2,15.99
1638903086,HAY_BLOCK,29.0,39.9,208644,3343338,2589324,3690611,6.34,10.9,37.6,16.02
1638903086,HAY_BLOCK,29.0,39.9,208644,3343338,2589324,3690611,6.34,10.9,37.6,16.02
1638903086,HAY_BLOCK,29.0,39.9,208644,3343338,2589324,3690611,6.34,10.9,37.6,16.02
1638903086,HAY_BLOCK,29.0,39.9,208644,3343338,2589324,3690611,6.34,10.9,37.6,16.02
1638903226,HAY_BLOCK,28.1,41.4,203396,3338637,2592364,3695312,6.32,13.3,47.3,16.41
1638903233,HAY_BLOCK,28.1,41.4,203396,3338637,2592364,3695312,6.32,13.3,47.3,16.41
1638903240,HAY_BLOCK,28.1,41.4,203332,3338526,2592428,3695423,6.32,13.3,47.3,16.42
1638903248,HAY_BLOCK,28.1,41.4,203332,3338526,2592428,3695423,6.32,13.3,47.3,16.42
1638903855,HAY_BLOCK,28.2,41.4,199589,3336641,2596231,3697468,6.32,13.2,46.8,16.72
1638904100,HAY_BLOCK,28.1,41.4,199173,3335170,2596807,3698939,6.31,13.3,47.3,16.75
1638904100,HAY_BLOCK,28.1,41.4,199173,3335170,2596807,3698939,6.31,13.3,47.3,16.75
1638904100,HAY_BLOCK,28.1,41.4,199173,3335170,2596807,3698939,6.31,13.3,47.3,16.75
1638904189,HAY_BLOCK,28.2,41.4,199159,3335802,2596821,3699331,6.31,13.2,46.8,16.75
1638904196,HAY_BLOCK,28.2,41.4,199159,3335802,2596821,3699331,6.31,13.2,46.8,16.75
1638905497,HAY_BLOCK,28.1,41.3,197615,3330673,2599954,3704850,6.29,13.2,47.0,16.85
1638905504,HAY_BLOCK,28.1,41.3,197615,3330673,2599954,3704850,6.29,13.2,47.0,16.85
