UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,HOLY_FRAGMENT,2429.6,2624.5,5061,85865,141222,891122,0.67,194.9,8.0,16.97
1638903006,HOLY_FRAGMENT,2429.7,2624.3,5111,87322,141222,891289,0.69,194.6,8.0,17.09
1638903006,HOLY_FRAGMENT,2429.7,2624.3,5111,87322,141222,891289,0.69,194.6,8.0,17.09
1638903057,HOLY_FRAGMENT,2429.7,2624.2,5114,87246,141222,891365,0.69,194.5,8.0,17.06
1638903086,HOLY_FRAGMENT,2429.7,2624.2,5114,87215,141222,891396,0.68,194.5,8.0,17.05
1638903086,HOLY_FRAGMENT,2429.7,2624.2,5114,87215,141222,891396,0.68,194.5,8.0,17.05
1638903086,HOLY_FRAGMENT,2429.7,2624.2,5114,87215,141222,891396,0.68,194.5,8.0,17.05
1638903086,HOLY_FRAGMENT,2429.7,2624.2,5114,87215,141222,891396,0.68,194.5,8.0,17.05
1638903226,HOLY_FRAGMENT,2429.9,2624.1,5120,87233,141222,891538,0.68,194.2,8.0,17.04
1638903233,HOLY_FRAGMENT,2429.9,2624.1,5120,87233,141222,891538,0.68,194.2,8.0,17.04
1638903240,HOLY_FRAGMENT,2430.0,2624.1,5120,87540,141222,891551,0.69,194.1,8.0,17.1
1638903248,HOLY_FRAGMENT,2430.0,2624.1,5120,87540,141222,891551,0.69,194.1,8.0,17.1
1638903855,HOLY_FRAGMENT,2439.6,2623.6,5338,88505,141222,892565,0.69,184.0,7.5,16.58
1638904100,HOLY_FRAGMENT,2439.6,2623.5,5629,88219,141226,892851,0.69,183.9,7.5,15.67
1638904100,HOLY_FRAGMENT,2439.6,2623.5,5629,88219,141226,892851,0.69,183.9,7.5,15.67
1638904100,HOLY_FRAGMENT,2439.6,2623.5,5629,88219,141226,892851,0.69,183.9,7.5,15.67
1638904189,HOLY_FRAGMENT,2439.6,2623.5,5628,88112,141227,892958,0.69,183.9,7.5,15.66
1638904196,HOLY_FRAGMENT,2439.6,2623.5,5628,88112,141227,892958,0.69,183.9,7.5,15.66
1638905497,HOLY_FRAGMENT,2419.2,2623.4,5273,84516,141536,895169,0.66,204.2,8.4,16.03
1638905504,HOLY_FRAGMENT,2419.2,2623.4,5273,84516,141536,895169,0.66,204.2,8.4,16.03
1638906506,HOLY_FRAGMENT,2419.2,2623.4,5096,83261,141793,896424,0.65,204.2,8.4,16.34
1638906538,HOLY_FRAGMENT,2419.2,2623.3,5063,83197,141793,896488,0.65,204.1,8.4,16.43
1638906598,HOLY_FRAGMENT,2419.3,2623.3,5063,83118,141793,896567,0.65,204.0,8.4,16.42
1638906612,HOLY_FRAGMENT,2419.3,2623.2,5063,83151,141793,896574,0.65,203.9,8.4,16.42
1638906620,HOLY_FRAGMENT,2419.3,2623.2,5063,83151,141793,896574,0.65,203.9,8.4,16.42
1638906646,HOLY_FRAGMENT,2419.2,2602.8,5069,83086,141793,896639,0.65,183.6,7.6,16.39
1638906653,HOLY_FRAGMENT,2419.2,2602.8,5069,83084,141793,896641,0.65,183.6,7.6,16.39
1638906660,HOLY_FRAGMENT,2419.2,2602.8,5069,83079,141793,896646,0.65,183.6,7.6,16.39
1638906889,HOLY_FRAGMENT,2419.3,2623.0,5232,83045,141800,897000,0.65,203.7,8.4,15.87
1638906898,HOLY_FRAGMENT,2419.3,2623.0,5232,83044,141800,897001,0.65,203.7,8.4,15.87
1638906939,HOLY_FRAGMENT,2419.3,2622.9,5239,83011,141800,897034,0.65,203.6,8.4,15.84
1638906980,HOLY_FRAGMENT,2419.3,2622.8,5242,82933,141800,897112,0.65,203.5,8.4,15.82
1638907080,HOLY_FRAGMENT,2419.2,2622.8,5242,82830,141800,897215,0.65,203.6,8.4,15.8
1638907129,HOLY_FRAGMENT,2419.2,2622.7,5252,82747,141800,897298,0.65,203.5,8.4,15.76
1638907209,HOLY_FRAGMENT,2419.3,2622.6,5263,83456,141800,897389,0.65,203.3,8.4,15.86
1638907229,HOLY_FRAGMENT,2419.3,2622.5,5263,83398,141800,897447,0.65,203.2,8.4,15.85
1638907265,HOLY_FRAGMENT,2419.4,2622.5,5266,83444,141800,897465,0.65,203.1,8.4,15.85
1638907280,HOLY_FRAGMENT,2419.4,2622.5,5266,83440,141800,897469,0.65,203.1,8.4,15.85
1638907311,HOLY_FRAGMENT,2419.3,2622.5,5266,83308,141800,897601,0.65,203.2,8.4,15.82
1638907322,HOLY_FRAGMENT,2419.3,2622.5,5330,83295,141800,897614,0.65,203.2,8.4,15.63
1638907346,HOLY_FRAGMENT,2419.5,2622.5,5330,83333,141800,897650,0.65,203.0,8.4,15.63
1638907359,HOLY_FRAGMENT,2419.5,2622.5,5330,83333,141800,897650,0.65,203.0,8.4,15.63
1638907396,HOLY_FRAGMENT,2419.5,2622.4,5333,83300,141800,897693,0.65,202.9,8.4,15.62
1638907404,HOLY_FRAGMENT,2419.5,2622.4,5333,83300,141800,897693,0.65,202.9,8.4,15.62
1638907415,HOLY_FRAGMENT,2419.3,2622.4,5333,83271,141800,897722,0.65,203.1,8.4,15.61
1638907521,HOLY_FRAGMENT,2419.3,2622.3,5403,83178,141800,897815,0.65,203.0,8.4,15.39
1638907532,HOLY_FRAGMENT,2419.3,2622.3,5403,83178,141800,897815,0.65,203.0,8.4,15.39
1638907545,HOLY_FRAGMENT,2419.3,2622.3,5403,83140,141800,897853,0.65,203.0,8.4,15.39
1638907557,HOLY_FRAGMENT,2419.3,2622.3,5403,83105,141800,897888,0.65,203.0,8.4,15.38
1638907570,HOLY_FRAGMENT,2419.3,2622.3,5403,83057,141800,897936,0.65,203.0,8.4,15.37
1638907607,HOLY_FRAGMENT,2419.3,2622.3,5400,83021,141800,897972,0.65,203.0,8.4,15.37
1638907625,HOLY_FRAGMENT,2419.3,2622.2,5400,83018,141800,897975,0.65,202.9,8.4,15.37
1638907672,HOLY_FRAGMENT,2419.3,2623.2,5218,82983,141993,898010,0.65,203.9,8.4,15.9
