UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,HUGE_MUSHROOM_2,48.6,134.8,207929,2429441,169641,1079425,15.75,86.2,177.4,11.68
1638903006,HUGE_MUSHROOM_2,48.6,134.8,207929,2429441,169641,1079425,15.75,86.2,177.4,11.68
1638903006,HUGE_MUSHROOM_2,48.6,134.8,207929,2429441,169641,1079425,15.75,86.2,177.4,11.68
1638903057,HUGE_MUSHROOM_2,48.7,134.8,207929,2429464,169641,1079466,15.75,86.1,176.8,11.68
1638903086,HUGE_MUSHROOM_2,48.7,134.8,207929,2429464,169641,1079466,15.75,86.1,176.8,11.68
1638903086,HUGE_MUSHROOM_2,48.7,134.8,207929,2429464,169641,1079466,15.75,86.1,176.8,11.68
1638903086,HUGE_MUSHROOM_2,48.7,134.8,207929,2429464,169641,1079466,15.75,86.1,176.8,11.68
1638903086,HUGE_MUSHROOM_2,48.7,134.8,207929,2429464,169641,1079466,15.75,86.1,176.8,11.68
1638903226,HUGE_MUSHROOM_2,57.0,134.6,210884,2430457,169641,1079497,15.76,77.6,136.1,11.53
1638903233,HUGE_MUSHROOM_2,57.0,134.6,210884,2430457,169641,1079497,15.76,77.6,136.1,11.53
1638903240,HUGE_MUSHROOM_2,57.0,134.6,210884,2430457,169641,1079497,15.76,77.6,136.1,11.53
1638903248,HUGE_MUSHROOM_2,57.0,134.6,210884,2430457,169641,1079497,15.76,77.6,136.1,11.53
1638903855,HUGE_MUSHROOM_2,48.6,134.6,210884,2428806,169641,1081148,15.73,86.0,177.0,11.52
1638904100,HUGE_MUSHROOM_2,48.6,134.6,210884,2428806,169641,1081148,15.73,86.0,177.0,11.52
1638904100,HUGE_MUSHROOM_2,48.6,134.6,210884,2428806,169641,1081148,15.73,86.0,177.0,11.52
1638904100,HUGE_MUSHROOM_2,48.6,134.6,210884,2428806,169641,1081148,15.73,86.0,177.0,11.52
1638904189,HUGE_MUSHROOM_2,48.6,134.6,210884,2428806,169641,1081148,15.73,86.0,177.0,11.52
1638904196,HUGE_MUSHROOM_2,48.6,134.6,210884,2428806,169641,1081148,15.73,86.0,177.0,11.52
1638905497,HUGE_MUSHROOM_2,52.1,118.1,214236,2442178,169640,1074218,15.91,66.0,126.7,11.4
1638905504,HUGE_MUSHROOM_2,52.1,118.1,214236,2442178,169640,1074218,15.91,66.0,126.7,11.4
1638906506,HUGE_MUSHROOM_2,48.6,118.1,217440,2419971,169640,1079629,15.69,69.5,143.0,11.13
1638906538,HUGE_MUSHROOM_2,48.6,118.1,217440,2419971,169640,1079629,15.69,69.5,143.0,11.13
1638906598,HUGE_MUSHROOM_2,48.6,118.1,217440,2419971,169640,1079629,15.69,69.5,143.0,11.13
1638906612,HUGE_MUSHROOM_2,48.6,118.1,217440,2419971,169640,1079629,15.69,69.5,143.0,11.13
1638906620,HUGE_MUSHROOM_2,48.6,118.1,217440,2419971,169640,1079629,15.69,69.5,143.0,11.13
1638906646,HUGE_MUSHROOM_2,48.6,118.1,217440,2419971,169640,1079629,15.69,69.5,143.0,11.13
1638906653,HUGE_MUSHROOM_2,48.6,118.1,217440,2419971,169640,1079629,15.69,69.5,143.0,11.13
1638906660,HUGE_MUSHROOM_2,48.6,118.1,217440,2419971,169640,1079629,15.69,69.5,143.0,11.13
1638906889,HUGE_MUSHROOM_2,48.6,118.1,217440,2419746,169640,1079854,15.69,69.5,143.0,11.13
1638906898,HUGE_MUSHROOM_2,48.6,118.1,217440,2419746,169640,1079854,15.69,69.5,143.0,11.13
1638906939,HUGE_MUSHROOM_2,48.6,118.1,217440,2419746,169640,1079854,15.69,69.5,143.0,11.13
1638906980,HUGE_MUSHROOM_2,48.6,118.1,217440,2419746,169640,1079854,15.69,69.5,143.0,11.13
1638907080,HUGE_MUSHROOM_2,48.6,118.1,217440,2419746,169640,1079854,15.69,69.5,143.0,11.13
1638907129,HUGE_MUSHROOM_2,48.6,118.1,217440,2419746,169640,1079854,15.69,69.5,143.0,11.13
1638907209,HUGE_MUSHROOM_2,48.6,118.1,217440,2419746,169640,1079854,15.69,69.5,143.0,11.13
1638907229,HUGE_MUSHROOM_2,48.6,118.1,217440,2419746,169640,1079854,15.69,69.5,143.0,11.13
1638907265,HUGE_MUSHROOM_2,48.6,118.1,217440,2419746,169640,1079854,15.69,69.5,143.0,11.13
1638907280,HUGE_MUSHROOM_2,48.6,118.1,217440,2419746,169640,1079854,15.69,69.5,143.0,11.13
1638907311,HUGE_MUSHROOM_2,48.2,118.1,213212,2397783,171432,1081646,15.52,69.9,145.0,11.25
1638907322,HUGE_MUSHROOM_2,48.2,118.1,213708,2397783,171432,1081646,15.52,69.9,145.0,11.22
1638907346,HUGE_MUSHROOM_2,48.3,118.1,213964,2417783,171432,1081646,15.65,69.8,144.5,11.3
1638907359,HUGE_MUSHROOM_2,48.3,118.1,213964,2417783,171432,1081646,15.65,69.8,144.5,11.3
1638907396,HUGE_MUSHROOM_2,48.3,118.1,213964,2417783,171432,1081646,15.65,69.8,144.5,11.3
1638907404,HUGE_MUSHROOM_2,48.3,118.1,213964,2417783,171432,1081646,15.65,69.8,144.5,11.3
1638907415,HUGE_MUSHROOM_2,48.3,118.1,213964,2417783,171432,1081646,15.65,69.8,144.5,11.3
1638907521,HUGE_MUSHROOM_2,48.3,118.1,213964,2417783,171432,1081646,15.65,69.8,144.5,11.3
1638907532,HUGE_MUSHROOM_2,48.3,118.1,213964,2417783,171432,1081646,15.65,69.8,144.5,11.3
1638907545,HUGE_MUSHROOM_2,48.3,118.1,213964,2417783,171432,1081646,15.65,69.8,144.5,11.3
1638907557,HUGE_MUSHROOM_2,48.3,118.1,213964,2417783,171432,1081646,15.65,69.8,144.5,11.3
1638907570,HUGE_MUSHROOM_2,48.3,118.1,213964,2417783,171432,1081646,15.65,69.8,144.5,11.3
1638907607,HUGE_MUSHROOM_2,48.3,118.1,213964,2417371,171432,1082058,15.64,69.8,144.5,11.3
1638907625,HUGE_MUSHROOM_2,48.3,118.1,213964,2417371,171432,1082058,15.64,69.8,144.5,11.3
1638907672,HUGE_MUSHROOM_2,48.3,85.0,215148,2417371,171432,1082058,15.64,36.7,76.0,11.24
