UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ICE,4.9,7.3,632783,2990916,8043207,24438136,0.86,2.4,49.0,4.73
1638903006,ICE,4.9,7.2,628303,2989044,8047687,24440008,0.86,2.3,46.9,4.76
1638903006,ICE,4.9,7.2,628303,2989044,8047687,24440008,0.86,2.3,46.9,4.76
1638903057,ICE,4.9,7.3,625359,2986395,8051271,24442657,0.86,2.4,49.0,4.78
1638903086,ICE,4.9,7.3,623119,2984484,8053511,24444568,0.85,2.4,49.0,4.79
1638903086,ICE,4.9,7.3,623119,2984484,8053511,24444568,0.85,2.4,49.0,4.79
1638903086,ICE,4.9,7.3,623119,2984484,8053511,24444568,0.85,2.4,49.0,4.79
1638903086,ICE,4.9,7.3,623119,2984484,8053511,24444568,0.85,2.4,49.0,4.79
1638903226,ICE,4.8,7.2,619449,2925123,8057991,24452221,0.84,2.4,50.0,4.72
1638903233,ICE,4.8,7.2,619449,2925123,8057991,24452221,0.84,2.4,50.0,4.72
1638903240,ICE,4.8,8.0,619449,2924099,8057991,24453245,0.84,3.2,66.7,4.72
1638903248,ICE,4.8,8.0,619449,2924099,8057991,24453245,0.84,3.2,66.7,4.72
1638903855,ICE,4.8,7.9,604914,2906691,8068298,24470653,0.83,3.1,64.60000000000001,4.81
1638904100,ICE,5.0,8.1,601614,2899700,8071882,24477804,0.83,3.1,62.0,4.82
1638904100,ICE,5.0,8.1,601614,2899700,8071882,24477804,0.83,3.1,62.0,4.82
1638904100,ICE,5.0,8.1,601614,2899700,8071882,24477804,0.83,3.1,62.0,4.82
1638904189,ICE,4.8,8.1,600014,2898026,8073482,24480502,0.83,3.3,68.8,4.83
1638904196,ICE,4.8,8.1,600014,2898026,8073482,24480502,0.83,3.3,68.8,4.83
1638905497,ICE,4.9,6.9,664136,2876237,8113436,24528407,0.82,2.0,40.8,4.33
1638905504,ICE,4.9,6.9,664136,2876237,8113436,24528407,0.82,2.0,40.8,4.33
