UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ICE_BAIT,30.5,75.7,388470,2035505,1642122,1599022,8.91,45.2,148.2,5.24
1638903006,ICE_BAIT,30.5,75.6,388726,2035436,1642122,1599091,8.91,45.1,147.9,5.24
1638903006,ICE_BAIT,30.5,75.6,388726,2035436,1642122,1599091,8.91,45.1,147.9,5.24
1638903057,ICE_BAIT,30.5,75.6,388726,2035281,1642122,1599246,8.91,45.1,147.9,5.24
1638903086,ICE_BAIT,30.5,75.5,388758,2035281,1642122,1599246,8.91,45.0,147.5,5.24
1638903086,ICE_BAIT,30.5,75.5,388758,2035281,1642122,1599246,8.91,45.0,147.5,5.24
1638903086,ICE_BAIT,30.5,75.5,388758,2035281,1642122,1599246,8.91,45.0,147.5,5.24
1638903086,ICE_BAIT,30.5,75.5,388758,2035281,1642122,1599246,8.91,45.0,147.5,5.24
1638903226,ICE_BAIT,30.5,75.5,388758,2036109,1642122,1599442,8.91,45.0,147.5,5.24
1638903233,ICE_BAIT,30.5,75.5,388758,2036109,1642122,1599442,8.91,45.0,147.5,5.24
1638903240,ICE_BAIT,30.5,75.5,388758,2035085,1642122,1599442,8.91,45.0,147.5,5.23
1638903248,ICE_BAIT,30.5,75.5,388758,2035085,1642122,1599442,8.91,45.0,147.5,5.23
1638903855,ICE_BAIT,30.5,75.5,388758,2034479,1642122,1600048,8.9,45.0,147.5,5.23
1638904100,ICE_BAIT,30.5,75.5,388758,2033611,1642122,1600916,8.89,45.0,147.5,5.23
1638904100,ICE_BAIT,30.5,75.5,388758,2033611,1642122,1600916,8.89,45.0,147.5,5.23
1638904100,ICE_BAIT,30.5,75.5,388758,2033611,1642122,1600916,8.89,45.0,147.5,5.23
1638904189,ICE_BAIT,30.6,75.5,388758,2038811,1642122,1600916,8.91,44.9,146.70000000000002,5.24
1638904196,ICE_BAIT,30.6,75.5,388758,2038811,1642122,1600916,8.91,44.9,146.70000000000002,5.24
1638905497,ICE_BAIT,30.6,74.4,407901,2100154,1642442,1606389,9.15,43.8,143.1,5.15
1638905504,ICE_BAIT,30.6,74.4,407901,2100154,1642442,1606389,9.15,43.8,143.1,5.15
1638906506,ICE_BAIT,30.8,74.1,413538,2100357,1643338,1608234,9.14,43.3,140.6,5.08
1638906538,ICE_BAIT,30.8,74.1,413538,2100325,1643338,1608266,9.14,43.3,140.6,5.08
1638906598,ICE_BAIT,30.8,74.1,413538,2100325,1643338,1608266,9.14,43.3,140.6,5.08
1638906612,ICE_BAIT,30.8,74.1,413538,2100325,1643338,1608266,9.14,43.3,140.6,5.08
1638906620,ICE_BAIT,30.8,74.1,413538,2100325,1643338,1608266,9.14,43.3,140.6,5.08
1638906646,ICE_BAIT,30.8,74.1,413533,2100325,1643343,1608266,9.14,43.3,140.6,5.08
1638906653,ICE_BAIT,30.8,74.1,413533,2100325,1643343,1608266,9.14,43.3,140.6,5.08
1638906660,ICE_BAIT,30.8,74.1,413533,2100325,1643343,1608266,9.14,43.3,140.6,5.08
1638906889,ICE_BAIT,30.8,74.0,415493,2100245,1643343,1608346,9.14,43.2,140.3,5.05
1638906898,ICE_BAIT,30.8,74.0,415493,2100245,1643343,1608346,9.14,43.2,140.3,5.05
1638906939,ICE_BAIT,30.8,74.0,415493,2100245,1643343,1608346,9.14,43.2,140.3,5.05
1638906980,ICE_BAIT,30.8,74.0,415493,2100197,1643343,1608394,9.14,43.2,140.3,5.05
1638907080,ICE_BAIT,30.9,74.1,415493,2101205,1643343,1608410,9.14,43.2,139.79999999999998,5.06
1638907129,ICE_BAIT,30.8,74.1,415493,2100209,1643343,1609406,9.13,43.3,140.6,5.05
1638907209,ICE_BAIT,30.9,73.9,416505,2100691,1643343,1609424,9.14,43.0,139.2,5.04
1638907229,ICE_BAIT,30.9,73.9,416517,2100691,1643343,1609424,9.14,43.0,139.2,5.04
1638907265,ICE_BAIT,30.9,73.9,416517,2100691,1643343,1609424,9.14,43.0,139.2,5.04
1638907280,ICE_BAIT,30.9,73.9,416517,2100691,1643343,1609424,9.14,43.0,139.2,5.04
1638907311,ICE_BAIT,30.9,73.9,416517,2100690,1643343,1609425,9.14,43.0,139.2,5.04
1638907322,ICE_BAIT,30.9,73.9,416517,2100690,1643343,1609425,9.14,43.0,139.2,5.04
1638907346,ICE_BAIT,30.9,73.9,416517,2100690,1643343,1609425,9.14,43.0,139.2,5.04
1638907359,ICE_BAIT,30.9,73.9,416517,2100690,1643343,1609425,9.14,43.0,139.2,5.04
1638907396,ICE_BAIT,30.8,74.1,416517,2100690,1643343,1609425,9.14,43.3,140.6,5.04
1638907404,ICE_BAIT,30.8,74.1,416517,2100690,1643343,1609425,9.14,43.3,140.6,5.04
1638907415,ICE_BAIT,30.8,74.1,416517,2099666,1643343,1610449,9.13,43.3,140.6,5.04
1638907521,ICE_BAIT,30.8,74.1,416517,2099634,1643343,1610481,9.13,43.3,140.6,5.04
1638907532,ICE_BAIT,30.8,74.1,416517,2099634,1643343,1610481,9.13,43.3,140.6,5.04
1638907545,ICE_BAIT,30.8,74.1,416517,2099634,1643343,1610481,9.13,43.3,140.6,5.04
1638907557,ICE_BAIT,30.8,74.1,416517,2099634,1643343,1610481,9.13,43.3,140.6,5.04
1638907570,ICE_BAIT,30.8,74.1,416517,2099618,1643343,1610497,9.13,43.3,140.6,5.04
1638907607,ICE_BAIT,30.8,74.1,416517,2099618,1643343,1610497,9.13,43.3,140.6,5.04
1638907625,ICE_BAIT,30.8,74.1,416517,2099618,1643343,1610497,9.13,43.3,140.6,5.04
1638907672,ICE_BAIT,30.8,74.1,416517,2099617,1643343,1610498,9.13,43.3,140.6,5.04
