UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,INK_SACK,830.7,916.8,352917,336822,475974,6509184,0.36,86.1,10.4,-1.05
1638903006,INK_SACK,830.7,916.7,353790,336658,475974,6509348,0.36,86.0,10.4,-1.05
1638903006,INK_SACK,830.7,916.7,353790,336658,475974,6509348,0.36,86.0,10.4,-1.05
1638903057,INK_SACK,830.7,916.7,353790,336451,475974,6509555,0.36,86.0,10.4,-1.05
1638903086,INK_SACK,830.7,916.7,353790,336442,475974,6509564,0.36,86.0,10.4,-1.05
1638903086,INK_SACK,830.7,916.7,353790,336442,475974,6509564,0.36,86.0,10.4,-1.05
1638903086,INK_SACK,830.7,916.7,353790,336442,475974,6509564,0.36,86.0,10.4,-1.05
1638903086,INK_SACK,830.7,916.7,353790,336442,475974,6509564,0.36,86.0,10.4,-1.05
1638903226,INK_SACK,830.7,916.4,357723,335564,475974,6510442,0.36,85.7,10.3,-1.07
1638903233,INK_SACK,830.7,916.4,357723,335564,475974,6510442,0.36,85.7,10.3,-1.07
1638903240,INK_SACK,830.8,916.4,357723,336560,475974,6510470,0.36,85.6,10.3,-1.06
1638903248,INK_SACK,830.8,916.4,357723,336560,475974,6510470,0.36,85.6,10.3,-1.06
1638903855,INK_SACK,830.8,916.0,372724,351119,476005,6517659,0.38,85.2,10.3,-1.06
1638904100,INK_SACK,830.8,915.5,372980,349472,476089,6519306,0.38,84.7,10.2,-1.07
1638904100,INK_SACK,830.8,915.5,372980,349472,476089,6519306,0.38,84.7,10.2,-1.07
1638904100,INK_SACK,830.8,915.5,372980,349472,476089,6519306,0.38,84.7,10.2,-1.07
1638904189,INK_SACK,830.8,910.0,376838,347196,476089,6521582,0.37,79.2,9.5,-1.09
1638904196,INK_SACK,830.8,910.0,376838,347196,476089,6521582,0.37,79.2,9.5,-1.09
1638905497,INK_SACK,830.8,900.3,394560,339014,475316,6494514,0.37,69.5,8.4,-1.16
1638905504,INK_SACK,830.8,900.3,394560,339014,475316,6494514,0.37,69.5,8.4,-1.16
