UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,INK_SACK:4,3.1,4.8,671898,6562381,9756734,80795215,0.57,1.7,54.8,9.77
1638903006,INK_SACK:4,3.1,4.8,671834,6548538,9756798,80809058,0.57,1.7,54.8,9.75
1638903006,INK_SACK:4,3.1,4.8,671834,6548538,9756798,80809058,0.57,1.7,54.8,9.75
1638903057,INK_SACK:4,3.0,4.8,671834,6545128,9756798,80812468,0.57,1.8,60.0,9.74
1638903855,INK_SACK:4,3.2,4.7,668767,6672363,9768403,80923145,0.58,1.5,46.9,9.98
1638904100,INK_SACK:4,3.5,5.0,667678,7355358,9770516,80952702,0.64,1.5,42.9,11.02
1638904100,INK_SACK:4,3.5,5.0,667678,7355358,9770516,80952702,0.64,1.5,42.9,11.02
1638904100,INK_SACK:4,3.5,5.0,667678,7355358,9770516,80952702,0.64,1.5,42.9,11.02
1638904189,INK_SACK:4,3.6,5.1,664353,7455817,9773533,80994923,0.64,1.5,41.7,11.22
1638904196,INK_SACK:4,3.6,5.1,664353,7455817,9773533,80994923,0.64,1.5,41.699999999999996,11.22
