UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,LEATHER,21.9,27.5,793360,1630746,8078060,12714133,0.9,5.6,25.6,2.06
1638903006,LEATHER,22.0,27.5,793337,1627773,8078083,12717106,0.9,5.5,25.0,2.05
1638903006,LEATHER,22.0,27.5,793337,1627773,8078083,12717106,0.9,5.5,25.0,2.05
1638903057,LEATHER,22.0,28.3,791096,1632655,8080324,12718224,0.9,6.3,28.6,2.06
1638903086,LEATHER,22.0,28.3,791096,1631999,8080324,12718880,0.9,6.3,28.6,2.06
1638903086,LEATHER,22.0,28.3,791096,1631999,8080324,12718880,0.9,6.3,28.6,2.06
1638903086,LEATHER,22.0,28.3,791096,1631999,8080324,12718880,0.9,6.3,28.6,2.06
1638903086,LEATHER,22.0,28.3,791096,1631999,8080324,12718880,0.9,6.3,28.6,2.06
1638903226,LEATHER,22.0,28.3,791096,1628790,8080324,12722089,0.9,6.3,28.6,2.06
1638903233,LEATHER,22.0,28.3,791096,1628790,8080324,12722089,0.9,6.3,28.6,2.06
1638903240,LEATHER,22.0,28.3,791096,1628790,8080324,12722089,0.9,6.3,28.6,2.06
1638903248,LEATHER,22.0,28.3,791096,1628790,8080324,12722089,0.9,6.3,28.6,2.06
1638903855,LEATHER,21.8,27.1,797308,1597058,8082588,12729457,0.88,5.3,24.3,2.0
1638904100,LEATHER,21.6,27.2,797357,1594540,8086987,12731975,0.88,5.6,25.9,2.0
1638904100,LEATHER,21.6,27.2,797357,1594540,8086987,12731975,0.88,5.6,25.9,2.0
1638904100,LEATHER,21.6,27.2,797357,1594540,8086987,12731975,0.88,5.6,25.9,2.0
1638904189,LEATHER,21.7,27.1,798509,1621681,8047579,12592192,0.9,5.4,24.9,2.03
1638904196,LEATHER,21.7,27.1,798509,1621681,8047579,12592192,0.9,5.4,24.9,2.03
1638905497,LEATHER,21.9,28.7,786273,1893488,8052452,12516585,1.06,6.8,31.1,2.41
1638905504,LEATHER,21.9,28.7,786273,1893488,8052452,12516585,1.06,6.8,31.1,2.41
