UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,LIGHT_BAIT,85.8,320.2,277372,1201693,438107,1086168,7.74,234.4,273.20000000000005,4.33
1638903006,LIGHT_BAIT,85.8,320.1,277438,1201645,438107,1086216,7.74,234.3,273.1,4.33
1638903006,LIGHT_BAIT,85.8,320.1,277438,1201645,438107,1086216,7.74,234.3,273.1,4.33
1638903057,LIGHT_BAIT,85.8,320.0,279505,1201645,438107,1086216,7.74,234.2,273.0,4.3
1638903086,LIGHT_BAIT,85.8,300.0,280794,1201645,438107,1086216,7.74,214.2,249.7,4.28
1638903086,LIGHT_BAIT,85.8,300.0,280794,1201645,438107,1086216,7.74,214.2,249.7,4.28
1638903086,LIGHT_BAIT,85.8,300.0,280794,1201645,438107,1086216,7.74,214.2,249.7,4.28
1638903086,LIGHT_BAIT,85.8,300.0,280794,1201645,438107,1086216,7.74,214.2,249.7,4.28
1638903226,LIGHT_BAIT,85.9,299.9,281680,1203513,438107,1086248,7.76,214.0,249.1,4.27
1638903233,LIGHT_BAIT,85.9,299.9,281680,1203513,438107,1086248,7.76,214.0,249.1,4.27
1638903240,LIGHT_BAIT,85.9,299.9,281680,1203513,438107,1086248,7.76,214.0,249.1,4.27
1638903248,LIGHT_BAIT,85.9,299.9,281680,1203513,438107,1086248,7.76,214.0,249.1,4.27
1638903855,LIGHT_BAIT,85.8,299.7,282515,1201573,438299,1086712,7.74,213.9,249.3,4.25
1638904100,LIGHT_BAIT,86.0,299.4,283032,1253281,438363,1086904,8.07,213.4,248.1,4.43
1638904100,LIGHT_BAIT,86.0,299.4,283032,1253281,438363,1086904,8.07,213.4,248.1,4.43
1638904100,LIGHT_BAIT,86.0,299.4,283032,1253281,438363,1086904,8.07,213.4,248.1,4.43
1638904189,LIGHT_BAIT,86.2,299.3,283128,1254305,438363,1086904,8.08,213.1,247.2,4.43
1638904196,LIGHT_BAIT,86.2,299.3,283128,1254305,438363,1086904,8.08,213.1,247.2,4.43
1638905497,LIGHT_BAIT,97.0,298.8,290546,1256826,437459,1086540,8.1,201.8,208.0,4.33
1638905504,LIGHT_BAIT,97.0,298.8,290546,1256826,437459,1086540,8.1,201.8,208.0,4.33
1638906506,LIGHT_BAIT,97.1,250.0,293480,1257247,437715,1087143,8.1,152.9,157.5,4.28
1638906538,LIGHT_BAIT,97.1,250.0,293480,1257247,437715,1087143,8.1,152.9,157.5,4.28
1638906598,LIGHT_BAIT,97.1,250.0,293480,1257247,437715,1087143,8.1,152.9,157.5,4.28
1638906612,LIGHT_BAIT,97.1,250.0,293480,1257247,437715,1087143,8.1,152.9,157.5,4.28
1638906620,LIGHT_BAIT,97.1,250.0,293480,1257247,437715,1087143,8.1,152.9,157.5,4.28
1638906646,LIGHT_BAIT,97.1,250.0,293480,1257183,437715,1087207,8.09,152.9,157.5,4.28
1638906653,LIGHT_BAIT,97.1,250.0,293480,1257183,437715,1087207,8.09,152.9,157.5,4.28
1638906660,LIGHT_BAIT,97.1,250.0,293480,1257183,437715,1087207,8.09,152.9,157.5,4.28
1638906889,LIGHT_BAIT,97.1,250.0,293096,1257087,438099,1087303,8.09,152.9,157.5,4.29
1638906898,LIGHT_BAIT,97.1,250.0,293096,1257071,438099,1087319,8.09,152.9,157.5,4.29
1638906939,LIGHT_BAIT,97.1,250.0,293096,1256808,438099,1087582,8.09,152.9,157.5,4.29
1638906980,LIGHT_BAIT,97.1,250.0,293096,1256792,438099,1087598,8.09,152.9,157.5,4.29
1638907080,LIGHT_BAIT,97.1,250.0,293096,1257752,438099,1087662,8.09,152.9,157.5,4.29
1638907129,LIGHT_BAIT,97.1,249.9,294074,1256728,438099,1087662,8.09,152.8,157.4,4.27
1638907209,LIGHT_BAIT,97.1,249.9,294074,1256728,438099,1087662,8.09,152.8,157.4,4.27
1638907229,LIGHT_BAIT,97.1,249.9,294074,1256728,438099,1087662,8.09,152.8,157.4,4.27
1638907265,LIGHT_BAIT,97.1,249.9,294074,1256728,438099,1087662,8.09,152.8,157.4,4.27
