UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,LOG,6.9,8.7,532208,6082135,10499368,37254219,1.14,1.8,26.1,11.43
1638903006,LOG,6.9,8.5,532766,6075403,10499374,37260951,1.14,1.6,23.200000000000003,11.4
1638903006,LOG,6.9,8.5,532766,6075403,10499374,37260951,1.14,1.6,23.200000000000003,11.4
1638903057,LOG,6.9,9.1,530724,6073456,10501877,37262898,1.14,2.2,31.9,11.44
1638903086,LOG,6.9,9.1,530659,6071174,10501942,37265180,1.14,2.2,31.9,11.44
1638903086,LOG,6.9,9.1,530659,6071174,10501942,37265180,1.14,2.2,31.9,11.44
1638903086,LOG,6.9,9.1,530659,6071174,10501942,37265180,1.14,2.2,31.9,11.44
1638903086,LOG,6.9,9.1,530659,6071174,10501942,37265180,1.14,2.2,31.9,11.44
1638903226,LOG,6.8,8.7,530317,6061194,10503575,37275160,1.14,1.9,27.9,11.43
1638903233,LOG,6.8,8.7,530317,6061194,10503575,37275160,1.14,1.9,27.9,11.43
1638903240,LOG,6.8,9.2,529549,6060325,10504343,37276029,1.14,2.4,35.3,11.44
1638903248,LOG,6.8,9.2,529549,6060325,10504343,37276029,1.14,2.4,35.3,11.44
1638903855,LOG,6.8,8.8,531875,6025997,10510507,37312405,1.13,2.0,29.4,11.33
1638904100,LOG,6.9,9.2,527912,6075070,10516585,37328520,1.14,2.3,33.300000000000004,11.51
1638904100,LOG,6.9,9.2,527912,6075070,10516585,37328520,1.14,2.3,33.300000000000004,11.51
1638904100,LOG,6.9,9.2,527912,6075070,10516585,37328520,1.14,2.3,33.300000000000004,11.51
1638904189,LOG,6.9,9.2,528044,6067449,10517427,37336141,1.14,2.3,33.300000000000004,11.49
1638904196,LOG,6.9,9.2,528044,6067449,10517427,37336141,1.14,2.3,33.300000000000004,11.49
1638905497,LOG,6.9,10.0,490158,6043748,10563640,37432038,1.13,3.1,44.9,12.33
1638905504,LOG,6.9,10.0,490158,6043748,10563640,37432038,1.13,3.1,44.9,12.33
1638906506,LOG,7.0,10.0,491098,6039346,10582835,37502674,1.13,3.0,42.9,12.3
1638906538,LOG,7.0,10.0,491033,6039730,10582900,37503314,1.13,3.0,42.9,12.3
1638906598,LOG,6.9,10.0,490836,6038328,10583097,37504716,1.13,3.1,44.9,12.3
1638906612,LOG,6.9,10.0,490832,6038256,10583101,37504788,1.13,3.1,44.9,12.3
1638906620,LOG,6.9,10.0,490832,6038256,10583101,37504788,1.13,3.1,44.9,12.3
1638906646,LOG,6.9,10.0,490829,6035753,10583104,37507291,1.13,3.1,44.9,12.3
1638906653,LOG,6.9,10.0,488836,6034022,10583114,37509022,1.13,3.1,44.9,12.34
1638906660,LOG,6.9,10.0,488835,6034018,10583115,37509026,1.13,3.1,44.9,12.34
1638906889,LOG,6.9,10.7,488450,6012996,10587491,37530208,1.12,3.8,55.1,12.31
1638906898,LOG,6.9,10.7,488446,6011804,10587495,37531400,1.12,3.8,55.1,12.31
1638906939,LOG,6.9,10.8,487541,6011599,10588400,37531765,1.12,3.9,56.49999999999999,12.33
1638906980,LOG,6.9,10.8,487323,6008781,10588618,37534903,1.12,3.9,56.49999999999999,12.33
1638907080,LOG,6.9,10.8,483323,5991247,10592686,37552597,1.12,3.9,56.49999999999999,12.4
1638907129,LOG,6.9,10.9,483123,6052878,10592886,37554966,1.13,4.0,57.99999999999999,12.53
1638907209,LOG,6.9,10.9,481196,6048931,10594813,37558921,1.13,4.0,57.99999999999999,12.57
1638907229,LOG,6.9,10.9,481132,6047291,10594877,37560561,1.13,4.0,57.99999999999999,12.57
1638907265,LOG,6.9,10.7,483079,6044542,10594945,37563310,1.13,3.8,55.1,12.51
1638907280,LOG,6.9,10.7,483069,6043876,10594955,37563976,1.13,3.8,55.1,12.51
1638907311,LOG,6.9,10.6,483333,6019588,10595277,37588264,1.12,3.7,53.6,12.45
1638907322,LOG,6.9,10.6,483332,6018481,10595278,37589371,1.12,3.7,53.6,12.45
1638907346,LOG,6.9,10.5,483075,6015634,10595535,37592218,1.12,3.6,52.2,12.45
1638907359,LOG,6.9,10.5,483075,6015634,10595535,37592218,1.12,3.6,52.2,12.45
1638907396,LOG,6.9,10.4,483518,6015509,10595732,37592343,1.12,3.5,50.7,12.44
1638907404,LOG,6.9,10.4,483518,6015509,10595732,37592343,1.12,3.5,50.7,12.44
1638907415,LOG,6.9,10.4,484153,6015445,10595737,37592407,1.12,3.5,50.7,12.42
1638907521,LOG,7.0,9.3,482689,6016760,10598469,37601092,1.12,2.3,32.9,12.47
1638907532,LOG,7.0,9.3,482689,6016760,10598469,37601092,1.12,2.3,32.9,12.47
1638907545,LOG,7.0,9.3,482678,6014363,10598480,37603489,1.12,2.3,32.9,12.46
1638907557,LOG,7.0,9.3,482677,6013593,10598481,37604259,1.12,2.3,32.9,12.46
1638907570,LOG,7.0,9.3,482547,6012418,10598611,37605434,1.12,2.3,32.9,12.46
1638907607,LOG,7.0,9.3,482419,6011484,10598739,37606368,1.12,2.3,32.9,12.46
1638907625,LOG,7.0,10.9,482441,6011244,10598911,37606608,1.12,3.9,55.7,12.46
1638907672,LOG,6.9,10.8,480621,6009789,10600731,37608063,1.12,3.9,56.49999999999999,12.5
