UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,LOG:2,1.6,4.7,362427,273726,3497535,11844040,0.16,3.1,193.8,-1.32
1638903006,LOG:2,1.5,4.6,364245,273722,3497535,11845862,0.16,3.1,206.7,-1.33
1638903006,LOG:2,1.5,4.6,364245,273722,3497535,11845862,0.16,3.1,206.7,-1.33
1638903057,LOG:2,1.5,4.6,364245,273602,3497535,11845982,0.16,3.1,206.7,-1.33
1638903855,LOG:2,1.5,3.9,390894,317569,3508817,11861689,0.19,2.4,160.0,-1.23
1638904100,LOG:2,1.7,4.3,384515,426871,3514897,11864067,0.25,2.6,152.89999999999998,1.11
1638904100,LOG:2,1.7,4.3,384515,426871,3514897,11864067,0.25,2.6,152.89999999999998,1.11
1638904100,LOG:2,1.7,4.3,384515,426871,3514897,11864067,0.25,2.6,152.89999999999998,1.11
1638904189,LOG:2,1.7,4.7,379848,426645,3519186,11864293,0.25,3.0,176.5,1.12
1638904196,LOG:2,1.7,4.7,379848,426645,3519186,11864293,0.25,3.0,176.5,1.12
