UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,LOG_2,1.8,3.4,759964,425499,2372775,8094073,0.37,1.6,88.9,-1.79
1638903006,LOG_2,2.0,3.4,759964,476392,2372775,8094204,0.41,1.4,70.0,-1.6
1638903006,LOG_2,2.0,3.4,759964,476392,2372775,8094204,0.41,1.4,70.0,-1.6
1638903057,LOG_2,2.0,3.4,759964,476078,2372775,8094518,0.41,1.4,70.0,-1.6
1638903086,LOG_2,2.0,3.4,758492,476075,2374247,8094521,0.41,1.4,70.0,-1.59
1638903086,LOG_2,2.0,3.4,758492,476075,2374247,8094521,0.41,1.4,70.0,-1.59
1638903086,LOG_2,2.0,3.4,758492,476075,2374247,8094521,0.41,1.4,70.0,-1.59
1638903086,LOG_2,2.0,3.4,758492,476075,2374247,8094521,0.41,1.4,70.0,-1.59
1638903226,LOG_2,1.9,3.4,756828,475377,2375911,8095219,0.41,1.5,78.9,-1.59
1638903233,LOG_2,1.9,3.4,756828,475377,2375911,8095219,0.41,1.5,78.9,-1.59
1638903240,LOG_2,1.9,3.4,756316,475338,2376423,8095258,0.41,1.5,78.9,-1.59
1638903248,LOG_2,1.9,3.4,756316,475338,2376423,8095258,0.41,1.5,78.9,-1.59
1638903855,LOG_2,2.2,3.4,753044,898044,2379695,8102552,0.78,1.2,54.50000000000001,1.19
1638904100,LOG_2,2.2,3.4,753044,893603,2379695,8106993,0.77,1.2,54.50000000000001,1.19
1638904100,LOG_2,2.2,3.4,753044,893603,2379695,8106993,0.77,1.2,54.50000000000001,1.19
1638904100,LOG_2,2.2,3.4,753044,893603,2379695,8106993,0.77,1.2,54.50000000000001,1.19
1638904189,LOG_2,2.2,3.4,753044,893496,2379695,8107100,0.77,1.2,54.50000000000001,1.19
1638904196,LOG_2,2.2,3.4,753044,893496,2379695,8107100,0.77,1.2,54.50000000000001,1.19
1638905497,LOG_2,2.2,3.4,746357,828081,2386479,8172515,0.71,1.2,54.50000000000001,1.11
1638905504,LOG_2,2.2,3.4,746357,828081,2386479,8172515,0.71,1.2,54.50000000000001,1.11
1638906506,LOG_2,2.3,3.4,742981,349249,2389855,8181194,0.3,1.1,47.8,-2.13
1638906538,LOG_2,2.3,3.4,742980,349249,2389856,8181194,0.3,1.1,47.8,-2.13
1638906598,LOG_2,2.3,3.4,742980,349189,2389856,8181254,0.3,1.1,47.8,-2.13
1638906612,LOG_2,2.3,3.4,742980,348615,2389856,8181828,0.3,1.1,47.8,-2.13
1638906620,LOG_2,2.3,3.4,742980,348615,2389856,8181828,0.3,1.1,47.8,-2.13
1638906646,LOG_2,2.3,3.4,742980,348615,2389856,8181828,0.3,1.1,47.8,-2.13
1638906653,LOG_2,2.3,3.4,742980,348615,2389856,8181828,0.3,1.1,47.8,-2.13
1638906660,LOG_2,2.3,3.4,742980,348615,2389856,8181828,0.3,1.1,47.8,-2.13
1638906889,LOG_2,1.6,3.4,742403,322485,2390433,8186105,0.28,1.8,112.5,-2.3
1638906898,LOG_2,1.6,3.4,742403,322485,2390433,8186105,0.28,1.8,112.5,-2.3
1638906939,LOG_2,1.6,3.4,742403,322462,2390433,8186128,0.28,1.8,112.5,-2.3
1638906980,LOG_2,1.6,3.4,742403,322282,2390433,8186308,0.28,1.8,112.5,-2.3
1638907080,LOG_2,1.6,3.4,740259,305428,2392577,8203162,0.26,1.8,112.5,-2.42
1638907129,LOG_2,1.6,3.4,740259,305351,2392577,8203239,0.26,1.8,112.5,-2.42
1638907209,LOG_2,1.6,3.4,740330,305060,2392577,8203530,0.26,1.8,112.5,-2.43
1638907229,LOG_2,1.6,3.4,740330,305058,2392577,8203532,0.26,1.8,112.5,-2.43
1638907265,LOG_2,1.6,3.4,740005,305045,2392902,8203545,0.26,1.8,112.5,-2.43
1638907280,LOG_2,1.6,3.4,740005,305045,2392902,8203545,0.26,1.8,112.5,-2.43
1638907311,LOG_2,1.6,3.4,740005,291315,2392902,8217275,0.25,1.8,112.5,-2.54
1638907322,LOG_2,1.6,3.4,740005,291210,2392902,8217380,0.25,1.8,112.5,-2.54
1638907346,LOG_2,1.6,3.4,740005,290832,2392902,8217758,0.25,1.8,112.5,-2.54
1638907359,LOG_2,1.6,3.4,740005,290832,2392902,8217758,0.25,1.8,112.5,-2.54
1638907396,LOG_2,1.6,3.4,737861,290793,2395046,8217797,0.25,1.8,112.5,-2.54
1638907404,LOG_2,1.6,3.4,737861,290793,2395046,8217797,0.25,1.8,112.5,-2.54
1638907415,LOG_2,1.6,3.4,736789,290351,2396118,8218239,0.25,1.8,112.5,-2.54
1638907521,LOG_2,1.6,3.4,735653,290296,2397254,8218294,0.25,1.8,112.5,-2.53
1638907532,LOG_2,1.6,3.4,735653,290296,2397254,8218294,0.25,1.8,112.5,-2.53
1638907545,LOG_2,1.6,3.4,735653,290296,2397254,8218294,0.25,1.8,112.5,-2.53
1638907557,LOG_2,1.6,3.4,735653,290296,2397254,8218294,0.25,1.8,112.5,-2.53
1638907570,LOG_2,1.6,3.4,735653,290268,2397254,8218322,0.25,1.8,112.5,-2.53
1638907607,LOG_2,1.6,3.4,735653,290268,2397254,8218322,0.25,1.8,112.5,-2.53
1638907625,LOG_2,1.6,3.4,735653,290192,2397254,8218398,0.25,1.8,112.5,-2.54
1638907672,LOG_2,1.0,3.4,735652,287069,2397255,8221521,0.24,2.4,240.0,-2.56
