UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,MELON,3.9,6.0,5211882,4029254,68088590,93835020,0.3,2.1,53.8,-1.29
1638903006,MELON,3.9,5.8,5214418,3984244,68089166,93882661,0.3,1.9,48.7,-1.31
1638903006,MELON,3.9,5.8,5214418,3984244,68089166,93882661,0.3,1.9,48.7,-1.31
1638903057,MELON,4.1,5.8,5214162,3986214,68089422,93882739,0.3,1.7,41.5,-1.31
1638903086,MELON,4.2,5.8,5212434,3985882,68091150,93883071,0.3,1.6,38.1,-1.31
1638903086,MELON,4.2,5.8,5212434,3985882,68091150,93883071,0.3,1.6,38.1,-1.31
1638903086,MELON,4.2,5.8,5212434,3985882,68091150,93883071,0.3,1.6,38.1,-1.31
1638903086,MELON,4.2,5.8,5212434,3985882,68091150,93883071,0.3,1.6,38.1,-1.31
1638903226,MELON,4.1,5.9,5208992,4123075,68095694,93886854,0.31,1.8,43.9,-1.26
1638903233,MELON,4.1,5.9,5208992,4123075,68095694,93886854,0.31,1.8,43.9,-1.26
1638903240,MELON,4.1,6.0,5208992,4120535,68095694,93889394,0.31,1.9,46.3,-1.26
1638903248,MELON,4.1,6.0,5208992,4120535,68095694,93889394,0.31,1.9,46.3,-1.26
1638903855,MELON,4.2,6.1,5157965,4152076,68151218,93956285,0.31,1.9,45.2,-1.24
1638904100,MELON,4.6,6.1,5144456,4555751,68214562,93959274,0.34,1.5,32.6,-1.13
1638904100,MELON,4.6,6.1,5144456,4555751,68214562,93959274,0.34,1.5,32.6,-1.13
1638904100,MELON,4.6,6.1,5144456,4555751,68214562,93959274,0.34,1.5,32.6,-1.13
1638904189,MELON,4.4,6.1,5145096,4876266,68216162,93997458,0.36,1.7,38.6,-1.06
1638904196,MELON,4.4,6.1,5145096,4876266,68216162,93997458,0.36,1.7,38.6,-1.06
1638905497,MELON,5.5,9.7,4968890,5656240,68552718,94069981,0.42,4.2,76.4,1.14
1638905504,MELON,5.5,9.7,4968890,5656240,68552718,94069981,0.42,4.2,76.4,1.14
