UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,MINNOW_BAIT,10.4,17.1,123920,260719,395446,700771,2.6,6.7,64.4,2.1
1638903006,MINNOW_BAIT,10.4,17.1,123920,260719,395446,700771,2.6,6.7,64.4,2.1
1638903006,MINNOW_BAIT,10.4,17.1,123920,260719,395446,700771,2.6,6.7,64.4,2.1
1638903057,MINNOW_BAIT,10.4,17.1,123920,260719,395446,700771,2.6,6.7,64.4,2.1
1638903086,MINNOW_BAIT,10.4,17.1,123920,260719,395446,700771,2.6,6.7,64.4,2.1
1638903086,MINNOW_BAIT,10.4,17.1,123920,260719,395446,700771,2.6,6.7,64.4,2.1
1638903086,MINNOW_BAIT,10.4,17.1,123920,260719,395446,700771,2.6,6.7,64.4,2.1
1638903086,MINNOW_BAIT,10.4,17.1,123920,260719,395446,700771,2.6,6.7,64.4,2.1
1638903226,MINNOW_BAIT,10.4,17.1,123920,260634,395446,700856,2.6,6.7,64.4,2.1
1638903233,MINNOW_BAIT,10.4,17.1,123920,260634,395446,700856,2.6,6.7,64.4,2.1
1638903240,MINNOW_BAIT,10.4,17.1,123920,260634,395446,700856,2.6,6.7,64.4,2.1
1638903248,MINNOW_BAIT,10.4,17.1,123920,260634,395446,700856,2.6,6.7,64.4,2.1
1638903855,MINNOW_BAIT,10.4,17.1,123920,259830,395446,701660,2.59,6.7,64.4,2.1
1638904100,MINNOW_BAIT,10.4,17.2,123152,258963,396214,702527,2.58,6.8,65.4,2.1
1638904100,MINNOW_BAIT,10.4,17.2,123152,258963,396214,702527,2.58,6.8,65.4,2.1
1638904100,MINNOW_BAIT,10.4,17.2,123152,258963,396214,702527,2.58,6.8,65.4,2.1
1638904189,MINNOW_BAIT,10.4,17.2,123152,258963,396214,702527,2.58,6.8,65.4,2.1
1638904196,MINNOW_BAIT,10.4,17.2,123152,258963,396214,702527,2.58,6.8,65.4,2.1
1638905497,MINNOW_BAIT,10.4,17.2,123152,257183,396214,704371,2.56,6.8,65.4,2.09
1638905504,MINNOW_BAIT,10.4,17.2,123152,257183,396214,704371,2.56,6.8,65.4,2.09
1638906506,MINNOW_BAIT,10.4,17.2,122896,255899,396470,705655,2.54,6.8,65.4,2.08
1638906538,MINNOW_BAIT,10.4,17.2,122896,255899,396470,705655,2.54,6.8,65.4,2.08
1638906598,MINNOW_BAIT,10.4,17.2,122896,255899,396470,705655,2.54,6.8,65.4,2.08
1638906612,MINNOW_BAIT,10.4,17.2,122896,255867,396470,705687,2.54,6.8,65.4,2.08
1638906620,MINNOW_BAIT,10.4,17.2,122896,255867,396470,705687,2.54,6.8,65.4,2.08
1638906646,MINNOW_BAIT,10.4,17.2,122896,255867,396470,705687,2.54,6.8,65.4,2.08
1638906653,MINNOW_BAIT,10.4,17.2,122896,255867,396470,705687,2.54,6.8,65.4,2.08
1638906660,MINNOW_BAIT,10.4,17.2,122896,255643,396470,705911,2.54,6.8,65.4,2.08
1638906889,MINNOW_BAIT,10.4,17.2,122896,255515,396470,706039,2.53,6.8,65.4,2.08
