UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,MUTTON,44.2,65.9,782314,3069327,2591086,4281555,5.02,21.7,49.1,3.92
1638903006,MUTTON,44.2,65.9,782314,3069055,2591086,4281827,5.02,21.7,49.1,3.92
1638903006,MUTTON,44.2,65.9,782314,3069055,2591086,4281827,5.02,21.7,49.1,3.92
1638903057,MUTTON,44.2,65.9,782186,3069032,2583955,4271413,5.03,21.7,49.1,3.92
1638903086,MUTTON,44.2,65.9,782186,3069030,2583955,4271415,5.03,21.7,49.1,3.92
1638903086,MUTTON,44.2,65.9,782186,3069030,2583955,4271415,5.03,21.7,49.1,3.92
1638903086,MUTTON,44.2,65.9,782186,3069030,2583955,4271415,5.03,21.7,49.1,3.92
1638903086,MUTTON,44.2,65.9,782186,3069030,2583955,4271415,5.03,21.7,49.1,3.92
1638903226,MUTTON,44.2,66.0,780970,3067567,2585171,4272878,5.03,21.8,49.3,3.93
1638903233,MUTTON,44.2,66.0,780970,3067567,2585171,4272878,5.03,21.8,49.3,3.93
1638903240,MUTTON,44.2,66.2,780970,3067548,2585171,4272897,5.03,22.0,49.8,3.93
1638903248,MUTTON,44.2,66.2,780970,3067548,2585171,4272897,5.03,22.0,49.8,3.93
1638903855,MUTTON,44.1,63.1,783571,3059300,2586539,4281153,5.0,19.0,43.1,3.9
1638904100,MUTTON,44.2,63.1,783571,3059423,2586539,4281190,5.0,18.9,42.8,3.9
1638904100,MUTTON,44.2,63.1,783571,3059423,2586539,4281190,5.0,18.9,42.8,3.9
1638904100,MUTTON,44.2,63.1,783571,3059423,2586539,4281190,5.0,18.9,42.8,3.9
1638904189,MUTTON,44.2,63.1,783571,3059368,2586539,4281245,5.0,18.9,42.8,3.9
1638904196,MUTTON,44.2,63.1,783571,3059368,2586539,4281245,5.0,18.9,42.8,3.9
1638905497,MUTTON,44.2,62.5,792440,3057010,2587835,4284691,4.99,18.3,41.4,3.86
1638905504,MUTTON,44.2,62.5,792440,3057010,2587835,4284691,4.99,18.3,41.4,3.86
1638906506,MUTTON,44.1,62.5,791029,3053505,2591038,4288324,4.98,18.4,41.7,3.86
1638906538,MUTTON,44.1,62.5,791029,3053505,2591038,4288324,4.98,18.4,41.7,3.86
1638906598,MUTTON,44.1,62.5,791029,3053505,2591038,4288324,4.98,18.4,41.7,3.86
1638906612,MUTTON,44.1,62.5,791029,3053505,2582073,4224466,5.06,18.4,41.7,3.86
1638906620,MUTTON,44.1,62.5,791029,3053505,2582073,4224466,5.06,18.4,41.7,3.86
1638906646,MUTTON,44.1,62.5,791029,3053505,2582073,4224466,5.06,18.4,41.7,3.86
1638906653,MUTTON,44.1,62.5,791029,3053214,2582073,4224757,5.06,18.4,41.7,3.86
1638906660,MUTTON,44.1,62.5,791544,3053214,2582073,4224757,5.06,18.4,41.7,3.86
1638906889,MUTTON,44.4,62.4,790274,3054448,2583110,4225571,5.06,18.0,40.5,3.87
1638906898,MUTTON,44.4,61.0,790274,3054364,2583110,4225655,5.06,16.6,37.4,3.86
1638906939,MUTTON,44.4,60.9,793195,3054330,2583110,4225689,5.06,16.5,37.2,3.85
1638906980,MUTTON,44.4,60.9,793734,3054281,2583110,4225738,5.06,16.5,37.2,3.85
1638907080,MUTTON,44.4,60.9,793734,3054185,2583110,4225834,5.06,16.5,37.2,3.85
1638907129,MUTTON,44.5,60.8,822335,3054212,2583140,4225967,5.06,16.3,36.6,3.71
1638907209,MUTTON,44.3,60.6,822495,3053687,2583140,4226252,5.06,16.3,36.8,3.71
1638907229,MUTTON,44.3,60.6,824223,3053580,2583140,4226359,5.06,16.3,36.8,3.7
1638907265,MUTTON,44.1,60.5,822708,3050576,2584292,4229427,5.05,16.4,37.2,3.71
1638907280,MUTTON,44.1,60.5,823191,3050337,2584292,4229666,5.05,16.4,37.2,3.71
1638907311,MUTTON,44.1,60.4,823982,3050335,2584293,4229668,5.05,16.3,37.0,3.7
1638907322,MUTTON,44.1,60.4,823982,3050334,2584293,4229669,5.05,16.3,37.0,3.7
1638907346,MUTTON,44.1,61.0,823534,3050214,2584741,4229789,5.05,16.9,38.3,3.7
1638907359,MUTTON,44.1,61.0,823534,3050214,2584741,4229789,5.05,16.9,38.3,3.7
1638907396,MUTTON,44.1,60.9,820299,3049726,2588069,4230277,5.05,16.8,38.1,3.72
1638907404,MUTTON,44.1,60.9,820299,3049726,2588069,4230277,5.05,16.8,38.1,3.72
1638907415,MUTTON,44.1,60.9,820299,3049626,2588069,4230377,5.05,16.8,38.1,3.72
1638907521,MUTTON,44.1,60.9,820299,3049590,2588069,4230413,5.05,16.8,38.1,3.72
1638907532,MUTTON,44.1,60.9,820299,3049590,2588069,4230413,5.05,16.8,38.1,3.72
1638907545,MUTTON,44.1,60.9,820299,3049590,2588069,4230413,5.05,16.8,38.1,3.72
1638907557,MUTTON,44.1,60.9,820299,3049590,2588069,4230413,5.05,16.8,38.1,3.72
1638907570,MUTTON,44.1,60.9,820299,3049565,2588069,4230438,5.05,16.8,38.1,3.72
1638907607,MUTTON,44.1,62.8,819275,3049424,2589093,4230579,5.05,18.7,42.4,3.72
1638907625,MUTTON,44.1,62.8,817886,3049232,2590245,4230771,5.05,18.7,42.4,3.73
1638907672,MUTTON,44.1,62.7,818269,3048784,2590437,4231219,5.04,18.6,42.199999999999996,3.73
