UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,NETHERRACK,2.0,4.0,933636,587184,2613301,6267621,0.66,2.0,100.0,-1.59
1638903006,NETHERRACK,2.0,4.0,933636,587184,2613301,6267621,0.66,2.0,100.0,-1.59
1638903006,NETHERRACK,2.0,4.0,933636,587184,2613301,6267621,0.66,2.0,100.0,-1.59
1638903057,NETHERRACK,2.0,4.0,933556,586958,2613381,6267847,0.66,2.0,100.0,-1.59
1638903086,NETHERRACK,2.0,4.0,933556,586958,2613381,6267847,0.66,2.0,100.0,-1.59
1638903086,NETHERRACK,2.0,4.0,933556,586958,2613381,6267847,0.66,2.0,100.0,-1.59
1638903086,NETHERRACK,2.0,4.0,933556,586958,2613381,6267847,0.66,2.0,100.0,-1.59
1638903086,NETHERRACK,2.0,4.0,933556,586958,2613381,6267847,0.66,2.0,100.0,-1.59
1638903226,NETHERRACK,2.0,4.0,921908,586754,2625029,6268051,0.66,2.0,100.0,-1.57
1638903233,NETHERRACK,2.0,4.0,921908,586754,2625029,6268051,0.66,2.0,100.0,-1.57
1638903240,NETHERRACK,2.0,4.0,918068,586753,2628869,6268052,0.66,2.0,100.0,-1.56
1638903248,NETHERRACK,2.0,4.0,918068,586753,2628869,6268052,0.66,2.0,100.0,-1.56
1638903855,NETHERRACK,2.1,4.0,907187,654999,2639750,6269806,0.73,1.9,90.5,-1.39
1638904100,NETHERRACK,2.1,4.0,907123,654617,2639814,6270188,0.73,1.9,90.5,-1.39
1638904100,NETHERRACK,2.1,4.0,907123,654617,2639814,6270188,0.73,1.9,90.5,-1.39
1638904100,NETHERRACK,2.1,4.0,907123,654617,2639814,6270188,0.73,1.9,90.5,-1.39
1638904189,NETHERRACK,2.1,4.0,906995,654617,2639942,6270188,0.73,1.9,90.5,-1.39
1638904196,NETHERRACK,2.1,4.0,906995,654617,2639942,6270188,0.73,1.9,90.5,-1.39
1638905497,NETHERRACK,2.1,3.9,907311,724154,2640779,6276337,0.81,1.8,85.7,-1.25
1638905504,NETHERRACK,2.1,3.9,907311,724154,2640779,6276337,0.81,1.8,85.7,-1.25
