UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,NETHER_STALK,3.6,5.5,3582169,3151292,61085949,96924885,0.23,1.9,52.8,-1.14
1638903006,NETHER_STALK,3.7,3.8,3581305,3201008,61095933,96946169,0.23,0.1,2.7,-1.12
1638903006,NETHER_STALK,3.7,3.8,3581305,3201008,61095933,96946169,0.23,0.1,2.7,-1.12
1638903057,NETHER_STALK,3.7,5.5,3574389,3180122,61102849,96967055,0.23,1.8,48.6,-1.12
1638903086,NETHER_STALK,3.7,5.4,3574581,3179146,61104705,96968031,0.23,1.7,45.9,-1.12
1638903086,NETHER_STALK,3.7,5.4,3574581,3179146,61104705,96968031,0.23,1.7,45.9,-1.12
1638903086,NETHER_STALK,3.7,5.4,3574581,3179146,61104705,96968031,0.23,1.7,45.9,-1.12
1638903086,NETHER_STALK,3.7,5.4,3574581,3179146,61104705,96968031,0.23,1.7,45.9,-1.12
1638903226,NETHER_STALK,3.7,5.1,3579230,3155989,61108706,96991188,0.23,1.4,37.8,-1.13
1638903233,NETHER_STALK,3.7,5.1,3579230,3155989,61108706,96991188,0.23,1.4,37.8,-1.13
1638903240,NETHER_STALK,3.6,5.4,3576222,3154167,61111714,96993010,0.23,1.8,50.0,-1.13
1638903248,NETHER_STALK,3.6,5.4,3576222,3154167,61111714,96993010,0.23,1.8,50.0,-1.13
1638903855,NETHER_STALK,3.5,4.9,3697692,3088999,61156431,97068178,0.22,1.4,40.0,-1.2
1638904100,NETHER_STALK,3.6,4.6,3734161,3036912,61178394,97120265,0.22,1.0,27.800000000000004,-1.23
1638904100,NETHER_STALK,3.6,4.6,3734161,3036912,61178394,97120265,0.22,1.0,27.800000000000004,-1.23
1638904100,NETHER_STALK,3.6,4.6,3734161,3036912,61178394,97120265,0.22,1.0,27.800000000000004,-1.23
1638904189,NETHER_STALK,3.5,4.5,3728717,2995471,61187934,97181706,0.22,1.0,28.6,-1.24
1638904196,NETHER_STALK,3.5,4.5,3728717,2995471,61187934,97181706,0.22,1.0,28.6,-1.24
1638905497,NETHER_STALK,3.6,4.7,3696240,2826024,61316131,97454870,0.2,1.1,30.6,-1.31
1638905504,NETHER_STALK,3.6,4.7,3696240,2826024,61316131,97454870,0.2,1.1,30.6,-1.31
1638906506,NETHER_STALK,3.5,4.4,3804703,2259607,61408245,97593183,0.16,0.9,25.7,-1.68
1638906538,NETHER_STALK,3.5,4.4,3799263,2257196,61413685,97595594,0.16,0.9,25.7,-1.68
1638906598,NETHER_STALK,3.5,4.4,3795103,2236042,61419509,97616748,0.16,0.9,25.7,-1.7
1638906612,NETHER_STALK,3.3,4.4,3793439,2236042,61421173,97616748,0.16,1.1,33.300000000000004,-1.7
1638906620,NETHER_STALK,3.3,4.4,3793439,2236042,61421173,97616748,0.16,1.1,33.300000000000004,-1.7
1638906646,NETHER_STALK,3.3,4.4,3791231,2215425,61423861,97637365,0.16,1.1,33.300000000000004,-1.71
1638906653,NETHER_STALK,3.3,3.5,3791167,2215017,61423925,97637773,0.16,0.2,6.1,-1.71
1638906660,NETHER_STALK,3.3,3.5,3842423,2194179,61423925,97658611,0.16,0.2,6.1,-1.75
1638906889,NETHER_STALK,3.1,4.4,3788512,1982278,61431503,97798832,0.14,1.3,41.9,-1.91
1638906898,NETHER_STALK,3.1,4.4,3788448,1982278,61431567,97798832,0.14,1.3,41.9,-1.91
1638906939,NETHER_STALK,3.1,4.4,3785024,1982152,61434991,97798958,0.14,1.3,41.9,-1.91
1638906980,NETHER_STALK,3.1,4.4,3778408,1981207,61441607,97799903,0.14,1.3,41.9,-1.91
1638907080,NETHER_STALK,3.0,4.4,3774495,1958502,61445520,97822608,0.14,1.4,46.7,-1.93
1638907129,NETHER_STALK,3.0,4.4,3771229,1958187,61448786,97822923,0.14,1.4,46.7,-1.93
1638907209,NETHER_STALK,3.0,4.8,3683359,1955790,61456594,97825320,0.14,1.8,60.0,-1.88
1638907229,NETHER_STALK,3.1,4.8,3679313,1955691,61462622,97825419,0.14,1.7,54.8,-1.88
1638907265,NETHER_STALK,3.1,4.9,3678376,1995407,61463910,97825703,0.14,1.8,58.1,-1.84
1638907280,NETHER_STALK,3.1,4.9,3678248,1995407,61464038,97825703,0.14,1.8,58.1,-1.84
1638907311,NETHER_STALK,3.1,4.9,3673192,1993749,61469094,97827361,0.14,1.8,58.1,-1.84
1638907322,NETHER_STALK,3.1,4.9,3671975,1993606,61470311,97827504,0.14,1.8,58.1,-1.84
1638907346,NETHER_STALK,3.1,4.9,3670759,1974275,61471527,97847835,0.14,1.8,58.1,-1.86
1638907359,NETHER_STALK,3.1,4.9,3670759,1974275,61471527,97847835,0.14,1.8,58.1,-1.86
1638907396,NETHER_STALK,3.2,4.9,3667619,1973973,61474667,97848137,0.14,1.7,53.1,-1.86
1638907404,NETHER_STALK,3.2,4.9,3667619,1973973,61474667,97848137,0.14,1.7,53.1,-1.86
1638907415,NETHER_STALK,3.2,4.9,3661795,2043710,61480491,97848400,0.15,1.7,53.1,-1.79
1638907521,NETHER_STALK,3.4,4.9,3649058,2062604,61493228,97850040,0.15,1.5,44.1,-1.77
1638907532,NETHER_STALK,3.4,4.9,3649058,2062604,61493228,97850040,0.15,1.5,44.1,-1.77
1638907545,NETHER_STALK,3.4,4.9,3647138,2062443,61495148,97850201,0.15,1.5,44.1,-1.77
1638907557,NETHER_STALK,3.4,4.9,3647138,2062443,61495148,97850201,0.15,1.5,44.1,-1.77
1638907570,NETHER_STALK,3.4,4.8,3645922,2062347,61496364,97850297,0.15,1.4,41.2,-1.77
1638907607,NETHER_STALK,3.4,4.7,3648802,2040934,61497580,97871710,0.15,1.3,38.2,-1.79
1638907625,NETHER_STALK,3.5,4.7,3648802,2040719,61497580,97871925,0.15,1.2,34.300000000000004,-1.79
1638907672,NETHER_STALK,3.4,4.7,3648161,2027348,61498221,97886320,0.14,1.3,38.2,-1.8
