UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,NULL_ATOM,66777.5,68884.4,2125,86384,17708,35460,17.05,2106.9,3.2,40.65
1638903006,NULL_ATOM,66777.5,68884.3,2125,86383,17708,35461,17.05,2106.8,3.2,40.65
1638903006,NULL_ATOM,66777.5,68884.3,2125,86383,17708,35461,17.05,2106.8,3.2,40.65
1638903057,NULL_ATOM,66777.5,68884.3,2135,86383,17708,35461,17.05,2106.8,3.2,40.46
1638903086,NULL_ATOM,66777.5,68884.3,2135,86383,17708,35461,17.05,2106.8,3.2,40.46
1638903086,NULL_ATOM,66777.5,68884.3,2135,86383,17708,35461,17.05,2106.8,3.2,40.46
1638903086,NULL_ATOM,66777.5,68884.3,2135,86383,17708,35461,17.05,2106.8,3.2,40.46
1638903086,NULL_ATOM,66777.5,68884.3,2135,86383,17708,35461,17.05,2106.8,3.2,40.46
1638903226,NULL_ATOM,66777.5,68884.3,2135,86380,17708,35464,17.05,2106.8,3.2,40.46
1638903233,NULL_ATOM,66777.5,68884.3,2135,86380,17708,35464,17.05,2106.8,3.2,40.46
1638903240,NULL_ATOM,66777.5,68884.3,2135,86379,17708,35465,17.05,2106.8,3.2,40.46
1638903248,NULL_ATOM,66777.5,68884.3,2135,86379,17708,35465,17.05,2106.8,3.2,40.46
1638903855,NULL_ATOM,66777.5,68884.3,2135,86368,17708,35476,17.04,2106.8,3.2,40.45
1638904100,NULL_ATOM,66777.5,68884.3,2135,86367,17708,35477,17.04,2106.8,3.2,40.45
1638904100,NULL_ATOM,66777.5,68884.3,2135,86367,17708,35477,17.04,2106.8,3.2,40.45
1638904100,NULL_ATOM,66777.5,68884.3,2135,86367,17708,35477,17.04,2106.8,3.2,40.45
1638904189,NULL_ATOM,66777.5,68884.3,2135,86365,17708,35479,17.04,2106.8,3.2,40.45
1638904196,NULL_ATOM,66777.5,68884.3,2135,86365,17708,35479,17.04,2106.8,3.2,40.45
1638905497,NULL_ATOM,66777.5,68883.8,2157,86343,17708,35501,17.02,2106.3,3.2,40.03
1638905504,NULL_ATOM,66777.5,68883.8,2157,86343,17708,35501,17.02,2106.3,3.2,40.03
