UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,NULL_OVOID,322675.0,329247.8,14392,129419,101907,45372,19.97,6572.8,2.0,8.99
1638903006,NULL_OVOID,322675.1,329247.6,14395,129441,101907,45383,19.97,6572.5,2.0,8.99
1638903006,NULL_OVOID,322675.1,329247.6,14395,129441,101907,45383,19.97,6572.5,2.0,8.99
1638903057,NULL_OVOID,322675.1,329247.5,14401,129440,101908,45384,19.96,6572.4,2.0,8.99
1638903086,NULL_OVOID,322675.1,329247.5,14401,129440,101908,45384,19.96,6572.4,2.0,8.99
1638903086,NULL_OVOID,322675.1,329247.5,14401,129440,101908,45384,19.96,6572.4,2.0,8.99
1638903086,NULL_OVOID,322675.1,329247.5,14401,129440,101908,45384,19.96,6572.4,2.0,8.99
1638903086,NULL_OVOID,322675.1,329247.5,14401,129440,101908,45384,19.96,6572.4,2.0,8.99
1638903226,NULL_OVOID,322675.1,329247.3,14396,129436,101942,45388,19.96,6572.2,2.0,8.99
1638903233,NULL_OVOID,322675.1,329247.3,14396,129436,101942,45388,19.96,6572.2,2.0,8.99
1638903240,NULL_OVOID,322675.1,329247.2,14610,129426,101942,45398,19.96,6572.1,2.0,8.86
1638903248,NULL_OVOID,322675.1,329247.2,14610,129426,101942,45398,19.96,6572.1,2.0,8.86
1638903855,NULL_OVOID,322674.2,328588.8,14406,129242,100503,44914,20.14,5914.6,1.7999999999999998,8.97
1638904100,NULL_OVOID,322674.2,328588.4,14854,129211,100504,44943,20.12,5914.2,1.7999999999999998,8.7
1638904100,NULL_OVOID,322674.2,328588.4,14854,129211,100504,44943,20.12,5914.2,1.7999999999999998,8.7
1638904100,NULL_OVOID,322674.2,328588.4,14854,129211,100504,44943,20.12,5914.2,1.7999999999999998,8.7
1638904189,NULL_OVOID,320617.7,328588.2,14773,129195,100505,44959,20.12,7970.5,2.5,8.75
1638904196,NULL_OVOID,320617.7,328588.2,14773,129195,100505,44959,20.12,7970.5,2.5,8.75
1638905497,NULL_OVOID,320616.3,328585.6,15021,128991,100013,45030,20.05,7969.3,2.5,8.59
1638905504,NULL_OVOID,320616.3,328585.6,15021,128991,100013,45030,20.05,7969.3,2.5,8.59
1638906506,NULL_OVOID,300000.3,328582.1,15039,130969,100088,45296,20.24,28581.8,9.5,8.71
1638906538,NULL_OVOID,320000.0,328582.0,14950,130990,100088,45296,20.24,8582.0,2.7,8.76
1638906598,NULL_OVOID,320000.0,328581.5,15600,130990,100088,45296,20.24,8581.5,2.7,8.4
1638906612,NULL_OVOID,320000.0,328581.4,15670,132014,100088,45296,20.4,8581.4,2.7,8.42
1638906620,NULL_OVOID,320000.0,328581.4,15670,132014,100088,45296,20.4,8581.4,2.7,8.42
1638906646,NULL_OVOID,320000.1,328581.3,15697,132015,100088,45296,20.4,8581.2,2.7,8.41
1638906653,NULL_OVOID,320429.2,328581.3,15724,132015,100088,45296,20.4,8152.1,2.5,8.4
1638906660,NULL_OVOID,320429.2,328581.3,14949,132194,100089,45296,20.43,8152.1,2.5,8.84
1638906889,NULL_OVOID,321224.0,328580.6,14993,132540,100177,45322,20.47,7356.6,2.3,8.84
1638906898,NULL_OVOID,321224.0,328580.4,15143,132540,100183,45322,20.47,7356.4,2.3,8.75
1638906939,NULL_OVOID,321224.1,328580.2,15125,132359,100183,45322,20.44,7356.1,2.3,8.75
1638906980,NULL_OVOID,321591.9,328580.1,15855,131069,100183,45322,20.24,6988.2,2.2,8.27
1638907080,NULL_OVOID,321591.9,328579.6,14864,131069,100183,45322,20.24,6987.7,2.2,8.82
1638907129,NULL_OVOID,321591.9,328579.4,14997,131037,100215,45354,20.22,6987.5,2.2,8.74
1638907209,NULL_OVOID,321592.0,328579.2,14997,131037,100215,45354,20.22,6987.2,2.2,8.74
1638907229,NULL_OVOID,321592.1,328579.2,15203,131037,100343,45354,20.22,6987.1,2.2,8.62
1638907265,NULL_OVOID,321592.1,328579.2,15203,131045,100343,45354,20.23,6987.1,2.2,8.62
1638907280,NULL_OVOID,321592.1,328579.2,15203,131045,100343,45354,20.23,6987.1,2.2,8.62
1638907311,NULL_OVOID,321592.1,328579.2,15191,131045,100355,45354,20.23,6987.1,2.2,8.63
1638907322,NULL_OVOID,321592.1,328579.2,15191,131045,100355,45354,20.23,6987.1,2.2,8.63
1638907346,NULL_OVOID,321592.1,328579.2,15191,131045,100355,45354,20.23,6987.1,2.2,8.63
1638907359,NULL_OVOID,321592.1,328579.2,15191,131045,100355,45354,20.23,6987.1,2.2,8.63
1638907396,NULL_OVOID,321592.1,328579.1,15204,130981,100355,45354,20.22,6987.0,2.2,8.61
1638907404,NULL_OVOID,321592.1,328579.1,15204,130981,100355,45354,20.22,6987.0,2.2,8.61
1638907415,NULL_OVOID,300000.0,328579.0,15187,130694,100359,45737,20.0,28579.0,9.5,8.61
1638907521,NULL_OVOID,300000.0,328578.8,15366,130694,100360,45737,20.0,28578.8,9.5,8.51
1638907532,NULL_OVOID,300000.0,328578.8,15366,130694,100360,45737,20.0,28578.8,9.5,8.51
1638907545,NULL_OVOID,300000.0,328578.8,15366,130694,100360,45737,20.0,28578.8,9.5,8.51
1638907557,NULL_OVOID,300000.0,328578.8,15366,130694,100360,45737,20.0,28578.8,9.5,8.51
1638907570,NULL_OVOID,300000.0,328578.8,15545,130694,100360,45737,20.0,28578.8,9.5,8.41
1638907607,NULL_OVOID,300000.0,328578.8,15545,130695,100360,45737,20.0,28578.8,9.5,8.41
1638907625,NULL_OVOID,300000.1,328578.7,15545,130695,100360,45737,20.0,28578.6,9.5,8.41
1638907672,NULL_OVOID,300000.0,328578.6,15574,130695,100360,45737,20.0,28578.6,9.5,8.39
