UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,OBSIDIAN,14.3,20.0,1029203,2527265,8612783,54575975,0.32,5.7,39.900000000000006,2.46
1638903006,OBSIDIAN,14.5,20.0,1015923,2593077,8626063,54582187,0.33,5.5,37.9,2.55
1638903006,OBSIDIAN,14.5,20.0,1015923,2593077,8626063,54582187,0.33,5.5,37.9,2.55
1638903057,OBSIDIAN,14.3,19.7,1018154,2522259,8626063,54585225,0.32,5.4,37.8,2.48
1638903086,OBSIDIAN,14.3,20.0,1015331,2521045,8629455,54586439,0.32,5.7,39.900000000000006,2.48
1638903086,OBSIDIAN,14.3,20.0,1015331,2521045,8629455,54586439,0.32,5.7,39.900000000000006,2.48
1638903086,OBSIDIAN,14.3,20.0,1015331,2521045,8629455,54586439,0.32,5.7,39.900000000000006,2.48
1638903086,OBSIDIAN,14.3,20.0,1015331,2521045,8629455,54586439,0.32,5.7,39.900000000000006,2.48
1638903226,OBSIDIAN,14.4,19.9,1012478,2515108,8636396,54596464,0.32,5.5,38.2,2.48
1638903233,OBSIDIAN,14.4,19.9,1012478,2515108,8636396,54596464,0.32,5.5,38.2,2.48
1638903240,OBSIDIAN,14.4,19.7,1012507,2517317,8636466,54598319,0.32,5.3,36.8,2.49
1638903248,OBSIDIAN,14.4,19.7,1012507,2517317,8636466,54598319,0.32,5.3,36.8,2.49
1638903855,OBSIDIAN,14.0,18.6,1025519,2488925,8647715,54640347,0.32,4.6,32.9,2.43
1638904100,OBSIDIAN,14.0,18.7,1022807,2465509,8649767,54663763,0.32,4.7,33.6,2.41
1638904100,OBSIDIAN,14.0,18.7,1022807,2465509,8649767,54663763,0.32,4.7,33.6,2.41
1638904100,OBSIDIAN,14.0,18.7,1022807,2465509,8649767,54663763,0.32,4.7,33.6,2.41
1638904189,OBSIDIAN,14.0,18.7,1022732,2455677,8650195,54673595,0.31,4.7,33.6,2.4
1638904196,OBSIDIAN,14.0,18.7,1022732,2455677,8650195,54673595,0.31,4.7,33.6,2.4
1638905497,OBSIDIAN,14.5,19.5,1043624,3312743,8680673,54811705,0.42,5.0,34.5,3.17
1638905504,OBSIDIAN,14.5,19.5,1043624,3312743,8680673,54811705,0.42,5.0,34.5,3.17
1638906506,OBSIDIAN,14.7,18.8,1062706,3389880,8632836,54288068,0.44,4.1,27.9,3.19
1638906538,OBSIDIAN,14.7,18.7,1063581,3388963,8633492,54288985,0.44,4.0,27.200000000000003,3.19
1638906598,OBSIDIAN,14.7,18.7,1062973,3378377,8635700,54299571,0.44,4.0,27.200000000000003,3.18
1638906612,OBSIDIAN,14.7,18.7,1062909,3376418,8635764,54301530,0.44,4.0,27.200000000000003,3.18
1638906620,OBSIDIAN,14.7,18.7,1062909,3376418,8635764,54301530,0.44,4.0,27.200000000000003,3.18
1638906646,OBSIDIAN,14.9,18.7,1062717,3446443,8635956,54302505,0.44,3.8,25.5,3.24
1638906653,OBSIDIAN,14.9,18.7,1062397,3445666,8636276,54303282,0.44,3.8,25.5,3.24
1638906660,OBSIDIAN,14.9,18.7,1062735,3445267,8636276,54303681,0.44,3.8,25.5,3.24
1638906889,OBSIDIAN,15.2,17.8,1080913,3543815,8639096,54319205,0.46,2.6,17.1,3.28
1638906898,OBSIDIAN,15.2,17.8,1080913,3545220,8639096,54321182,0.46,2.6,17.1,3.28
1638906939,OBSIDIAN,15.2,17.8,1098918,3539646,8639096,54326756,0.46,2.6,17.1,3.22
1638906980,OBSIDIAN,15.2,17.9,1163814,3534568,8640120,54331834,0.46,2.7,17.8,3.04
1638907080,OBSIDIAN,15.2,17.8,1163046,3527309,8640312,54339093,0.45,2.6,17.1,3.03
1638907129,OBSIDIAN,15.1,17.7,1162029,3362820,8641495,54342875,0.43,2.6,17.2,2.89
1638907209,OBSIDIAN,15.1,17.7,1161901,3360725,8641623,54344970,0.43,2.6,17.2,2.89
1638907229,OBSIDIAN,15.1,17.7,1161901,3359033,8641623,54346662,0.43,2.6,17.2,2.89
1638907265,OBSIDIAN,15.2,17.7,1161901,3417402,8641623,54358293,0.44,2.5,16.400000000000002,2.94
1638907280,OBSIDIAN,15.2,17.6,1162029,3415724,8641623,54359971,0.44,2.4,15.8,2.94
1638907311,OBSIDIAN,15.2,17.6,1162733,3411192,8641879,54364503,0.44,2.4,15.8,2.93
1638907322,OBSIDIAN,15.2,17.5,1163757,3410755,8641879,54364940,0.44,2.3,15.1,2.93
1638907346,OBSIDIAN,15.2,17.5,1163693,3409205,8641943,54366490,0.44,2.3,15.1,2.93
1638907359,OBSIDIAN,15.2,17.5,1163693,3409205,8641943,54366490,0.44,2.3,15.1,2.93
1638907396,OBSIDIAN,15.2,17.5,1163672,3402714,8642023,54372981,0.44,2.3,15.1,2.92
1638907404,OBSIDIAN,15.2,17.5,1163672,3402714,8642023,54372981,0.44,2.3,15.1,2.92
1638907415,OBSIDIAN,15.3,17.5,1163543,3402194,8642152,54374525,0.44,2.2,14.4,2.92
1638907521,OBSIDIAN,15.2,17.5,1163183,3396113,8642512,54380606,0.44,2.3,15.1,2.92
1638907532,OBSIDIAN,15.2,17.5,1163183,3396113,8642512,54380606,0.44,2.3,15.1,2.92
1638907545,OBSIDIAN,15.2,17.5,1163183,3394550,8642512,54382169,0.44,2.3,15.1,2.92
1638907557,OBSIDIAN,15.2,17.5,1163183,3393919,8642512,54382800,0.44,2.3,15.1,2.92
1638907570,OBSIDIAN,15.2,17.5,1162926,3392279,8642769,54384440,0.44,2.3,15.1,2.92
1638907607,OBSIDIAN,15.3,17.5,1162926,3390986,8642769,54385733,0.44,2.2,14.4,2.92
1638907625,OBSIDIAN,15.3,17.5,1162926,3393243,8642769,54388476,0.44,2.2,14.4,2.92
1638907672,OBSIDIAN,15.2,18.0,1160809,3387957,8644886,54393762,0.44,2.8,18.4,2.92
