UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,OLD_FRAGMENT,2630.7,2899.9,22725,69690,89746,141876,3.44,269.2,10.2,3.07
1638903006,OLD_FRAGMENT,2630.8,3289.3,22418,69754,90053,141876,3.44,658.5,25.0,3.11
1638903006,OLD_FRAGMENT,2630.8,3289.3,22418,69754,90053,141876,3.44,658.5,25.0,3.11
1638903057,OLD_FRAGMENT,2630.8,3289.3,22411,69749,90060,141881,3.44,658.5,25.0,3.11
1638903086,OLD_FRAGMENT,2630.8,3289.3,22411,69744,90060,141886,3.44,658.5,25.0,3.11
1638903086,OLD_FRAGMENT,2630.8,3289.3,22411,69744,90060,141886,3.44,658.5,25.0,3.11
1638903086,OLD_FRAGMENT,2630.8,3289.3,22411,69744,90060,141886,3.44,658.5,25.0,3.11
1638903086,OLD_FRAGMENT,2630.8,3289.3,22411,69744,90060,141886,3.44,658.5,25.0,3.11
1638903226,OLD_FRAGMENT,2630.8,3289.3,22411,69720,90060,141910,3.44,658.5,25.0,3.11
1638903233,OLD_FRAGMENT,2630.8,3289.3,22411,69720,90060,141910,3.44,658.5,25.0,3.11
1638903240,OLD_FRAGMENT,2630.8,3289.3,22411,69716,90060,141914,3.44,658.5,25.0,3.11
1638903248,OLD_FRAGMENT,2630.8,3289.3,22411,69716,90060,141914,3.44,658.5,25.0,3.11
1638903855,OLD_FRAGMENT,2630.7,2800.0,22516,69671,90088,141999,3.43,169.3,6.4,3.09
1638904100,OLD_FRAGMENT,2630.7,3289.1,22450,69540,90154,142130,3.42,658.4,25.0,3.1
1638904100,OLD_FRAGMENT,2630.7,3289.1,22450,69540,90154,142130,3.42,658.4,25.0,3.1
1638904100,OLD_FRAGMENT,2630.7,3289.1,22450,69540,90154,142130,3.42,658.4,25.0,3.1
