UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,PERFECT_JADE_GEM,7849165.9,8299995.8,948,637450,7246,5217,855.31,450829.9,5.7,672.42
1638903006,PERFECT_JADE_GEM,7849166.1,8299995.7,952,637453,7247,5217,855.31,450829.6,5.7,669.59
1638903006,PERFECT_JADE_GEM,7849166.1,8299995.7,952,637453,7247,5217,855.31,450829.6,5.7,669.59
1638903057,PERFECT_JADE_GEM,7849166.1,8299995.7,951,637453,7248,5217,855.31,450829.6,5.7,670.3
1638903086,PERFECT_JADE_GEM,7849166.1,8299995.7,951,637453,7248,5217,855.31,450829.6,5.7,670.3
1638903086,PERFECT_JADE_GEM,7849166.1,8299995.7,951,637453,7248,5217,855.31,450829.6,5.7,670.3
1638903086,PERFECT_JADE_GEM,7849166.1,8299995.7,951,637453,7248,5217,855.31,450829.6,5.7,670.3
1638903086,PERFECT_JADE_GEM,7849166.1,8299995.7,951,637453,7248,5217,855.31,450829.6,5.7,670.3
1638903226,PERFECT_JADE_GEM,7849166.1,8299995.7,951,637453,7248,5217,855.31,450829.6,5.7,670.3
1638903233,PERFECT_JADE_GEM,7849166.1,8299995.7,951,637453,7248,5217,855.31,450829.6,5.7,670.3
1638903240,PERFECT_JADE_GEM,7849166.1,8299995.7,950,637452,7249,5217,855.31,450829.6,5.7,671.0
1638903248,PERFECT_JADE_GEM,7849166.1,8299995.7,950,637452,7249,5217,855.31,450829.6,5.7,671.0
1638903855,PERFECT_JADE_GEM,7849166.2,8299995.7,950,637462,7249,5217,855.33,450829.5,5.7,671.01
1638904100,PERFECT_JADE_GEM,7849166.5,8299995.7,950,637464,7249,5217,855.33,450829.2,5.7,671.01
1638904100,PERFECT_JADE_GEM,7849166.5,8299995.7,950,637464,7249,5217,855.33,450829.2,5.7,671.01
1638904100,PERFECT_JADE_GEM,7849166.5,8299995.7,950,637464,7249,5217,855.33,450829.2,5.7,671.01
1638904189,PERFECT_JADE_GEM,7849166.6,8299995.7,950,637474,7249,5217,855.34,450829.1,5.7,671.03
1638904196,PERFECT_JADE_GEM,7849166.6,8299995.7,950,637474,7249,5217,855.34,450829.1,5.7,671.03
1638905497,PERFECT_JADE_GEM,7849166.6,8299995.7,1003,637456,7165,5159,864.93,450829.1,5.7,635.55
1638905504,PERFECT_JADE_GEM,7849166.6,8299995.7,1003,637456,7165,5159,864.93,450829.1,5.7,635.55
