UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,PORK,13.8,19.8,777241,287174,4052014,5869690,0.34,6.0,43.5,-2.71
1638903006,PORK,13.8,19.8,777177,286332,4052078,5870532,0.34,6.0,43.5,-2.71
1638903006,PORK,13.8,19.8,777177,286332,4052078,5870532,0.34,6.0,43.5,-2.71
1638903057,PORK,13.7,20.0,775961,286138,4053294,5870726,0.34,6.3,46.0,-2.71
1638903086,PORK,13.6,20.0,775961,284730,4053294,5872134,0.34,6.4,47.1,-2.73
1638903086,PORK,13.6,20.0,775961,284730,4053294,5872134,0.34,6.4,47.1,-2.73
1638903086,PORK,13.6,20.0,775961,284730,4053294,5872134,0.34,6.4,47.1,-2.73
1638903086,PORK,13.6,20.0,775961,284730,4053294,5872134,0.34,6.4,47.1,-2.73
1638903226,PORK,13.7,20.2,772798,284661,4056457,5872715,0.34,6.5,47.4,-2.71
1638903233,PORK,13.7,20.2,772798,284661,4056457,5872715,0.34,6.5,47.4,-2.71
1638903240,PORK,13.7,20.2,772798,284654,4056457,5872722,0.34,6.5,47.4,-2.71
1638903248,PORK,13.7,20.2,772798,284654,4056457,5872722,0.34,6.5,47.4,-2.71
1638903855,PORK,13.5,22.0,770103,281312,4003713,5811618,0.34,8.5,63.0,-2.74
1638904100,PORK,13.6,22.7,768055,322477,4005761,5812453,0.39,9.1,66.9,-2.38
1638904100,PORK,13.6,22.7,768055,322477,4005761,5812453,0.39,9.1,66.9,-2.38
1638904100,PORK,13.6,22.7,768055,322477,4005761,5812453,0.39,9.1,66.9,-2.38
1638904189,PORK,13.6,23.6,767558,319832,4007953,5815098,0.39,10.0,73.5,-2.4
1638904196,PORK,13.6,23.6,767558,319832,4007953,5815098,0.39,10.0,73.5,-2.4
1638905497,PORK,13.8,22.9,780114,313005,4016905,5822952,0.38,9.1,65.9,-2.49
1638905504,PORK,13.8,22.9,780114,313005,4016905,5822952,0.38,9.1,65.9,-2.49
