UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,PRISMARINE_CRYSTALS,8.1,11.3,585887,2569471,7128609,14096948,1.28,3.2,39.5,4.39
1638903006,PRISMARINE_CRYSTALS,8.0,11.3,585887,2498244,7015851,13369456,1.31,3.3,41.3,4.26
1638903006,PRISMARINE_CRYSTALS,8.0,11.3,585887,2498244,7015851,13369456,1.31,3.3,41.3,4.26
1638903057,PRISMARINE_CRYSTALS,4.7,8.0,622515,2169895,7015851,13403062,1.13,3.3,70.19999999999999,3.49
1638903086,PRISMARINE_CRYSTALS,4.7,8.0,692515,2169554,7015851,13403403,1.13,3.3,70.19999999999999,3.13
1638903086,PRISMARINE_CRYSTALS,4.7,8.0,692515,2169554,7015851,13403403,1.13,3.3,70.19999999999999,3.13
1638903086,PRISMARINE_CRYSTALS,4.7,8.0,692515,2169554,7015851,13403403,1.13,3.3,70.19999999999999,3.13
1638903086,PRISMARINE_CRYSTALS,4.7,8.0,692515,2169554,7015851,13403403,1.13,3.3,70.19999999999999,3.13
1638903226,PRISMARINE_CRYSTALS,4.7,8.0,835875,2167725,7015851,13405232,1.13,3.3,70.19999999999999,2.59
1638903233,PRISMARINE_CRYSTALS,4.7,8.0,835875,2167725,7015851,13405232,1.13,3.3,70.19999999999999,2.59
1638903240,PRISMARINE_CRYSTALS,4.9,8.0,907555,2181538,7015851,13405419,1.14,3.1,63.3,2.4
1638903248,PRISMARINE_CRYSTALS,4.9,8.0,907555,2181538,7015851,13405419,1.14,3.1,63.3,2.4
1638903855,PRISMARINE_CRYSTALS,4.7,6.1,947609,2167667,7016811,13420290,1.13,1.4,29.8,2.29
1638904100,PRISMARINE_CRYSTALS,4.8,6.1,947348,2164026,7017072,13424931,1.13,1.3,27.1,2.28
1638904100,PRISMARINE_CRYSTALS,4.8,6.1,947348,2164026,7017072,13424931,1.13,1.3,27.1,2.28
1638904100,PRISMARINE_CRYSTALS,4.8,6.1,947348,2164026,7017072,13424931,1.13,1.3,27.1,2.28
1638904189,PRISMARINE_CRYSTALS,4.7,6.1,947348,2162379,7017072,13426578,1.13,1.4,29.8,2.28
1638904196,PRISMARINE_CRYSTALS,4.7,6.1,947348,2162379,7017072,13426578,1.13,1.4,29.8,2.28
1638905497,PRISMARINE_CRYSTALS,4.7,6.2,946374,2142058,7018096,13452899,1.11,1.5,31.9,2.26
1638905504,PRISMARINE_CRYSTALS,4.7,6.2,946374,2142058,7018096,13452899,1.11,1.5,31.900000000000002,2.26
