UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,RABBIT,8.8,10.7,636064,1195406,3060765,4831913,1.73,1.9,21.6,1.88
1638903006,RABBIT,8.8,10.7,636064,1195016,3060765,4832303,1.73,1.9,21.6,1.88
1638903006,RABBIT,8.8,10.7,636064,1195016,3060765,4832303,1.73,1.9,21.6,1.88
1638903057,RABBIT,8.8,10.7,636064,1194945,3060765,4832374,1.73,1.9,21.6,1.88
1638903086,RABBIT,8.8,10.7,636064,1194945,3060765,4832374,1.73,1.9,21.6,1.88
1638903086,RABBIT,8.8,10.7,636064,1194945,3060765,4832374,1.73,1.9,21.6,1.88
1638903086,RABBIT,8.8,10.7,636064,1194945,3060765,4832374,1.73,1.9,21.6,1.88
1638903086,RABBIT,8.8,10.7,636064,1194945,3060765,4832374,1.73,1.9,21.6,1.88
1638903226,RABBIT,8.8,10.9,633952,1194775,3062877,4832544,1.73,2.1,23.9,1.88
1638903233,RABBIT,8.8,10.9,633952,1194775,3062877,4832544,1.73,2.1,23.9,1.88
1638903240,RABBIT,8.8,10.9,633952,1194272,3062877,4833047,1.73,2.1,23.9,1.88
1638903248,RABBIT,8.8,10.9,633952,1194272,3062877,4833047,1.73,2.1,23.9,1.88
1638903855,RABBIT,7.7,11.3,630613,1192372,3066344,4835107,1.73,3.6,46.8,1.89
1638904100,RABBIT,7.3,11.3,628821,1192852,3068136,4835651,1.73,4.0,54.8,1.9
1638904100,RABBIT,7.3,11.3,628821,1192852,3068136,4835651,1.73,4.0,54.8,1.9
1638904100,RABBIT,7.3,11.3,628821,1192852,3068136,4835651,1.73,4.0,54.8,1.9
1638904189,RABBIT,7.3,11.2,628923,1192654,3068136,4835849,1.73,3.9,53.400000000000006,1.9
1638904196,RABBIT,7.3,11.2,628923,1192654,3068136,4835849,1.73,3.9,53.400000000000006,1.9
1638905497,RABBIT,7.2,13.3,599463,1181643,3079051,4847690,1.71,6.1,84.7,1.97
1638905504,RABBIT,7.2,13.3,599463,1181643,3079051,4847690,1.71,6.1,84.7,1.97
