UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,RABBIT_FOOT,11.7,20.4,390179,1310134,338349,2377959,3.86,8.7,74.4,3.36
1638903006,RABBIT_FOOT,11.7,20.3,390736,1309747,338419,2378346,3.85,8.6,73.5,3.35
1638903006,RABBIT_FOOT,11.7,20.3,390736,1309747,338419,2378346,3.85,8.6,73.5,3.35
1638903057,RABBIT_FOOT,11.7,20.3,390736,1308467,338419,2379626,3.85,8.6,73.5,3.35
1638903086,RABBIT_FOOT,11.7,20.3,390730,1308467,338425,2379626,3.85,8.6,73.5,3.35
1638903086,RABBIT_FOOT,11.7,20.3,390730,1308467,338425,2379626,3.85,8.6,73.5,3.35
1638903086,RABBIT_FOOT,11.7,20.3,390730,1308467,338425,2379626,3.85,8.6,73.5,3.35
1638903086,RABBIT_FOOT,11.7,20.3,390730,1308467,338425,2379626,3.85,8.6,73.5,3.35
1638903226,RABBIT_FOOT,11.7,20.3,390727,1307461,338428,2380632,3.84,8.6,73.5,3.35
1638903233,RABBIT_FOOT,11.7,20.3,390727,1307461,338428,2380632,3.84,8.6,73.5,3.35
1638903240,RABBIT_FOOT,11.7,20.3,390727,1307375,338428,2380718,3.84,8.6,73.5,3.35
1638903248,RABBIT_FOOT,11.7,20.3,390727,1307375,338428,2380718,3.84,8.6,73.5,3.35
1638903855,RABBIT_FOOT,11.8,20.0,392361,1356016,338458,2382077,3.98,8.2,69.5,3.46
1638904100,RABBIT_FOOT,11.8,20.0,392992,1354893,338467,2383200,3.98,8.2,69.5,3.45
1638904100,RABBIT_FOOT,11.8,20.0,392992,1354893,338467,2383200,3.98,8.2,69.5,3.45
1638904100,RABBIT_FOOT,11.8,20.0,392992,1354893,338467,2383200,3.98,8.2,69.5,3.45
1638904189,RABBIT_FOOT,11.8,19.9,393626,1354035,338473,2384058,3.98,8.1,68.60000000000001,3.44
1638904196,RABBIT_FOOT,11.8,19.9,393626,1354035,338473,2384058,3.98,8.1,68.60000000000001,3.44
1638905497,RABBIT_FOOT,11.8,19.7,394860,1350017,338573,2388138,3.96,7.9,66.9,3.42
1638905504,RABBIT_FOOT,11.8,19.7,394860,1350017,338573,2388138,3.96,7.9,66.9,3.42
