UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,RABBIT_HIDE,32.4,40.0,379194,1300980,171966,3264565,2.79,7.6,23.5,3.43
1638903006,RABBIT_HIDE,32.4,40.0,379194,1300852,171966,3264693,2.79,7.6,23.5,3.43
1638903006,RABBIT_HIDE,32.4,40.0,379194,1300852,171966,3264693,2.79,7.6,23.5,3.43
1638903057,RABBIT_HIDE,32.4,39.9,380194,1300789,171966,3264756,2.79,7.5,23.1,3.42
1638903086,RABBIT_HIDE,32.4,39.9,380194,1300789,171966,3264756,2.79,7.5,23.1,3.42
1638903086,RABBIT_HIDE,32.4,39.9,380194,1300789,171966,3264756,2.79,7.5,23.1,3.42
1638903086,RABBIT_HIDE,32.4,39.9,380194,1300789,171966,3264756,2.79,7.5,23.1,3.42
1638903086,RABBIT_HIDE,32.4,39.9,380194,1300789,171966,3264756,2.79,7.5,23.1,3.42
1638903226,RABBIT_HIDE,32.4,39.8,380918,1299733,171966,3265812,2.79,7.4,22.8,3.41
1638903233,RABBIT_HIDE,32.4,39.8,380918,1299733,171966,3265812,2.79,7.4,22.8,3.41
1638903240,RABBIT_HIDE,32.5,39.9,380918,1371330,171966,3265895,2.94,7.4,22.8,3.6
1638903248,RABBIT_HIDE,32.5,39.9,380918,1371330,171966,3265895,2.94,7.4,22.8,3.6
1638903855,RABBIT_HIDE,32.5,39.9,380918,1509519,171966,3271066,3.23,7.4,22.8,3.96
1638904100,RABBIT_HIDE,32.5,39.9,380918,1508977,171966,3271608,3.23,7.4,22.8,3.96
1638904100,RABBIT_HIDE,32.5,39.9,380918,1508977,171966,3271608,3.23,7.4,22.8,3.96
1638904100,RABBIT_HIDE,32.5,39.9,380918,1508977,171966,3271608,3.23,7.4,22.8,3.96
1638904189,RABBIT_HIDE,32.5,39.9,380918,1508313,171966,3272272,3.23,7.4,22.8,3.96
1638904196,RABBIT_HIDE,32.5,39.9,380918,1508313,171966,3272272,3.23,7.4,22.8,3.96
1638905497,RABBIT_HIDE,32.5,39.4,383672,1459525,171612,3231482,3.16,6.9,21.2,3.8
1638905504,RABBIT_HIDE,32.5,39.4,383672,1459525,171612,3231482,3.16,6.9,21.2,3.8
1638906506,RABBIT_HIDE,32.5,39.1,385074,1455452,171615,3235555,3.15,6.6,20.3,3.78
1638906538,RABBIT_HIDE,32.5,39.1,385074,1455452,171615,3235555,3.15,6.6,20.3,3.78
1638906598,RABBIT_HIDE,32.5,39.1,385074,1455412,171615,3235595,3.15,6.6,20.3,3.78
1638906612,RABBIT_HIDE,32.5,39.1,385074,1455412,171615,3235595,3.15,6.6,20.3,3.78
1638906620,RABBIT_HIDE,32.5,39.1,385074,1455412,171615,3235595,3.15,6.6,20.3,3.78
1638906646,RABBIT_HIDE,32.5,39.1,385074,1455161,171615,3235846,3.15,6.6,20.3,3.78
1638906653,RABBIT_HIDE,32.5,39.1,385074,1455161,171615,3235846,3.15,6.6,20.3,3.78
1638906660,RABBIT_HIDE,32.5,39.1,385074,1455161,171615,3235846,3.15,6.6,20.3,3.78
1638906889,RABBIT_HIDE,32.5,39.2,384946,1454212,171743,3236795,3.14,6.7,20.6,3.78
1638906898,RABBIT_HIDE,32.5,39.2,384946,1454188,171743,3236819,3.14,6.7,20.6,3.78
1638906939,RABBIT_HIDE,32.5,39.1,385106,1454154,171743,3236853,3.14,6.6,20.3,3.78
1638906980,RABBIT_HIDE,32.5,39.1,386706,1453642,171743,3237365,3.14,6.6,20.3,3.76
1638907080,RABBIT_HIDE,32.5,39.1,386706,1452934,171743,3238073,3.14,6.6,20.3,3.76
1638907129,RABBIT_HIDE,32.5,39.1,386706,1450597,171743,3240410,3.13,6.6,20.3,3.75
1638907209,RABBIT_HIDE,32.5,39.1,386706,1450021,171743,3240986,3.13,6.6,20.3,3.75
1638907229,RABBIT_HIDE,32.5,39.1,386706,1449797,171743,3241210,3.13,6.6,20.3,3.75
1638907265,RABBIT_HIDE,32.5,39.1,386706,1449680,171743,3241327,3.13,6.6,20.3,3.75
1638907280,RABBIT_HIDE,32.5,39.1,386706,1449680,171743,3241327,3.13,6.6,20.3,3.75
1638907311,RABBIT_HIDE,32.5,39.1,386706,1449680,171743,3241327,3.13,6.6,20.3,3.75
1638907322,RABBIT_HIDE,32.5,39.0,386706,1449649,171743,3241358,3.13,6.5,20.0,3.75
1638907346,RABBIT_HIDE,32.5,39.0,386954,1449647,171743,3241360,3.13,6.5,20.0,3.75
1638907359,RABBIT_HIDE,32.5,39.0,386954,1449647,171743,3241360,3.13,6.5,20.0,3.75
1638907396,RABBIT_HIDE,32.5,39.0,386954,1449647,171743,3241360,3.13,6.5,20.0,3.75
1638907404,RABBIT_HIDE,32.5,39.0,386954,1449647,171743,3241360,3.13,6.5,20.0,3.75
1638907415,RABBIT_HIDE,32.5,38.9,390794,1447716,171743,3243291,3.12,6.4,19.7,3.7
1638907521,RABBIT_HIDE,32.5,39.0,390794,1437210,171743,3253797,3.09,6.5,20.0,3.68
1638907532,RABBIT_HIDE,32.5,39.0,390794,1437210,171743,3253797,3.09,6.5,20.0,3.68
1638907545,RABBIT_HIDE,32.5,39.0,390794,1437210,171743,3253797,3.09,6.5,20.0,3.68
1638907557,RABBIT_HIDE,32.5,39.0,391427,1437210,171743,3253797,3.09,6.5,20.0,3.67
1638907570,RABBIT_HIDE,32.5,39.0,391427,1436764,171743,3254243,3.09,6.5,20.0,3.67
1638907607,RABBIT_HIDE,32.5,39.0,391427,1436764,171743,3254243,3.09,6.5,20.0,3.67
1638907625,RABBIT_HIDE,32.5,39.0,391427,1436508,171743,3254499,3.09,6.5,20.0,3.67
1638907672,RABBIT_HIDE,32.5,39.0,391427,1436408,171743,3254599,3.09,6.5,20.0,3.67
