UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,RAW_BEEF,3.0,5.6,1111865,222253,3445050,7026060,0.22,2.6,86.7,-5.0
1638903006,RAW_BEEF,3.0,5.6,1111865,221966,3445050,7026347,0.22,2.6,86.7,-5.01
1638903006,RAW_BEEF,3.0,5.6,1111865,221966,3445050,7026347,0.22,2.6,86.7,-5.01
1638903057,RAW_BEEF,3.0,5.6,1111865,221958,3445050,7026355,0.22,2.6,86.7,-5.01
1638903086,RAW_BEEF,3.0,5.6,1110137,221817,3446778,7026496,0.22,2.6,86.7,-5.0
1638903086,RAW_BEEF,3.0,5.6,1110137,221817,3446778,7026496,0.22,2.6,86.7,-5.0
1638903086,RAW_BEEF,3.0,5.6,1110137,221817,3446778,7026496,0.22,2.6,86.7,-5.0
1638903086,RAW_BEEF,3.0,5.6,1110137,221817,3446778,7026496,0.22,2.6,86.7,-5.0
1638903226,RAW_BEEF,3.0,5.6,1110137,219922,3446778,7028391,0.22,2.6,86.7,-5.05
1638903233,RAW_BEEF,3.0,5.6,1110137,219922,3446778,7028391,0.22,2.6,86.7,-5.05
1638903240,RAW_BEEF,3.0,5.6,1110137,219918,3446778,7028395,0.22,2.6,86.7,-5.05
1638903248,RAW_BEEF,3.0,5.6,1110137,219918,3446778,7028395,0.22,2.6,86.7,-5.05
1638903855,RAW_BEEF,3.2,5.6,1108344,289060,3448571,7034262,0.29,2.4,75.0,-3.83
1638904100,RAW_BEEF,3.2,5.4,1105506,286667,3451451,7036655,0.29,2.2,68.8,-3.86
1638904100,RAW_BEEF,3.2,5.4,1105506,286667,3451451,7036655,0.29,2.2,68.8,-3.86
1638904100,RAW_BEEF,3.2,5.4,1105506,286667,3451451,7036655,0.29,2.2,68.8,-3.86
1638904189,RAW_BEEF,3.2,5.6,1105026,285942,3451931,7037380,0.28,2.4,75.0,-3.86
1638904196,RAW_BEEF,3.2,5.6,1105026,285942,3451931,7037380,0.28,2.4,75.0,-3.86
1638905497,RAW_BEEF,3.2,5.4,1092386,267952,3465507,7055370,0.27,2.2,68.8,-4.08
1638905504,RAW_BEEF,3.2,5.4,1092386,267952,3465507,7055370,0.27,2.2,68.8,-4.08
1638906506,RAW_BEEF,3.0,5.4,1157650,192652,3333946,6968666,0.19,2.4,80.0,-6.01
