UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,RAW_CHICKEN,8.3,13.6,480744,576169,3061369,5012785,0.8,5.3,63.9,1.2
1638903006,RAW_CHICKEN,8.3,13.6,480744,576039,3061369,5012915,0.8,5.3,63.9,1.2
1638903006,RAW_CHICKEN,8.3,13.6,480744,576039,3061369,5012915,0.8,5.3,63.9,1.2
1638903057,RAW_CHICKEN,8.3,13.6,480744,576037,3061369,5012917,0.8,5.3,63.9,1.2
1638903086,RAW_CHICKEN,8.4,13.6,480744,576037,3061369,5012917,0.8,5.2,61.9,1.2
1638903086,RAW_CHICKEN,8.4,13.6,480744,576037,3061369,5012917,0.8,5.2,61.9,1.2
1638903086,RAW_CHICKEN,8.4,13.6,480744,576037,3061369,5012917,0.8,5.2,61.9,1.2
1638903086,RAW_CHICKEN,8.4,13.6,480744,576037,3061369,5012917,0.8,5.2,61.9,1.2
1638903226,RAW_CHICKEN,8.2,13.5,480977,572965,3062649,5017502,0.8,5.3,64.60000000000001,1.19
1638903233,RAW_CHICKEN,8.2,13.5,480977,572965,3062649,5017502,0.8,5.3,64.60000000000001,1.19
1638903240,RAW_CHICKEN,8.2,13.5,481274,571884,3062649,5018583,0.8,5.3,64.60000000000001,1.19
1638903248,RAW_CHICKEN,8.2,13.5,481274,571884,3062649,5018583,0.8,5.3,64.60000000000001,1.19
1638903855,RAW_CHICKEN,7.9,13.3,488027,583317,3066681,5022150,0.81,5.4,68.4,1.2
1638904100,RAW_CHICKEN,8.1,13.2,486683,654081,3069561,5022410,0.91,5.1,63.0,1.34
1638904100,RAW_CHICKEN,8.1,13.2,486683,654081,3069561,5022410,0.91,5.1,63.0,1.34
1638904100,RAW_CHICKEN,8.1,13.2,486683,654081,3069561,5022410,0.91,5.1,63.0,1.34
1638904189,RAW_CHICKEN,8.1,13.2,486154,653826,3070090,5022665,0.91,5.1,63.0,1.34
1638904196,RAW_CHICKEN,8.1,13.2,486154,653826,3070090,5022665,0.91,5.1,63.0,1.34
