UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,RAW_FISH,17.1,20.9,1479908,1316415,22467771,63687456,0.14,3.8,22.2,-1.12
1638903006,RAW_FISH,17.2,20.9,1479908,1315270,22467771,63689625,0.14,3.7,21.5,-1.13
1638903006,RAW_FISH,17.2,20.9,1479908,1315270,22467771,63689625,0.14,3.7,21.5,-1.13
1638903057,RAW_FISH,17.1,20.8,1480932,1314178,22467771,63690717,0.14,3.7,21.6,-1.13
1638903086,RAW_FISH,17.2,20.8,1480932,1385370,22467771,63691205,0.15,3.6,20.9,-1.07
1638903086,RAW_FISH,17.2,20.8,1480932,1385370,22467771,63691205,0.15,3.6,20.9,-1.07
1638903086,RAW_FISH,17.2,20.8,1480932,1385370,22467771,63691205,0.15,3.6,20.9,-1.07
1638903086,RAW_FISH,17.2,20.8,1480932,1385370,22467771,63691205,0.15,3.6,20.9,-1.07
1638903226,RAW_FISH,17.4,21.0,1476580,1394815,22473147,63698784,0.15,3.6,20.7,-1.06
1638903233,RAW_FISH,17.4,21.0,1476580,1394815,22473147,63698784,0.15,3.6,20.7,-1.06
1638903240,RAW_FISH,17.5,21.0,1474271,1393963,22475456,63700660,0.15,3.5,20.0,-1.06
1638903248,RAW_FISH,17.5,21.0,1474271,1393963,22475456,63700660,0.15,3.5,20.0,-1.06
1638903855,RAW_FISH,17.2,21.0,1454415,1352334,22526400,63754982,0.15,3.8,22.1,-1.08
1638904100,RAW_FISH,17.2,21.0,1421469,1339317,22570818,63774127,0.15,3.8,22.1,-1.06
1638904100,RAW_FISH,17.2,21.0,1421469,1339317,22570818,63774127,0.15,3.8,22.1,-1.06
1638904100,RAW_FISH,17.2,21.0,1421469,1339317,22570818,63774127,0.15,3.8,22.1,-1.06
1638904189,RAW_FISH,17.3,21.0,1413909,1344121,22588170,63783347,0.15,3.7,21.4,-1.05
1638904196,RAW_FISH,17.3,21.0,1413909,1344121,22588170,63783347,0.15,3.7,21.4,-1.05
1638905497,RAW_FISH,17.7,22.1,1236385,1455860,22802177,63907050,0.16,4.4,24.9,1.18
1638905504,RAW_FISH,17.7,22.1,1236385,1455860,22802177,63907050,0.16,4.4,24.9,1.18
1638906506,RAW_FISH,17.5,21.5,1273546,1428845,22855305,63989286,0.16,4.0,22.9,1.12
1638906538,RAW_FISH,17.5,21.5,1274185,1425796,22855306,63992335,0.16,4.0,22.9,1.12
1638906598,RAW_FISH,17.5,21.4,1274121,1350318,22855690,64015397,0.15,3.9,22.3,1.06
1638906612,RAW_FISH,17.5,21.4,1274097,1350179,22855714,64015536,0.15,3.9,22.3,1.06
1638906620,RAW_FISH,17.5,21.4,1274097,1350179,22855714,64015536,0.15,3.9,22.3,1.06
1638906646,RAW_FISH,17.5,21.4,1274096,1347751,22855715,64017964,0.15,3.9,22.3,1.06
1638906653,RAW_FISH,17.5,21.4,1274096,1344863,22855715,64020852,0.15,3.9,22.3,1.06
1638906660,RAW_FISH,17.5,21.8,1274096,1342615,22855715,64023100,0.15,4.3,24.6,1.05
1638906889,RAW_FISH,17.2,21.8,1271023,1273617,22858788,64041440,0.14,4.6,26.700000000000003,1.0
1638906898,RAW_FISH,17.2,21.8,1271022,1273617,22858789,64041440,0.14,4.6,26.700000000000003,1.0
1638906939,RAW_FISH,17.2,21.8,1271022,1270479,22858789,64044578,0.14,4.6,26.700000000000003,-1.0
1638906980,RAW_FISH,17.2,21.8,1269997,1269179,22859814,64045878,0.14,4.6,26.700000000000003,-1.0
1638907080,RAW_FISH,17.0,21.7,1272189,1253832,22859814,64063225,0.14,4.7,27.6,-1.01
1638907129,RAW_FISH,17.0,21.5,1347661,1250739,22859942,64066318,0.14,4.5,26.5,-1.08
1638907209,RAW_FISH,16.6,21.4,1349872,1245112,22860006,64071945,0.14,4.8,28.9,-1.08
1638907229,RAW_FISH,16.6,21.4,1349872,1244924,22860006,64073285,0.14,4.8,28.9,-1.08
1638907265,RAW_FISH,16.9,21.4,1349797,1248003,22860081,64073662,0.14,4.5,26.6,-1.08
1638907280,RAW_FISH,17.0,21.4,1348747,1249856,22861131,64073985,0.14,4.4,25.9,-1.08
1638907311,RAW_FISH,17.2,21.4,1348738,1256511,22861140,64075010,0.14,4.2,24.4,-1.07
1638907322,RAW_FISH,17.2,21.4,1348738,1256843,22861140,64075830,0.14,4.2,24.4,-1.07
1638907346,RAW_FISH,17.2,21.4,1348598,1256078,22861280,64078899,0.14,4.2,24.4,-1.07
1638907359,RAW_FISH,17.2,21.4,1348598,1256078,22861280,64078899,0.14,4.2,24.4,-1.07
1638907396,RAW_FISH,17.1,21.5,1347834,1255037,22862044,64079940,0.14,4.4,25.7,-1.07
1638907404,RAW_FISH,17.1,21.5,1347834,1255037,22862044,64079940,0.14,4.4,25.7,-1.07
1638907415,RAW_FISH,17.0,21.5,1347834,1252188,22862044,64082789,0.14,4.5,26.5,-1.08
1638907521,RAW_FISH,16.6,21.5,1345862,1245413,22864016,64089564,0.14,4.9,29.5,-1.08
1638907532,RAW_FISH,16.6,21.5,1345862,1245413,22864016,64089564,0.14,4.9,29.5,-1.08
1638907545,RAW_FISH,16.6,21.5,1345862,1245177,22864016,64089800,0.14,4.9,29.5,-1.08
1638907557,RAW_FISH,16.6,21.5,1345862,1244709,22864016,64090268,0.14,4.9,29.5,-1.08
1638907570,RAW_FISH,16.6,21.5,1345862,1243115,22864016,64091862,0.14,4.9,29.5,-1.08
1638907607,RAW_FISH,16.6,21.5,1345862,1239133,22864016,64095844,0.14,4.9,29.5,-1.09
1638907625,RAW_FISH,16.2,21.5,1343942,1235122,22865936,64099855,0.13,5.3,32.7,-1.09
1638907672,RAW_FISH,16.2,21.2,1348037,1226954,22867473,64108023,0.13,5.0,30.9,-1.1
