UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,RAW_FISH:1,9.0,11.1,222748,2401714,3862937,44196200,0.38,2.1,23.3,10.78
1638903006,RAW_FISH:1,9.1,11.1,222748,2409381,3862937,44198533,0.38,2.0,22.0,10.82
1638903006,RAW_FISH:1,9.1,11.1,222748,2409381,3862937,44198533,0.38,2.0,22.0,10.82
1638903057,RAW_FISH:1,9.1,11.0,223772,2408478,3862937,44199436,0.38,1.9,20.9,10.76
1638903855,RAW_FISH:1,9.0,11.3,200680,2365800,3886171,44239788,0.37,2.3,25.6,11.79
1638904100,RAW_FISH:1,9.1,11.3,183074,2353060,3903777,44253552,0.37,2.2,24.2,12.85
1638904100,RAW_FISH:1,9.1,11.3,183074,2353060,3903777,44253552,0.37,2.2,24.2,12.85
1638904100,RAW_FISH:1,9.1,11.3,183074,2353060,3903777,44253552,0.37,2.2,24.2,12.85
1638904189,RAW_FISH:1,9.0,11.4,176862,2348533,3909989,44258079,0.37,2.4,26.700000000000003,13.28
1638904196,RAW_FISH:1,9.0,11.4,176862,2348533,3909989,44258079,0.37,2.4,26.700000000000003,13.28
