UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,RAW_SOULFLOW,137.2,155.6,301709,842890,581142,1103928,5.34,18.4,13.4,2.79
1638903006,RAW_SOULFLOW,137.2,155.6,301709,842890,581142,1103928,5.34,18.4,13.4,2.79
1638903006,RAW_SOULFLOW,137.2,155.6,301709,842890,581142,1103928,5.34,18.4,13.4,2.79
1638903057,RAW_SOULFLOW,137.2,155.6,301709,842890,581142,1103928,5.34,18.4,13.4,2.79
1638903086,RAW_SOULFLOW,137.2,155.6,301709,842890,581142,1103928,5.34,18.4,13.4,2.79
1638903086,RAW_SOULFLOW,137.2,155.6,301709,842890,581142,1103928,5.34,18.4,13.4,2.79
1638903086,RAW_SOULFLOW,137.2,155.6,301709,842890,581142,1103928,5.34,18.4,13.4,2.79
1638903086,RAW_SOULFLOW,137.2,155.6,301709,842890,581142,1103928,5.34,18.4,13.4,2.79
1638903226,RAW_SOULFLOW,137.2,155.5,302986,842723,581142,1104095,5.34,18.3,13.3,2.78
1638903233,RAW_SOULFLOW,137.2,155.5,302986,842723,581142,1104095,5.34,18.3,13.3,2.78
1638903240,RAW_SOULFLOW,137.2,155.5,302986,842663,581142,1104155,5.34,18.3,13.3,2.78
1638903248,RAW_SOULFLOW,137.2,155.5,302986,842663,581142,1104155,5.34,18.3,13.3,2.78
1638903855,RAW_SOULFLOW,137.2,155.4,303190,842302,581389,1104807,5.34,18.2,13.3,2.78
1638904100,RAW_SOULFLOW,137.2,155.4,303078,842204,581453,1104905,5.34,18.2,13.3,2.78
1638904100,RAW_SOULFLOW,137.2,155.4,303078,842204,581453,1104905,5.34,18.2,13.3,2.78
1638904100,RAW_SOULFLOW,137.2,155.4,303078,842204,581453,1104905,5.34,18.2,13.3,2.78
1638904189,RAW_SOULFLOW,137.2,155.4,303078,842046,581453,1105063,5.33,18.2,13.3,2.78
1638904196,RAW_SOULFLOW,137.2,155.4,303078,842046,581453,1105063,5.33,18.2,13.3,2.78
1638905497,RAW_SOULFLOW,137.3,154.5,337111,814214,582657,1114358,5.11,17.2,12.5,2.42
1638905504,RAW_SOULFLOW,137.3,154.5,337111,814214,582657,1114358,5.11,17.2,12.5,2.42
1638906506,RAW_SOULFLOW,137.4,152.7,336759,814479,584905,1115117,5.11,15.3,11.1,2.42
1638906538,RAW_SOULFLOW,137.4,152.7,336753,814479,584911,1115117,5.11,15.3,11.1,2.42
1638906598,RAW_SOULFLOW,137.4,152.7,336753,814479,584911,1115117,5.11,15.3,11.1,2.42
1638906612,RAW_SOULFLOW,137.4,152.7,336753,814479,584911,1115117,5.11,15.3,11.1,2.42
1638906620,RAW_SOULFLOW,137.4,152.7,336753,814479,584911,1115117,5.11,15.3,11.1,2.42
1638906646,RAW_SOULFLOW,137.3,152.6,336946,813648,584911,1115117,5.11,15.3,11.1,2.41
1638906653,RAW_SOULFLOW,137.3,152.6,336946,813648,584911,1115117,5.11,15.3,11.1,2.41
1638906660,RAW_SOULFLOW,137.3,152.6,336946,813648,584911,1115117,5.11,15.3,11.1,2.41
1638906889,RAW_SOULFLOW,137.2,152.5,337722,809294,584911,1115247,5.08,15.3,11.2,2.4
1638906898,RAW_SOULFLOW,137.2,152.5,337722,809294,584911,1115247,5.08,15.3,11.2,2.4
1638906939,RAW_SOULFLOW,137.2,152.5,337722,809294,584911,1115247,5.08,15.3,11.2,2.4
1638906980,RAW_SOULFLOW,137.2,152.5,337722,809294,584911,1115247,5.08,15.3,11.2,2.4
1638907080,RAW_SOULFLOW,137.2,152.6,336946,808518,584911,1116023,5.07,15.4,11.2,2.4
1638907129,RAW_SOULFLOW,137.2,152.6,337139,808518,584911,1116023,5.07,15.4,11.2,2.4
1638907209,RAW_SOULFLOW,137.2,152.8,335666,808461,586191,1116080,5.07,15.6,11.4,2.41
1638907229,RAW_SOULFLOW,137.2,152.8,335666,808461,586191,1116080,5.07,15.6,11.4,2.41
1638907265,RAW_SOULFLOW,137.2,152.8,335666,808461,586191,1116080,5.07,15.6,11.4,2.41
1638907280,RAW_SOULFLOW,137.2,152.8,335538,808461,586319,1116080,5.07,15.6,11.4,2.41
