UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,REDSTONE,0.9,1.6,2856953,2782103,18949571,137818736,0.14,0.7,77.8,-1.03
1638903006,REDSTONE,0.9,1.6,2855608,2815601,18951364,137836438,0.14,0.7,77.8,-1.01
1638903006,REDSTONE,0.9,1.6,2855608,2815601,18951364,137836438,0.14,0.7,77.8,-1.01
1638903057,REDSTONE,0.9,1.6,2855608,2814664,18951364,137837375,0.14,0.7,77.8,-1.01
1638903086,REDSTONE,0.9,1.6,2855031,2802709,18951493,137849330,0.14,0.7,77.8,-1.02
1638903086,REDSTONE,0.9,1.6,2855031,2802709,18951493,137849330,0.14,0.7,77.8,-1.02
1638903086,REDSTONE,0.9,1.6,2855031,2802709,18951493,137849330,0.14,0.7,77.8,-1.02
1638903086,REDSTONE,0.9,1.6,2855031,2802709,18951493,137849330,0.14,0.7,77.8,-1.02
1638903226,REDSTONE,0.9,1.6,2852457,2782589,18954067,137869450,0.14,0.7,77.8,-1.03
1638903233,REDSTONE,0.9,1.6,2852457,2782589,18954067,137869450,0.14,0.7,77.8,-1.03
1638903240,REDSTONE,0.9,1.6,2852457,2779252,18954067,137872787,0.14,0.7,77.8,-1.03
1638903248,REDSTONE,0.9,1.6,2852457,2779252,18954067,137872787,0.14,0.7,77.8,-1.03
1638903855,REDSTONE,1.1,1.6,2846813,2889858,18962455,138026858,0.15,0.5,45.5,1.02
1638904100,REDSTONE,1.1,1.6,2843744,2846297,18965665,138080422,0.14,0.5,45.5,1.0
1638904100,REDSTONE,1.1,1.6,2843744,2846297,18965665,138080422,0.14,0.5,45.5,1.0
1638904100,REDSTONE,1.1,1.6,2843744,2846297,18965665,138080422,0.14,0.5,45.5,1.0
1638904189,REDSTONE,1.0,1.6,2839935,2814844,18969474,138112355,0.14,0.6,60.0,-1.01
1638904196,REDSTONE,1.0,1.6,2839935,2814844,18969474,138112355,0.14,0.6,60.0,-1.01
1638905497,REDSTONE,1.0,1.6,2880482,2709690,19010239,138547967,0.14,0.6,60.0,-1.06
1638905504,REDSTONE,1.0,1.6,2880482,2709690,19010239,138547967,0.14,0.6,60.0,-1.06
1638906506,REDSTONE,1.1,1.4,2936412,2855933,19035051,138756516,0.14,0.3,27.3,-1.03
1638906538,REDSTONE,1.1,1.5,2934364,2849924,19037099,138762525,0.14,0.4,36.4,-1.03
1638906598,REDSTONE,1.1,1.5,2932764,2840700,19038699,138771749,0.14,0.4,36.4,-1.03
1638906612,REDSTONE,1.1,1.5,2932572,2834023,19038891,138778426,0.14,0.4,36.4,-1.03
1638906620,REDSTONE,1.1,1.5,2932572,2834023,19038891,138778426,0.14,0.4,36.4,-1.03
1638906646,REDSTONE,1.1,1.5,2928348,2830784,19043115,138781665,0.14,0.4,36.4,-1.03
1638906653,REDSTONE,1.1,1.5,2928348,2835635,19043115,138783821,0.14,0.4,36.4,-1.03
1638906660,REDSTONE,1.1,1.5,2928348,2835039,19043115,138784417,0.14,0.4,36.4,-1.03
1638906889,REDSTONE,1.0,1.5,2913787,3250273,19057676,138870943,0.16,0.5,50.0,1.12
1638906898,REDSTONE,1.0,1.5,2913787,3245173,19057676,138876043,0.16,0.5,50.0,1.11
1638906939,REDSTONE,1.0,1.5,2913723,3238154,19057740,138883062,0.16,0.5,50.0,1.11
1638906980,REDSTONE,1.1,1.5,2913760,3225860,19057756,138895356,0.16,0.4,36.4,1.11
