UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,RED_MUSHROOM,13.5,20.1,375281,1242997,2509397,6871706,1.27,6.6,48.9,3.31
1638903006,RED_MUSHROOM,13.5,20.1,375281,1242509,2509397,6872194,1.27,6.6,48.9,3.31
1638903006,RED_MUSHROOM,13.5,20.1,375281,1242509,2509397,6872194,1.27,6.6,48.9,3.31
1638903057,RED_MUSHROOM,13.5,20.1,374705,1241293,2509973,6873410,1.26,6.6,48.9,3.31
1638903086,RED_MUSHROOM,13.5,20.1,373623,1240149,2509974,6874554,1.26,6.6,48.9,3.32
1638903086,RED_MUSHROOM,13.5,20.1,373623,1240149,2509974,6874554,1.26,6.6,48.9,3.32
1638903086,RED_MUSHROOM,13.5,20.1,373623,1240149,2509974,6874554,1.26,6.6,48.9,3.32
1638903086,RED_MUSHROOM,13.5,20.1,373623,1240149,2509974,6874554,1.26,6.6,48.9,3.32
1638903226,RED_MUSHROOM,13.5,20.2,372791,1239512,2510806,6875191,1.26,6.7,49.6,3.32
1638903233,RED_MUSHROOM,13.5,20.2,372791,1239512,2510806,6875191,1.26,6.7,49.6,3.32
1638903240,RED_MUSHROOM,13.5,20.2,372791,1238923,2510806,6875780,1.26,6.7,49.6,3.32
1638903248,RED_MUSHROOM,13.5,20.2,372791,1238923,2510806,6875780,1.26,6.7,49.6,3.32
1638903855,RED_MUSHROOM,13.4,20.4,370500,1191066,2513097,6923637,1.2,7.0,52.2,3.21
1638904100,RED_MUSHROOM,13.4,20.3,369148,1190168,2514657,6924535,1.2,6.9,51.5,3.22
1638904100,RED_MUSHROOM,13.4,20.3,369148,1190168,2514657,6924535,1.2,6.9,51.5,3.22
1638904100,RED_MUSHROOM,13.4,20.3,369148,1190168,2514657,6924535,1.2,6.9,51.5,3.22
1638904189,RED_MUSHROOM,13.5,20.3,369148,1189576,2514657,6926127,1.2,6.8,50.4,3.22
1638904196,RED_MUSHROOM,13.5,20.3,369148,1189576,2514657,6926127,1.2,6.8,50.4,3.22
1638905497,RED_MUSHROOM,13.5,20.2,367922,1164055,2521306,6944287,1.17,6.7,49.6,3.16
1638905504,RED_MUSHROOM,13.5,20.2,367922,1164055,2521306,6944287,1.17,6.7,49.6,3.16
