UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,REFINED_MINERAL,28097.2,31946.0,18273,21967,58407,17436,8.82,3848.8,13.7,1.2
1638903006,REFINED_MINERAL,28097.2,31946.0,18273,21967,58407,17436,8.82,3848.8,13.7,1.2
1638903006,REFINED_MINERAL,28097.2,31946.0,18273,21967,58407,17436,8.82,3848.8,13.7,1.2
1638903057,REFINED_MINERAL,28097.2,31946.0,18273,21967,58407,17436,8.82,3848.8,13.7,1.2
1638903086,REFINED_MINERAL,28097.2,31946.0,18273,21967,58407,17436,8.82,3848.8,13.7,1.2
1638903086,REFINED_MINERAL,28097.2,31946.0,18273,21967,58407,17436,8.82,3848.8,13.7,1.2
1638903086,REFINED_MINERAL,28097.2,31946.0,18273,21967,58407,17436,8.82,3848.8,13.7,1.2
1638903086,REFINED_MINERAL,28097.2,31946.0,18273,21967,58407,17436,8.82,3848.8,13.7,1.2
1638903226,REFINED_MINERAL,28097.1,31946.1,18209,21899,58471,17504,8.76,3849.0,13.7,1.2
1638903233,REFINED_MINERAL,28097.1,31946.1,18209,21899,58471,17504,8.76,3849.0,13.7,1.2
1638903240,REFINED_MINERAL,28097.1,31946.1,18209,21894,58471,17509,8.75,3849.0,13.7,1.2
1638903248,REFINED_MINERAL,28097.1,31946.1,18209,21894,58471,17509,8.75,3849.0,13.7,1.2
1638903855,REFINED_MINERAL,28097.0,31946.1,18170,20611,58510,18864,7.65,3849.1,13.7,1.13
1638904100,REFINED_MINERAL,28289.5,31946.1,18170,20620,58510,18864,7.65,3656.6,12.9,1.13
1638904100,REFINED_MINERAL,28289.5,31946.1,18170,20620,58510,18864,7.65,3656.6,12.9,1.13
1638904100,REFINED_MINERAL,28289.5,31946.1,18170,20620,58510,18864,7.65,3656.6,12.9,1.13
1638904189,REFINED_MINERAL,28289.6,31946.1,18170,20621,58510,18864,7.65,3656.5,12.9,1.13
1638904196,REFINED_MINERAL,28289.6,31946.1,18170,20621,58510,18864,7.65,3656.5,12.9,1.13
1638905497,REFINED_MINERAL,28097.1,31946.2,18087,20603,58595,18888,7.64,3849.1,13.7,1.14
1638905504,REFINED_MINERAL,28097.1,31946.2,18087,20603,58595,18888,7.64,3849.1,13.700000000000001,1.14
