UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,REFINED_MITHRIL,339295.6,344398.8,2211,12491,25630,13169,6.64,5103.2,1.5,5.65
1638903006,REFINED_MITHRIL,339295.6,344398.8,2199,12491,25631,13170,6.64,5103.2,1.5,5.68
1638903006,REFINED_MITHRIL,339295.6,344398.8,2199,12491,25631,13170,6.64,5103.2,1.5,5.68
1638903057,REFINED_MITHRIL,339295.6,344398.7,2199,12487,25631,13174,6.63,5103.1,1.5,5.68
1638903086,REFINED_MITHRIL,339295.6,344399.0,2191,12483,25639,13178,6.63,5103.4,1.5,5.7
1638903086,REFINED_MITHRIL,339295.6,344399.0,2191,12483,25639,13178,6.63,5103.4,1.5,5.7
1638903086,REFINED_MITHRIL,339295.6,344399.0,2191,12483,25639,13178,6.63,5103.4,1.5,5.7
1638903086,REFINED_MITHRIL,339295.6,344399.0,2191,12483,25639,13178,6.63,5103.4,1.5,5.7
1638903226,REFINED_MITHRIL,339295.6,344399.0,2191,12477,25639,13184,6.62,5103.4,1.5,5.69
1638903233,REFINED_MITHRIL,339295.6,344399.0,2191,12477,25639,13184,6.62,5103.4,1.5,5.69
1638903240,REFINED_MITHRIL,339295.6,344399.0,2191,12477,25639,13184,6.62,5103.4,1.5,5.69
1638903248,REFINED_MITHRIL,339295.6,344399.0,2191,12477,25639,13184,6.62,5103.4,1.5,5.69
1638903855,REFINED_MITHRIL,339026.7,344399.0,1983,12434,25651,13219,6.58,5372.3,1.6,6.27
1638904100,REFINED_MITHRIL,339026.7,344398.9,1985,12434,25653,13219,6.58,5372.2,1.6,6.26
1638904100,REFINED_MITHRIL,339026.7,344398.9,1985,12434,25653,13219,6.58,5372.2,1.6,6.26
1638904100,REFINED_MITHRIL,339026.7,344398.9,1985,12434,25653,13219,6.58,5372.2,1.6,6.26
1638904189,REFINED_MITHRIL,339026.7,344398.9,1985,12430,25653,13223,6.58,5372.2,1.6,6.26
1638904196,REFINED_MITHRIL,339026.7,344398.9,1985,12430,25653,13223,6.58,5372.2,1.6,6.26
1638905497,REFINED_MITHRIL,339027.7,344398.2,1999,12659,25204,13091,6.77,5370.5,1.6,6.33
1638905504,REFINED_MITHRIL,339027.7,344398.2,1999,12659,25204,13091,6.77,5370.5,1.6,6.33
1638906506,REFINED_MITHRIL,339295.8,344398.7,1989,12547,25252,13159,6.67,5102.9,1.5,6.31
1638906538,REFINED_MITHRIL,339295.8,344398.7,1989,12543,25252,13163,6.67,5102.9,1.5,6.31
1638906598,REFINED_MITHRIL,339295.8,344398.8,1982,12543,25256,13163,6.67,5103.0,1.5,6.33
1638906612,REFINED_MITHRIL,339295.8,344398.8,1979,12543,25259,13163,6.67,5103.0,1.5,6.34
1638906620,REFINED_MITHRIL,339295.8,344398.8,1979,12543,25259,13163,6.67,5103.0,1.5,6.34
1638906646,REFINED_MITHRIL,339295.8,343888.5,2274,12543,25259,13163,6.67,4592.7,1.4,5.52
1638906653,REFINED_MITHRIL,339295.8,343888.5,2274,12543,25259,13163,6.67,4592.7,1.4,5.52
1638906660,REFINED_MITHRIL,339295.8,343888.4,2274,12543,25259,13163,6.67,4592.6,1.4,5.52
1638906889,REFINED_MITHRIL,339295.8,344399.3,1982,12497,25229,13180,6.64,5103.5,1.5,6.31
1638906898,REFINED_MITHRIL,339295.8,344399.3,1972,12492,25239,13185,6.63,5103.5,1.5,6.33
1638906939,REFINED_MITHRIL,339295.8,344399.3,1972,12487,25239,13190,6.63,5103.5,1.5,6.33
1638906980,REFINED_MITHRIL,339295.8,344399.3,1971,12487,25240,13190,6.63,5103.5,1.5,6.34
1638907080,REFINED_MITHRIL,339295.9,344399.9,1964,12487,25252,13190,6.63,5104.0,1.5,6.36
1638907129,REFINED_MITHRIL,339295.9,344399.9,1964,12493,25252,13190,6.63,5104.0,1.5,6.36
1638907209,REFINED_MITHRIL,339295.9,344399.9,1964,12490,25252,13193,6.63,5104.0,1.5,6.36
1638907229,REFINED_MITHRIL,339296.0,344399.9,1964,12490,25252,13193,6.63,5103.9,1.5,6.36
1638907265,REFINED_MITHRIL,339296.0,344399.9,1964,12510,25252,13193,6.64,5103.9,1.5,6.37
1638907280,REFINED_MITHRIL,339296.0,344399.9,1964,12510,25252,13193,6.64,5103.9,1.5,6.37
1638907311,REFINED_MITHRIL,339296.0,344399.9,1964,12506,25252,13197,6.63,5103.9,1.5,6.37
1638907322,REFINED_MITHRIL,339296.0,344399.8,1964,12502,25252,13201,6.63,5103.8,1.5,6.37
1638907346,REFINED_MITHRIL,339296.0,344399.8,1968,12502,25252,13201,6.63,5103.8,1.5,6.35
1638907359,REFINED_MITHRIL,339296.0,344399.8,1968,12502,25252,13201,6.63,5103.8,1.5,6.35
1638907396,REFINED_MITHRIL,339296.1,344400.3,1958,12510,25262,13201,6.63,5104.2,1.5,6.39
1638907404,REFINED_MITHRIL,339296.1,344400.3,1958,12510,25262,13201,6.63,5104.2,1.5,6.39
1638907415,REFINED_MITHRIL,339296.1,344400.2,1963,12510,25262,13201,6.63,5104.1,1.5,6.37
1638907521,REFINED_MITHRIL,339296.1,344400.1,1968,12510,25262,13201,6.63,5104.0,1.5,6.36
1638907532,REFINED_MITHRIL,339296.1,344400.1,1968,12510,25262,13201,6.63,5104.0,1.5,6.36
1638907545,REFINED_MITHRIL,339296.1,344400.1,1968,12510,25262,13201,6.63,5104.0,1.5,6.36
1638907557,REFINED_MITHRIL,339296.1,344400.1,1968,12510,25262,13201,6.63,5104.0,1.5,6.36
1638907570,REFINED_MITHRIL,339296.1,344400.1,1968,12510,25262,13201,6.63,5104.0,1.5,6.36
1638907607,REFINED_MITHRIL,339296.1,344400.1,1968,12510,25262,13201,6.63,5104.0,1.5,6.36
1638907625,REFINED_MITHRIL,339551.3,344400.0,1973,12510,25262,13201,6.63,4848.7,1.4,6.34
1638907672,REFINED_MITHRIL,339551.3,344400.0,1975,12513,25264,13201,6.64,4848.7,1.4000000000000001,6.34
