UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,REVENANT_VISCERA,44835.9,46542.6,39722,35543,311113,200986,1.24,1706.7,3.8,-1.12
1638903006,REVENANT_VISCERA,44835.5,46542.6,39670,35447,311165,201082,1.23,1707.1,3.8,-1.12
1638903006,REVENANT_VISCERA,44835.5,46542.6,39670,35447,311165,201082,1.23,1707.1,3.8,-1.12
1638903057,REVENANT_VISCERA,44835.5,46542.4,39716,35429,311169,201100,1.23,1706.9,3.8,-1.12
1638903086,REVENANT_VISCERA,44835.5,46542.4,39731,35406,311169,201123,1.23,1706.9,3.8,-1.12
1638903086,REVENANT_VISCERA,44835.5,46542.4,39731,35406,311169,201123,1.23,1706.9,3.8,-1.12
1638903086,REVENANT_VISCERA,44835.5,46542.4,39731,35406,311169,201123,1.23,1706.9,3.8,-1.12
1638903086,REVENANT_VISCERA,44835.5,46542.4,39731,35406,311169,201123,1.23,1706.9,3.8,-1.12
1638903226,REVENANT_VISCERA,44835.6,46542.0,39776,35255,311305,201310,1.23,1706.4,3.8,-1.13
1638903233,REVENANT_VISCERA,44835.6,46542.0,39776,35255,311305,201310,1.23,1706.4,3.8,-1.13
1638903240,REVENANT_VISCERA,44835.6,46542.0,39811,35245,311305,201320,1.23,1706.4,3.8,-1.13
1638903248,REVENANT_VISCERA,44835.6,46542.0,39811,35245,311305,201320,1.23,1706.4,3.8,-1.13
1638903855,REVENANT_VISCERA,44830.2,46542.8,39186,34730,311918,201835,1.2,1712.6,3.8,-1.13
1638904100,REVENANT_VISCERA,44830.2,46542.7,39159,34622,311947,201943,1.2,1712.5,3.8,-1.13
1638904100,REVENANT_VISCERA,44830.2,46542.7,39159,34622,311947,201943,1.2,1712.5,3.8,-1.13
1638904100,REVENANT_VISCERA,44830.2,46542.7,39159,34622,311947,201943,1.2,1712.5,3.8,-1.13
1638904189,REVENANT_VISCERA,44830.2,46542.8,39095,34594,312011,201971,1.2,1712.6,3.8,-1.13
1638904196,REVENANT_VISCERA,44830.2,46542.8,39095,34594,312011,201971,1.2,1712.6,3.8,-1.13
1638905497,REVENANT_VISCERA,41172.2,46542.3,41081,25436,307123,199619,0.89,5370.1,13.0,-1.62
1638905504,REVENANT_VISCERA,41172.2,46542.3,41081,25436,307123,199619,0.89,5370.1,13.0,-1.62
1638906506,REVENANT_VISCERA,41172.5,46005.4,40853,25537,307479,199878,0.89,4832.9,11.7,-1.6
1638906538,REVENANT_VISCERA,41172.6,46542.4,40845,25537,307487,199878,0.89,5369.8,13.0,-1.6
1638906598,REVENANT_VISCERA,41172.4,46542.4,40835,25538,307497,199878,0.89,5370.0,13.0,-1.6
1638906612,REVENANT_VISCERA,41172.4,46542.3,40835,25534,307497,199882,0.89,5369.9,13.0,-1.6
1638906620,REVENANT_VISCERA,41172.4,46542.3,40835,25534,307497,199882,0.89,5369.9,13.0,-1.6
1638906646,REVENANT_VISCERA,41172.4,46542.2,40846,25534,307497,199882,0.89,5369.8,13.0,-1.6
1638906653,REVENANT_VISCERA,41172.4,46542.2,40846,25533,307497,199883,0.89,5369.8,13.0,-1.6
1638906660,REVENANT_VISCERA,41172.4,46542.2,40846,25533,307497,199883,0.89,5369.8,13.0,-1.6
1638906889,REVENANT_VISCERA,41172.4,46542.0,40845,25530,307498,199900,0.89,5369.6,13.0,-1.6
1638906898,REVENANT_VISCERA,41172.4,46542.0,40859,25530,307498,199900,0.89,5369.6,13.0,-1.6
1638906939,REVENANT_VISCERA,41172.4,46542.0,40859,25527,307498,199903,0.89,5369.6,13.0,-1.6
1638906980,REVENANT_VISCERA,41172.4,46542.0,40858,25510,307499,199920,0.89,5369.6,13.0,-1.6
1638907080,REVENANT_VISCERA,41172.4,46542.1,40850,25503,307514,199927,0.89,5369.7,13.0,-1.6
1638907129,REVENANT_VISCERA,41172.5,46542.1,40850,25550,307514,199928,0.89,5369.6,13.0,-1.6
1638907209,REVENANT_VISCERA,41172.5,46004.9,40955,25541,307514,199937,0.89,4832.4,11.7,-1.6
1638907229,REVENANT_VISCERA,41172.6,46004.9,40986,25701,307514,199937,0.9,4832.3,11.7,-1.59
1638907265,REVENANT_VISCERA,41172.7,46004.8,40986,26437,307514,199937,0.93,4832.1,11.7,-1.55
1638907280,REVENANT_VISCERA,41172.7,46542.5,40993,26437,307514,199937,0.93,5369.8,13.0,-1.55
1638907311,REVENANT_VISCERA,41441.2,46542.5,40594,26444,307906,199938,0.93,5101.3,12.3,-1.54
1638907322,REVENANT_VISCERA,41441.2,46542.5,40530,26444,307954,199938,0.93,5101.3,12.3,-1.53
1638907346,REVENANT_VISCERA,41441.2,46542.5,40523,26443,307961,199939,0.93,5101.3,12.3,-1.53
1638907359,REVENANT_VISCERA,41441.2,46542.5,40523,26443,307961,199939,0.93,5101.3,12.3,-1.53
1638907396,REVENANT_VISCERA,41441.2,46542.5,40523,26440,307961,199942,0.93,5101.3,12.3,-1.53
1638907404,REVENANT_VISCERA,41441.2,46542.5,40523,26440,307961,199942,0.93,5101.3,12.3,-1.53
1638907415,REVENANT_VISCERA,41441.3,46542.5,40523,26751,307961,199942,0.94,5101.2,12.3,-1.51
1638907521,REVENANT_VISCERA,41441.3,46032.4,40435,26745,308050,199948,0.94,4591.1,11.1,-1.51
1638907532,REVENANT_VISCERA,41441.3,46032.4,40435,26745,308050,199948,0.94,4591.1,11.1,-1.51
1638907545,REVENANT_VISCERA,41441.3,46032.4,40443,26744,308050,199949,0.94,4591.1,11.1,-1.51
1638907557,REVENANT_VISCERA,41441.3,46032.4,40443,26738,308050,199955,0.94,4591.1,11.1,-1.51
1638907570,REVENANT_VISCERA,41441.3,46032.4,40443,26738,308050,199955,0.94,4591.1,11.1,-1.51
1638907607,REVENANT_VISCERA,41441.3,46032.4,40445,26732,308050,199961,0.94,4591.1,11.1,-1.51
1638907625,REVENANT_VISCERA,41441.3,46032.4,40445,26732,308050,199961,0.94,4591.1,11.1,-1.51
1638907672,REVENANT_VISCERA,41441.3,46032.4,40445,26729,308050,199964,0.94,4591.1,11.1,-1.51
