UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ROTTEN_FLESH,5.7,7.7,1130400,1023391,8026840,78504973,0.09,2.0,35.099999999999994,-1.1
1638903006,ROTTEN_FLESH,5.7,7.6,1128552,1004327,8028697,78516721,0.09,1.9,33.300000000000004,-1.12
1638903006,ROTTEN_FLESH,5.7,7.6,1128552,1004327,8028697,78516721,0.09,1.9,33.300000000000004,-1.12
1638903057,ROTTEN_FLESH,5.7,7.7,1127547,995864,8029720,78525184,0.09,2.0,35.099999999999994,-1.13
1638903086,ROTTEN_FLESH,5.7,7.7,1126523,990523,8030744,78530525,0.09,2.0,35.099999999999994,-1.14
1638903086,ROTTEN_FLESH,5.7,7.7,1126523,990523,8030744,78530525,0.09,2.0,35.099999999999994,-1.14
1638903086,ROTTEN_FLESH,5.7,7.7,1126523,990523,8030744,78530525,0.09,2.0,35.099999999999994,-1.14
1638903086,ROTTEN_FLESH,5.7,7.7,1126523,990523,8030744,78530525,0.09,2.0,35.099999999999994,-1.14
1638903226,ROTTEN_FLESH,5.9,7.7,1125755,1473463,8031512,78547985,0.13,1.8,30.5,1.31
1638903233,ROTTEN_FLESH,5.9,7.7,1125755,1473463,8031512,78547985,0.13,1.8,30.5,1.31
1638903240,ROTTEN_FLESH,5.9,7.7,1125307,1470506,8031960,78550942,0.13,1.8,30.5,1.31
1638903248,ROTTEN_FLESH,5.9,7.7,1125307,1470506,8031960,78550942,0.13,1.8,30.5,1.31
1638903855,ROTTEN_FLESH,6.0,7.6,1119818,1516330,8038048,78618784,0.14,1.6,26.700000000000003,1.35
1638904100,ROTTEN_FLESH,5.9,7.3,1120707,1494544,8039203,78641594,0.13,1.4,23.7,1.33
1638904100,ROTTEN_FLESH,5.9,7.3,1120707,1494544,8039203,78641594,0.13,1.4,23.7,1.33
1638904100,ROTTEN_FLESH,5.9,7.3,1120707,1494544,8039203,78641594,0.13,1.4,23.7,1.33
1638904189,ROTTEN_FLESH,5.9,7.1,1120713,1480664,8039587,78655474,0.13,1.2,20.3,1.32
1638904196,ROTTEN_FLESH,5.9,7.1,1120713,1480664,8039587,78655474,0.13,1.2,20.3,1.32
1638905497,ROTTEN_FLESH,6.3,7.0,1112695,1549507,8054821,78818709,0.14,0.7,11.1,1.39
1638905504,ROTTEN_FLESH,6.3,7.0,1112695,1549507,8054821,78818709,0.14,0.7,11.1,1.39
1638906506,ROTTEN_FLESH,6.0,7.7,1094336,1588552,8078247,78949006,0.14,1.7,28.3,1.45
1638906538,ROTTEN_FLESH,6.0,7.7,1094336,1587299,8078247,78950259,0.14,1.7,28.3,1.45
1638906598,ROTTEN_FLESH,6.1,7.9,1093619,1632310,8078953,78975248,0.14,1.8,29.5,1.49
1638906612,ROTTEN_FLESH,6.1,7.9,1093619,1583858,8078953,78976248,0.14,1.8,29.5,1.45
1638906620,ROTTEN_FLESH,6.1,7.9,1093619,1583858,8078953,78976248,0.14,1.8,29.5,1.45
1638906646,ROTTEN_FLESH,6.1,7.9,1091379,1651704,8081193,78978402,0.15,1.8,29.5,1.51
1638906653,ROTTEN_FLESH,6.1,7.9,1089459,1651070,8083113,78979036,0.15,1.8,29.5,1.52
1638906660,ROTTEN_FLESH,6.1,7.9,1089459,1649674,8083113,78980432,0.15,1.8,29.5,1.51
1638906889,ROTTEN_FLESH,6.1,7.7,1088610,1639583,8090921,79004515,0.15,1.6,26.200000000000003,1.51
1638906898,ROTTEN_FLESH,6.1,7.8,1088910,1638106,8090921,79005992,0.15,1.7,27.9,1.5
1638906939,ROTTEN_FLESH,6.1,7.9,1086798,1635079,8093033,79009019,0.14,1.8,29.5,1.5
1638906980,ROTTEN_FLESH,6.1,7.9,1084838,1630970,8095081,79014200,0.14,1.8,29.5,1.5
1638907080,ROTTEN_FLESH,6.2,7.8,1082923,1635948,8097001,79025222,0.14,1.6,25.8,1.51
1638907129,ROTTEN_FLESH,6.1,7.9,1080559,1627261,8099369,79033909,0.14,1.8,29.5,1.51
1638907209,ROTTEN_FLESH,6.1,7.9,1075723,1614590,8104233,79046580,0.14,1.8,29.5,1.5
1638907229,ROTTEN_FLESH,6.2,7.9,1071627,1611524,8108329,79049646,0.14,1.7,27.4,1.5
1638907265,ROTTEN_FLESH,6.2,7.9,1070987,1623029,8110441,79054141,0.14,1.7,27.4,1.52
1638907280,ROTTEN_FLESH,6.2,7.9,1070987,1622815,8110441,79054355,0.14,1.7,27.4,1.52
1638907311,ROTTEN_FLESH,6.2,7.9,1069291,1618919,8112137,79058251,0.14,1.7,27.4,1.51
1638907322,ROTTEN_FLESH,6.3,7.9,1069291,1589433,8112137,79059091,0.14,1.6,25.4,1.49
1638907346,ROTTEN_FLESH,6.4,7.9,1069291,1671844,8112137,79066680,0.15,1.5,23.4,1.56
1638907359,ROTTEN_FLESH,6.4,7.9,1069291,1671844,8112137,79066680,0.15,1.5,23.4,1.56
1638907396,ROTTEN_FLESH,6.5,7.9,1069636,1597499,8112137,79068589,0.14,1.4,21.5,1.49
1638907404,ROTTEN_FLESH,6.5,7.9,1069636,1597499,8112137,79068589,0.14,1.4,21.5,1.49
1638907415,ROTTEN_FLESH,6.7,7.9,1067396,1647021,8114377,79069830,0.15,1.2,17.9,1.54
1638907521,ROTTEN_FLESH,6.8,7.9,1060194,1695415,8121719,79082460,0.15,1.1,16.2,1.6
1638907532,ROTTEN_FLESH,6.8,7.9,1060194,1695415,8121719,79082460,0.15,1.1,16.2,1.6
1638907545,ROTTEN_FLESH,6.8,7.9,1057570,1690148,8124343,79087727,0.15,1.1,16.2,1.6
1638907557,ROTTEN_FLESH,6.8,7.9,1057570,1689670,8124343,79088205,0.15,1.1,16.2,1.6
1638907570,ROTTEN_FLESH,6.8,7.9,1056930,1601061,8124983,79090511,0.14,1.1,16.2,1.51
1638907607,ROTTEN_FLESH,6.8,7.9,1054882,1597851,8127031,79093721,0.14,1.1,16.2,1.51
1638907625,ROTTEN_FLESH,6.7,7.9,1051746,1594694,8130167,79096878,0.14,1.2,17.9,1.52
1638907672,ROTTEN_FLESH,6.1,7.9,1050161,1579843,8131767,79104031,0.14,1.8,29.5,1.5
