UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ROUGH_AMBER_GEM,3.0,3.5,245183,2182487,864169,90421565,0.17,0.5,16.7,8.9
1638903006,ROUGH_AMBER_GEM,3.0,3.5,245183,2154730,864169,90449322,0.17,0.5,16.7,8.79
1638903006,ROUGH_AMBER_GEM,3.0,3.5,245183,2154730,864169,90449322,0.17,0.5,16.7,8.79
1638903057,ROUGH_AMBER_GEM,3.0,3.5,245078,2154659,864170,90449393,0.17,0.5,16.7,8.79
1638903086,ROUGH_AMBER_GEM,3.0,3.5,245078,2154597,864170,90449455,0.17,0.5,16.7,8.79
1638903086,ROUGH_AMBER_GEM,3.0,3.5,245078,2154597,864170,90449455,0.17,0.5,16.7,8.79
1638903086,ROUGH_AMBER_GEM,3.0,3.5,245078,2154597,864170,90449455,0.17,0.5,16.7,8.79
1638903086,ROUGH_AMBER_GEM,3.0,3.5,245078,2154597,864170,90449455,0.17,0.5,16.7,8.79
1638903226,ROUGH_AMBER_GEM,3.0,3.5,245078,2784514,864170,90464658,0.22,0.5,16.7,11.36
1638903233,ROUGH_AMBER_GEM,3.0,3.5,245078,2784514,864170,90464658,0.22,0.5,16.7,11.36
1638903240,ROUGH_AMBER_GEM,3.0,3.5,245078,2850385,864170,90470467,0.22,0.5,16.7,11.63
1638903248,ROUGH_AMBER_GEM,3.0,3.5,245078,2850385,864170,90470467,0.22,0.5,16.7,11.63
1638903855,ROUGH_AMBER_GEM,3.1,3.5,245077,3151512,864171,90551540,0.24,0.4,12.9,12.86
1638904100,ROUGH_AMBER_GEM,3.1,3.5,245077,3138863,864171,90564189,0.24,0.4,12.9,12.81
1638904100,ROUGH_AMBER_GEM,3.1,3.5,245077,3138863,864171,90564189,0.24,0.4,12.9,12.81
1638904100,ROUGH_AMBER_GEM,3.1,3.5,245077,3138863,864171,90564189,0.24,0.4,12.9,12.81
1638904189,ROUGH_AMBER_GEM,3.0,3.5,245077,3133822,864171,90569230,0.24,0.5,16.7,12.79
1638904196,ROUGH_AMBER_GEM,3.0,3.5,245077,3133822,864171,90569230,0.24,0.5,16.7,12.79
1638905497,ROUGH_AMBER_GEM,3.0,3.5,245075,2875268,864173,90720689,0.22,0.5,16.7,11.73
1638905504,ROUGH_AMBER_GEM,3.0,3.5,245075,2875268,864173,90720689,0.22,0.5,16.7,11.73
