UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ROUGH_AMETHYST_GEM,3.2,5.6,1207568,3415352,799404,119247075,0.2,2.4,75.0,2.83
1638903006,ROUGH_AMETHYST_GEM,3.2,5.5,1209568,3601914,799404,119273846,0.21,2.3,71.89999999999999,2.98
1638903006,ROUGH_AMETHYST_GEM,3.2,5.5,1209568,3601914,799404,119273846,0.21,2.3,71.89999999999999,2.98
1638903057,ROUGH_AMETHYST_GEM,3.2,5.5,1209568,3600531,799404,119275229,0.21,2.3,71.89999999999999,2.98
1638903086,ROUGH_AMETHYST_GEM,3.3,5.6,1209568,3666047,799404,119280713,0.22,2.3,69.69999999999999,3.03
1638903086,ROUGH_AMETHYST_GEM,3.3,5.6,1209568,3666047,799404,119280713,0.22,2.3,69.69999999999999,3.03
1638903086,ROUGH_AMETHYST_GEM,3.3,5.6,1209568,3666047,799404,119280713,0.22,2.3,69.69999999999999,3.03
1638903086,ROUGH_AMETHYST_GEM,3.3,5.6,1209568,3666047,799404,119280713,0.22,2.3,69.69999999999999,3.03
1638903226,ROUGH_AMETHYST_GEM,3.3,5.6,1207425,3631175,799547,119315585,0.21,2.3,69.69999999999999,3.01
1638903233,ROUGH_AMETHYST_GEM,3.3,5.6,1207425,3631175,799547,119315585,0.21,2.3,69.69999999999999,3.01
1638903240,ROUGH_AMETHYST_GEM,3.3,5.6,1207425,3627923,799547,119318837,0.21,2.3,69.69999999999999,3.0
1638903248,ROUGH_AMETHYST_GEM,3.3,5.6,1207425,3627923,799547,119318837,0.21,2.3,69.69999999999999,3.0
1638903855,ROUGH_AMETHYST_GEM,3.1,5.5,1221823,3462895,799548,119555545,0.2,2.4,77.4,2.83
1638904100,ROUGH_AMETHYST_GEM,3.1,5.4,1222847,3448601,799548,119570863,0.2,2.3,74.2,2.82
1638904100,ROUGH_AMETHYST_GEM,3.1,5.4,1222847,3448601,799548,119570863,0.2,2.3,74.2,2.82
1638904100,ROUGH_AMETHYST_GEM,3.1,5.4,1222847,3448601,799548,119570863,0.2,2.3,74.2,2.82
1638904189,ROUGH_AMETHYST_GEM,3.1,5.4,1222847,3802208,799548,119575656,0.22,2.3,74.2,3.11
1638904196,ROUGH_AMETHYST_GEM,3.1,5.4,1222847,3802208,799548,119575656,0.22,2.3,74.2,3.11
1638905497,ROUGH_AMETHYST_GEM,3.1,5.2,1223734,3556171,799629,120036797,0.21,2.1,67.7,2.91
1638905504,ROUGH_AMETHYST_GEM,3.1,5.2,1223734,3556171,799629,120036797,0.21,2.1,67.7,2.91
1638906506,ROUGH_AMETHYST_GEM,3.0,5.2,1223734,3297907,799629,120366741,0.19,2.2,73.3,2.69
1638906538,ROUGH_AMETHYST_GEM,3.0,5.2,1223734,3293073,799629,120371575,0.19,2.2,73.3,2.69
1638906598,ROUGH_AMETHYST_GEM,3.0,5.2,1223734,3278226,799629,120386422,0.19,2.2,73.3,2.68
1638906612,ROUGH_AMETHYST_GEM,3.0,5.2,1223734,3275845,799629,120388803,0.19,2.2,73.3,2.68
1638906620,ROUGH_AMETHYST_GEM,3.0,5.2,1223734,3275845,799629,120388803,0.19,2.2,73.3,2.68
1638906646,ROUGH_AMETHYST_GEM,3.0,5.2,1223734,3275255,799629,120389393,0.19,2.2,73.3,2.68
1638906653,ROUGH_AMETHYST_GEM,3.0,5.2,1223734,3272492,799629,120392156,0.19,2.2,73.3,2.67
1638906660,ROUGH_AMETHYST_GEM,3.0,5.2,1223734,3269755,799629,120394893,0.19,2.2,73.3,2.67
1638906889,ROUGH_AMETHYST_GEM,3.0,5.2,1224678,3232782,799629,120431866,0.19,2.2,73.3,2.64
1638906898,ROUGH_AMETHYST_GEM,3.0,5.2,1224678,3231567,799629,120433081,0.19,2.2,73.3,2.64
1638906939,ROUGH_AMETHYST_GEM,3.0,5.2,1224678,3227233,799629,120437415,0.19,2.2,73.3,2.64
1638906980,ROUGH_AMETHYST_GEM,3.0,5.2,1224678,3139540,799629,120525108,0.18,2.2,73.3,2.56
1638907080,ROUGH_AMETHYST_GEM,3.0,5.2,1224678,3109976,799629,120554672,0.18,2.2,73.3,2.54
1638907129,ROUGH_AMETHYST_GEM,3.0,5.2,1224678,3109375,799629,120555273,0.18,2.2,73.3,2.54
1638907209,ROUGH_AMETHYST_GEM,3.0,5.2,1224678,3089697,799629,120574951,0.18,2.2,73.3,2.52
1638907229,ROUGH_AMETHYST_GEM,3.1,5.1,1225683,3136100,799629,120600228,0.18,2.0,64.5,2.56
1638907265,ROUGH_AMETHYST_GEM,3.1,5.1,1225683,3124776,799629,120611552,0.18,2.0,64.5,2.55
1638907280,ROUGH_AMETHYST_GEM,3.1,5.1,1225683,3122549,799629,120613779,0.18,2.0,64.5,2.55
1638907311,ROUGH_AMETHYST_GEM,3.1,5.1,1225683,3105662,799629,120630666,0.18,2.0,64.5,2.53
1638907322,ROUGH_AMETHYST_GEM,3.1,5.1,1225683,3105606,799629,120630722,0.18,2.0,64.5,2.53
1638907346,ROUGH_AMETHYST_GEM,3.1,5.1,1225683,3097048,799629,120639280,0.18,2.0,64.5,2.53
1638907359,ROUGH_AMETHYST_GEM,3.1,5.1,1225683,3097048,799629,120639280,0.18,2.0,64.5,2.53
