UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ROUGH_JADE_GEM,2.7,3.6,749381,2542514,1407562,136520124,0.13,0.9,33.300000000000004,3.39
1638903006,ROUGH_JADE_GEM,2.9,3.6,749381,2809209,1407562,136538442,0.14,0.7,24.1,3.75
1638903006,ROUGH_JADE_GEM,2.9,3.6,749381,2809209,1407562,136538442,0.14,0.7,24.1,3.75
1638903057,ROUGH_JADE_GEM,2.9,3.6,749380,2868008,1407563,136551323,0.15,0.7,24.1,3.83
1638903086,ROUGH_JADE_GEM,2.9,3.6,749380,3082642,1407563,136551729,0.16,0.7,24.1,4.11
1638903086,ROUGH_JADE_GEM,2.9,3.6,749380,3082642,1407563,136551729,0.16,0.7,24.1,4.11
1638903086,ROUGH_JADE_GEM,2.9,3.6,749380,3082642,1407563,136551729,0.16,0.7,24.1,4.11
1638903086,ROUGH_JADE_GEM,2.9,3.6,749380,3082642,1407563,136551729,0.16,0.7,24.1,4.11
1638903226,ROUGH_JADE_GEM,2.9,3.7,749363,3352854,1407580,136568237,0.17,0.8,27.6,4.47
1638903233,ROUGH_JADE_GEM,2.9,3.7,749363,3352854,1407580,136568237,0.17,0.8,27.6,4.47
1638903240,ROUGH_JADE_GEM,2.9,3.7,749362,3350298,1407581,136570793,0.17,0.8,27.6,4.47
1638903248,ROUGH_JADE_GEM,2.9,3.7,749362,3350298,1407581,136570793,0.17,0.8,27.6,4.47
1638903855,ROUGH_JADE_GEM,2.9,4.0,747145,3401885,1409798,136734246,0.17,1.1,37.9,4.55
1638904100,ROUGH_JADE_GEM,2.9,3.9,747975,3381490,1409798,136754641,0.17,1.0,34.5,4.52
1638904100,ROUGH_JADE_GEM,2.9,3.9,747975,3381490,1409798,136754641,0.17,1.0,34.5,4.52
1638904100,ROUGH_JADE_GEM,2.9,3.9,747975,3381490,1409798,136754641,0.17,1.0,34.5,4.52
1638904189,ROUGH_JADE_GEM,2.9,3.9,747975,3159958,1409798,136976173,0.16,1.0,34.5,4.22
1638904196,ROUGH_JADE_GEM,2.9,3.9,747975,3159958,1409798,136976173,0.16,1.0,34.5,4.22
1638905497,ROUGH_JADE_GEM,1.9,4.0,784191,2022002,1414670,139478170,0.1,2.1,110.5,2.58
1638905504,ROUGH_JADE_GEM,1.9,4.0,784191,2022002,1414670,139478170,0.1,2.1,110.5,2.58
1638906506,ROUGH_JADE_GEM,2.4,4.0,786238,2185317,1414671,139707255,0.11,1.6,66.7,2.78
1638906538,ROUGH_JADE_GEM,2.5,4.0,786238,2291862,1414671,139710710,0.11,1.5,60.0,2.91
1638906598,ROUGH_JADE_GEM,2.5,4.0,786238,2231617,1414671,139770955,0.11,1.5,60.0,2.84
1638906612,ROUGH_JADE_GEM,2.6,4.0,786238,2302289,1414671,139771963,0.12,1.4,53.8,2.93
1638906620,ROUGH_JADE_GEM,2.6,4.0,786238,2302289,1414671,139771963,0.12,1.4,53.8,2.93
1638906646,ROUGH_JADE_GEM,2.6,4.0,786238,2302100,1414671,139772152,0.12,1.4,53.8,2.93
1638906653,ROUGH_JADE_GEM,2.6,4.0,786238,2301612,1414671,139772640,0.12,1.4,53.8,2.93
1638906660,ROUGH_JADE_GEM,2.6,4.0,786238,2301120,1414671,139773132,0.12,1.4,53.8,2.93
1638906889,ROUGH_JADE_GEM,2.4,4.0,786237,1693244,1414672,139897860,0.08,1.6,66.7,2.15
1638906898,ROUGH_JADE_GEM,2.4,4.0,786237,1732423,1414672,139898681,0.09,1.6,66.7,2.2
1638906939,ROUGH_JADE_GEM,2.5,4.0,786237,1727982,1414672,139903122,0.09,1.5,60.0,2.2
